window,physical_x0,physical_x1,ink_ratio,used_by_training_dtw,primitive_raw_norm,semantic_norm,primitive_semantic_cosine,restoration_mae,restoration_edge_mae,top1_letter,top1_cosine,top2_letter,top2_cosine,top1_margin,dtw_letter_indices,dtw_letters,dtw_path_cosine_mean,previous_primitive_cosine,next_primitive_cosine,previous_semantic_cosine,next_semantic_cosine
0,992,1024,0.0712890625,True,11.387299537658691,11.31666088104248,0.6731414794921875,0.5078637599945068,0.052580565214157104,م,0.618678092956543,ع,0.3855929672718048,0.23308512568473816,0,ا,-0.44470325112342834,,-0.5314204096794128,,-0.4032149016857147
1,976,1008,0.0791015625,True,11.413902282714844,11.384105682373047,0.495848685503006,0.5098817348480225,0.05145837366580963,ا,0.9774917364120483,ح,0.13785938918590546,0.8396323323249817,0,ا,0.9774917364120483,-0.5314204096794128,0.5920382738113403,-0.4032149016857147,0.9812871813774109
2,960,992,0.0654296875,True,11.41438102722168,11.388426780700684,0.7031397819519043,0.5059486627578735,0.04571928083896637,ا,0.978881299495697,ز,0.1645379662513733,0.8143433332443237,0,ا,0.978881299495697,0.5920382738113403,0.9031055569648743,0.9812871813774109,0.9914538860321045
3,944,976,0.062744140625,True,11.427063941955566,11.388198852539062,0.7081843614578247,0.49864181876182556,0.04536845162510872,ا,0.9907362461090088,ز,0.14709900319576263,0.843637228012085,0,ا,0.9907362461090088,0.9031055569648743,-0.6101568937301636,0.9914538860321045,-0.33974334597587585
4,928,960,0.072998046875,True,11.381421089172363,11.326922416687012,0.8580446839332581,0.5142734050750732,0.04946921020746231,ل,0.8798143863677979,ض,0.22556649148464203,0.6542478799819946,1,ل,0.8798143863677979,-0.6101568937301636,-0.3167100250720978,-0.33974334597587585,-0.3003441393375397
5,912,944,0.068115234375,True,11.360610008239746,11.3502836227417,0.6101480722427368,0.5479437112808228,0.06748996675014496,ا,0.7375788688659668,ف,0.17312677204608917,0.5644521117210388,2 3,حض,0.04839390330016613,-0.3167100250720978,0.7649076581001282,-0.3003441393375397,0.6995975971221924
6,896,928,0.066162109375,True,11.36776065826416,11.351057052612305,0.5559729337692261,0.5420392751693726,0.06501145660877228,ا,0.7347460389137268,ز,0.17175091803073883,0.5629951357841492,4,ا,0.7347460389137268,0.7649076581001282,-0.11764225363731384,0.6995975971221924,0.12623292207717896
7,880,912,0.04443359375,True,11.37166690826416,11.33563232421875,0.8056595325469971,0.5162880420684814,0.04650537669658661,ل,0.7346304059028625,ا,0.20952670276165009,0.5251036882400513,5,ر,-0.03218511864542961,-0.11764225363731384,-0.06895388662815094,0.12623292207717896,0.19027388095855713
8,864,896,0.035888671875,True,11.41525650024414,11.388140678405762,0.596266508102417,0.5091453790664673,0.043455302715301514,ا,0.9806908369064331,ز,0.15264712274074554,0.8280436992645264,6,ة,0.0829266756772995,-0.06895388662815094,0.7636377811431885,0.19027388095855713,0.9751275777816772
9,848,880,0.05517578125,True,11.388263702392578,11.384188652038574,0.5969700813293457,0.5169785022735596,0.05025192350149155,ا,0.949244499206543,ز,0.16159121692180634,0.7876532673835754,7,ت,-0.15681982040405273,0.7636377811431885,0.9639021754264832,0.9751275777816772,0.9888529181480408
10,832,864,0.05615234375,True,11.404706001281738,11.387374877929688,0.6355628967285156,0.5092818737030029,0.04662656411528587,ا,0.9792699217796326,ز,0.15251314640045166,0.8267567753791809,8,ب,-0.04796598106622696,0.9639021754264832,-0.05910608544945717,0.9888529181480408,-0.34805044531822205
11,816,848,0.06494140625,True,11.366528511047363,11.321932792663574,0.9147474765777588,0.5234285593032837,0.05225898325443268,ل,0.7968863248825073,ض,0.17003294825553894,0.626853346824646,9,ن,-0.13792932033538818,-0.05910608544945717,0.4324326515197754,-0.34805044531822205,0.2072412669658661
12,800,832,0.0869140625,True,11.392755508422852,11.32194709777832,0.6715298891067505,0.4989985525608063,0.05324709415435791,م,0.6137723922729492,ع,0.37002938985824585,0.24374300241470337,10,ى,-0.03615393489599228,0.4324326515197754,-0.38495227694511414,0.2072412669658661,-0.32490813732147217
13,784,816,0.0849609375,True,11.398594856262207,11.374545097351074,0.4300673305988312,0.518680989742279,0.051643937826156616,ا,0.914443850517273,س,0.17188723385334015,0.742556631565094,11,ا,0.914443850517273,-0.38495227694511414,0.31348034739494324,-0.32490813732147217,0.9272189736366272
14,768,800,0.063232421875,True,11.41161060333252,11.388079643249512,0.7060655355453491,0.503029465675354,0.04414038732647896,ا,0.9719653725624084,ز,0.16857647895812988,0.8033888936042786,11,ا,0.9719653725624084,0.31348034739494324,0.8135347366333008,0.9272189736366272,0.9852574467658997
15,752,784,0.065185546875,True,11.423941612243652,11.38762092590332,0.6934053301811218,0.5055208206176758,0.04458630084991455,ا,0.9859117269515991,ز,0.15039850771427155,0.8355132341384888,11,ا,0.9859117269515991,0.8135347366333008,-0.4650534689426422,0.9852574467658997,-0.3560221195220947
16,736,768,0.07568359375,True,11.369842529296875,11.323482513427734,0.9002169370651245,0.5264111757278442,0.05496096611022949,ل,0.8267824053764343,ض,0.21749743819236755,0.6092849969863892,12,ل,0.8267824053764343,-0.4650534689426422,0.04038047045469284,-0.3560221195220947,-0.05693481117486954
17,720,752,0.069580078125,True,11.334206581115723,11.280515670776367,0.8912559747695923,0.5649909973144531,0.08481863141059875,ى,0.24863240122795105,ب,0.14825128018856049,0.10038112103939056,13,ح,-0.04666411504149437,0.04038047045469284,0.7255174517631531,-0.05693481117486954,0.41077345609664917
18,704,736,0.06689453125,True,11.350714683532715,11.285505294799805,0.8404204249382019,0.5492479801177979,0.07350343465805054,ع,0.1969229131937027,ة,0.18701261281967163,0.009910300374031067,14,ض,-0.09561770409345627,0.7255174517631531,-0.01566123031079769,0.41077345609664917,0.008810947649180889
19,688,720,0.0419921875,True,11.379565238952637,11.384271621704102,0.5414096713066101,0.5169512033462524,0.04918786883354187,ا,0.9057285189628601,ز,0.1828293651342392,0.7228991389274597,15,ا,0.9057285189628601,-0.01566123031079769,0.2932558059692383,0.008810947649180889,0.8928226828575134
20,672,704,0.034423828125,True,11.402432441711426,11.386066436767578,0.5382333993911743,0.5172553062438965,0.04805825278162956,ا,0.9623423218727112,ز,0.15484771132469177,0.8074946403503418,15,ا,0.9623423218727112,0.2932558059692383,0.7505912780761719,0.8928226828575134,0.9837929010391235
21,656,688,0.056884765625,True,11.395237922668457,11.386544227600098,0.6100826859474182,0.510973334312439,0.05117158964276314,ا,0.9662480354309082,ز,0.15967117249965668,0.8065768480300903,15,ا,0.9662480354309082,0.7505912780761719,0.9815889000892639,0.9837929010391235,0.9959704875946045
22,640,672,0.056884765625,True,11.401538848876953,11.386663436889648,0.6314115524291992,0.5093797445297241,0.04695926606655121,ا,0.973762571811676,ز,0.15270671248435974,0.8210558891296387,15,ا,0.973762571811676,0.9815889000892639,0.6739212274551392,0.9959704875946045,0.8573011755943298
23,624,656,0.050537109375,True,11.374780654907227,11.37680721282959,0.5759211778640747,0.5175682306289673,0.04607422649860382,ا,0.8295295238494873,ل,0.177628755569458,0.6519007682800293,15,ا,0.8295295238494873,0.6739212274551392,0.03387986868619919,0.8573011755943298,-0.31516993045806885
