index,manifest_position,pair_id,label_type,text_score,split,status,score,path_steps,traceback_steps,warp_steps,dp_max_row,dp_max_col,dp_max_is_terminal,mean_path_cosine,line1_path_windows,line2_path_windows,line1_span_windows,line2_span_windows,line1_path_fraction,line2_path_fraction,line1_matched_fraction,line2_matched_fraction,line1_windows,line2_windows,line1_path_start,line1_path_end,line2_path_start,line2_path_end,line1_pred_start_px,line1_pred_end_px,line1_gt_start_px,line1_gt_end_px,line1_region_iou,line1_start_error_px,line1_end_error_px,line2_pred_start_px,line2_pred_end_px,line2_gt_start_px,line2_gt_end_px,line2_region_iou,line2_start_error_px,line2_end_error_px,mean_region_iou,feature,score_mode,score_clip,threshold,gap,heatmap_source,dataset_type,binarized,binarization,flipped,image1,image2,binarized_image1,binarized_image2,output,error,real_box_evaluated,real_box_status,real_box_match_rule,real_box_min_coverage,real_box_coordinate_space,shared_subword_matches,pair_box_tp,pair_box_fp,pair_box_fn,pair_box_tn,pair_box_precision,pair_box_recall,pair_box_f1,pair_box_specificity,pair_box_accuracy,mean_box_interval_iou,mean_box_pixel_iou,line1_box_annotation_path,line1_box_annotation_sheet,line1_box_annotation_status,line1_box_annotation_error,line1_box_count,line1_shared_gt_boxes,line1_predicted_mask_boxes,line1_box_tp,line1_box_fp,line1_box_fn,line1_box_tn,line1_box_precision,line1_box_recall,line1_box_f1,line1_box_specificity,line1_box_accuracy,line1_mean_box_mask_coverage,line1_shared_box_mask_coverage,line1_box_interval_iou,line1_box_pixel_precision,line1_box_pixel_recall,line1_box_pixel_f1,line1_box_pixel_iou,line2_box_annotation_path,line2_box_annotation_sheet,line2_box_annotation_status,line2_box_annotation_error,line2_box_count,line2_shared_gt_boxes,line2_predicted_mask_boxes,line2_box_tp,line2_box_fp,line2_box_fn,line2_box_tn,line2_box_precision,line2_box_recall,line2_box_f1,line2_box_specificity,line2_box_accuracy,line2_mean_box_mask_coverage,line2_shared_box_mask_coverage,line2_box_interval_iou,line2_box_pixel_precision,line2_box_pixel_recall,line2_box_pixel_f1,line2_box_pixel_iou
1,1,pair_000013,high_match,0.7777777777777778,all,ok,44.153018951416016,53,76,23,108,88,False,0.6140733861698294,53,53,68,61,0.424,0.424,0.544,0.488,125,125,40,107,27,87,139.264,696.32,,,,,,303.104,802.816,,,,,,,grouped,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/B/linesImages/line_03.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/C_sw_grouped_mutualz/pair_1.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
2,2,pair_000027,high_match,0.8888888888888888,all,ok,50.35504913330078,63,97,34,108,98,False,0.6223858878726051,63,63,89,71,0.504,0.504,0.712,0.568,125,125,19,107,27,97,139.264,868.352,,,,,,221.184,802.816,,,,,,,grouped,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000027/A/linesImages/line_01.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000027/B/linesImages/line_10.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/C_sw_grouped_mutualz/pair_2.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
3,3,pair_000024,high_match,0.8,all,ok,53.72810363769531,62,81,19,103,95,False,0.6035715024317464,62,62,78,65,0.496,0.496,0.624,0.52,125,125,25,102,30,94,180.224,819.2,,,,,,245.76,778.24,,,,,,,grouped,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/C_sw_grouped_mutualz/pair_3.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
4,4,pair_000022,medium_match,0.3,all,ok,49.86458969116211,55,83,28,100,90,False,0.645953618125482,55,55,75,63,0.44,0.44,0.6,0.504,125,125,25,99,27,89,204.8,819.2,,,,,,286.72,802.816,,,,,,,grouped,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000022/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000022/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/C_sw_grouped_mutualz/pair_4.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
5,5,pair_000020,medium_match,0.25,all,ok,41.28202819824219,63,93,30,102,103,False,0.6037909748062255,63,63,80,76,0.504,0.504,0.64,0.608,125,125,22,101,27,102,188.416,843.776,,,,,,180.224,802.816,,,,,,,grouped,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000020/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000020/B/linesImages/line_05.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/C_sw_grouped_mutualz/pair_5.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
6,6,pair_000017,medium_match,0.2,all,ok,44.01634979248047,47,76,29,90,97,False,0.6026696194993689,47,47,54,69,0.376,0.376,0.432,0.552,125,125,36,89,28,96,286.72,729.088,,,,,,229.376,794.624,,,,,,,grouped,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000017/A/linesImages/line_13.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000017/B/linesImages/line_04.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/C_sw_grouped_mutualz/pair_6.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
7,7,pair_000064,medium_match,0.16666666666666666,all,ok,40.69858169555664,64,93,29,102,101,False,0.5851928177289665,64,64,83,74,0.512,0.512,0.664,0.592,125,125,19,101,27,100,188.416,868.352,,,,,,196.608,802.816,,,,,,,grouped,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000064/A/linesImages/line_06.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000064/B/linesImages/line_09.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/C_sw_grouped_mutualz/pair_7.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
8,8,pair_000055,medium_match,0.2222222222222222,all,ok,34.11546325683594,57,91,34,91,98,False,0.6336187725527245,57,57,75,73,0.456,0.456,0.6,0.584,125,125,16,90,25,97,278.528,892.928,,,,,,221.184,819.2,,,,,,,grouped,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000055/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000055/B/linesImages/line_13.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/C_sw_grouped_mutualz/pair_8.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
9,9,pair_000054,high_match,0.8571428571428571,all,ok,31.858957290649414,58,96,38,92,102,False,0.6489086320687985,58,58,75,79,0.464,0.464,0.6,0.632,125,125,17,91,23,101,270.336,884.736,,,,,,188.416,835.584,,,,,,,grouped,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000054/A/linesImages/line_05.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000054/B/linesImages/line_14.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/C_sw_grouped_mutualz/pair_9.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
10,10,pair_000030,high_match,0.7,all,ok,49.89670944213867,52,85,33,97,101,False,0.6784301199592077,52,52,60,77,0.416,0.416,0.48,0.616,125,125,37,96,24,100,229.376,720.896,,,,,,196.608,827.392,,,,,,,grouped,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000030/A/linesImages/line_07.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000030/B/linesImages/line_12.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/C_sw_grouped_mutualz/pair_10.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
