index,manifest_position,pair_id,label_type,text_score,split,status,score,path_steps,traceback_steps,warp_steps,dp_max_row,dp_max_col,dp_max_is_terminal,mean_path_cosine,line1_path_windows,line2_path_windows,line1_span_windows,line2_span_windows,line1_path_fraction,line2_path_fraction,line1_matched_fraction,line2_matched_fraction,line1_windows,line2_windows,line1_path_start,line1_path_end,line2_path_start,line2_path_end,line1_pred_start_px,line1_pred_end_px,line1_gt_start_px,line1_gt_end_px,line1_region_iou,line1_start_error_px,line1_end_error_px,line2_pred_start_px,line2_pred_end_px,line2_gt_start_px,line2_gt_end_px,line2_region_iou,line2_start_error_px,line2_end_error_px,mean_region_iou,feature,score_mode,score_clip,threshold,gap,heatmap_source,dataset_type,binarized,binarization,flipped,image1,image2,binarized_image1,binarized_image2,output,error,real_box_evaluated,real_box_status,real_box_match_rule,real_box_min_coverage,real_box_coordinate_space,shared_subword_matches,pair_box_tp,pair_box_fp,pair_box_fn,pair_box_tn,pair_box_precision,pair_box_recall,pair_box_f1,pair_box_specificity,pair_box_accuracy,mean_box_interval_iou,mean_box_pixel_iou,line1_box_annotation_path,line1_box_annotation_sheet,line1_box_annotation_status,line1_box_annotation_error,line1_box_count,line1_shared_gt_boxes,line1_predicted_mask_boxes,line1_box_tp,line1_box_fp,line1_box_fn,line1_box_tn,line1_box_precision,line1_box_recall,line1_box_f1,line1_box_specificity,line1_box_accuracy,line1_mean_box_mask_coverage,line1_shared_box_mask_coverage,line1_box_interval_iou,line1_box_pixel_precision,line1_box_pixel_recall,line1_box_pixel_f1,line1_box_pixel_iou,line2_box_annotation_path,line2_box_annotation_sheet,line2_box_annotation_status,line2_box_annotation_error,line2_box_count,line2_shared_gt_boxes,line2_predicted_mask_boxes,line2_box_tp,line2_box_fp,line2_box_fn,line2_box_tn,line2_box_precision,line2_box_recall,line2_box_f1,line2_box_specificity,line2_box_accuracy,line2_mean_box_mask_coverage,line2_shared_box_mask_coverage,line2_box_interval_iou,line2_box_pixel_precision,line2_box_pixel_recall,line2_box_pixel_f1,line2_box_pixel_iou
1,1,pair_000013,high_match,0.7777777777777778,all,ok,37.869407653808594,40,82,42,103,84,False,0.5809119774028659,40,40,67,55,0.32,0.32,0.536,0.44,125,125,36,102,29,83,180.224,729.088,,,,,,335.872,786.432,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/B/linesImages/line_03.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/D_sw_contextual_mutualz/pair_1.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
2,2,pair_000027,high_match,0.8888888888888888,all,ok,30.137554168701172,49,91,42,101,89,False,0.5742561300190128,49,49,80,60,0.392,0.392,0.64,0.48,125,125,21,100,29,88,196.608,851.968,,,,,,294.912,786.432,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000027/A/linesImages/line_01.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000027/B/linesImages/line_10.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/D_sw_contextual_mutualz/pair_2.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
3,3,pair_000024,high_match,0.8,all,ok,37.39711380004883,50,83,33,103,95,False,0.5321221596002579,50,50,70,63,0.4,0.4,0.56,0.504,125,125,33,102,32,94,180.224,753.664,,,,,,245.76,761.856,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/D_sw_contextual_mutualz/pair_3.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
4,4,pair_000022,medium_match,0.3,all,ok,39.86335754394531,48,86,38,100,89,False,0.585992339377602,48,48,72,62,0.384,0.384,0.576,0.496,125,125,28,99,27,88,204.8,794.624,,,,,,294.912,802.816,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000022/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000022/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/D_sw_contextual_mutualz/pair_4.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
5,5,pair_000020,medium_match,0.25,all,ok,25.721364974975586,47,93,46,95,102,False,0.5356196193618977,47,47,72,68,0.376,0.376,0.576,0.544,125,125,23,94,34,101,245.76,835.584,,,,,,188.416,745.472,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000020/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000020/B/linesImages/line_05.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/D_sw_contextual_mutualz/pair_5.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
6,6,pair_000017,medium_match,0.2,all,ok,28.44300079345703,41,79,38,90,97,False,0.4651593920297739,41,41,52,68,0.328,0.328,0.416,0.544,125,125,38,89,29,96,286.72,712.704,,,,,,229.376,786.432,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000017/A/linesImages/line_13.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000017/B/linesImages/line_04.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/D_sw_contextual_mutualz/pair_6.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
7,7,pair_000064,medium_match,0.16666666666666666,all,ok,31.99197769165039,40,76,36,99,99,False,0.550008968450129,40,40,70,46,0.32,0.32,0.56,0.368,125,125,29,98,53,98,212.992,786.432,,,,,,212.992,589.824,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000064/A/linesImages/line_06.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000064/B/linesImages/line_09.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/D_sw_contextual_mutualz/pair_7.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
8,8,pair_000055,medium_match,0.2222222222222222,all,ok,39.30082702636719,46,83,37,91,98,False,0.6144992618457131,46,46,56,73,0.368,0.368,0.448,0.584,125,125,35,90,25,97,278.528,737.28,,,,,,221.184,819.2,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000055/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000055/B/linesImages/line_13.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/D_sw_contextual_mutualz/pair_8.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
9,9,pair_000054,high_match,0.8571428571428571,all,ok,18.87675666809082,53,99,46,96,100,False,0.6175878199766267,53,53,78,74,0.424,0.424,0.624,0.592,125,125,18,95,26,99,237.568,876.544,,,,,,204.8,811.008,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000054/A/linesImages/line_05.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000054/B/linesImages/line_14.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/D_sw_contextual_mutualz/pair_9.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
10,10,pair_000030,high_match,0.7,all,ok,36.33835220336914,42,85,43,95,91,False,0.6157216819978896,42,42,61,66,0.336,0.336,0.488,0.528,125,125,34,94,25,90,245.76,745.472,,,,,,278.528,819.2,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000030/A/linesImages/line_07.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000030/B/linesImages/line_12.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/D_sw_contextual_mutualz/pair_10.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
