index,manifest_position,pair_id,label_type,text_score,split,status,score,path_steps,traceback_steps,warp_steps,dp_max_row,dp_max_col,dp_max_is_terminal,mean_path_cosine,line1_path_windows,line2_path_windows,line1_span_windows,line2_span_windows,line1_path_fraction,line2_path_fraction,line1_matched_fraction,line2_matched_fraction,line1_windows,line2_windows,line1_path_start,line1_path_end,line2_path_start,line2_path_end,line1_pred_start_px,line1_pred_end_px,line1_gt_start_px,line1_gt_end_px,line1_region_iou,line1_start_error_px,line1_end_error_px,line2_pred_start_px,line2_pred_end_px,line2_gt_start_px,line2_gt_end_px,line2_region_iou,line2_start_error_px,line2_end_error_px,mean_region_iou,feature,score_mode,score_clip,threshold,gap,heatmap_source,dataset_type,binarized,binarization,flipped,image1,image2,binarized_image1,binarized_image2,output,error,real_box_evaluated,real_box_status,real_box_match_rule,real_box_min_coverage,real_box_coordinate_space,shared_subword_matches,pair_box_tp,pair_box_fp,pair_box_fn,pair_box_tn,pair_box_precision,pair_box_recall,pair_box_f1,pair_box_specificity,pair_box_accuracy,mean_box_interval_iou,mean_box_pixel_iou,line1_box_annotation_path,line1_box_annotation_sheet,line1_box_annotation_status,line1_box_annotation_error,line1_box_count,line1_shared_gt_boxes,line1_predicted_mask_boxes,line1_box_tp,line1_box_fp,line1_box_fn,line1_box_tn,line1_box_precision,line1_box_recall,line1_box_f1,line1_box_specificity,line1_box_accuracy,line1_mean_box_mask_coverage,line1_shared_box_mask_coverage,line1_box_interval_iou,line1_box_pixel_precision,line1_box_pixel_recall,line1_box_pixel_f1,line1_box_pixel_iou,line2_box_annotation_path,line2_box_annotation_sheet,line2_box_annotation_status,line2_box_annotation_error,line2_box_count,line2_shared_gt_boxes,line2_predicted_mask_boxes,line2_box_tp,line2_box_fp,line2_box_fn,line2_box_tn,line2_box_precision,line2_box_recall,line2_box_f1,line2_box_specificity,line2_box_accuracy,line2_mean_box_mask_coverage,line2_shared_box_mask_coverage,line2_box_interval_iou,line2_box_pixel_precision,line2_box_pixel_recall,line2_box_pixel_f1,line2_box_pixel_iou
1,1,pair_000025,no_shared_content,0.0,all,ok,39.63726043701172,66,99,33,103,104,False,0.7071586621530128,66,66,80,85,0.528,0.528,0.64,0.68,125,125,23,102,19,103,180.224,835.584,,,,,,172.032,868.352,,,,,,,local,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000025/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000025/B/linesImages/line_08.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/E_sw_local_mutualz_no_shared/pair_1.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
2,2,pair_000013,no_shared_content,0.0,all,ok,34.72084426879883,59,97,38,102,101,False,0.7444640297000691,59,59,79,77,0.472,0.472,0.632,0.616,125,125,23,101,24,100,188.416,835.584,,,,,,196.608,827.392,,,,,,,local,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/A/linesImages/line_10.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/B/linesImages/line_13.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/E_sw_local_mutualz_no_shared/pair_2.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
3,3,pair_000054,no_shared_content,0.0,all,ok,37.4601936340332,53,86,33,93,102,False,0.6969542177218311,53,53,60,79,0.424,0.424,0.48,0.632,125,125,33,92,23,101,262.144,753.664,,,,,,188.416,835.584,,,,,,,local,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000054/A/linesImages/line_03.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000054/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/E_sw_local_mutualz_no_shared/pair_3.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
4,4,pair_000035,no_shared_content,0.09090909090909091,all,ok,37.8772087097168,52,81,29,95,101,False,0.7040815341931123,52,52,57,76,0.416,0.416,0.456,0.608,125,125,38,94,25,100,245.76,712.704,,,,,,196.608,819.2,,,,,,,local,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000035/A/linesImages/line_03.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000035/B/linesImages/line_08.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/E_sw_local_mutualz_no_shared/pair_4.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
5,5,pair_000051,no_shared_content,0.0,all,ok,33.466827392578125,54,85,31,93,102,False,0.7172844558954239,54,54,62,77,0.432,0.432,0.496,0.616,125,125,31,92,25,101,262.144,770.048,,,,,,188.416,819.2,,,,,,,local,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000051/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000051/B/linesImages/line_13.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/E_sw_local_mutualz_no_shared/pair_5.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
6,6,pair_000036,no_shared_content,0.0,all,ok,31.768905639648438,50,64,14,93,96,False,0.7493730282783508,50,50,60,54,0.4,0.4,0.48,0.432,125,125,33,92,42,95,262.144,753.664,,,,,,237.568,679.936,,,,,,,local,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000036/A/linesImages/line_06.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000036/B/linesImages/line_08.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/E_sw_local_mutualz_no_shared/pair_6.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
7,7,pair_000018,no_shared_content,0.0,all,ok,32.109275817871094,65,113,48,113,105,False,0.7500060049387125,65,65,93,85,0.52,0.52,0.744,0.68,125,125,20,112,20,104,98.304,860.16,,,,,,163.84,860.16,,,,,,,local,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000018/A/linesImages/line_08.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000018/B/linesImages/line_08.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/E_sw_local_mutualz_no_shared/pair_7.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
8,8,pair_000055,no_shared_content,0.0,all,ok,47.437286376953125,55,78,23,97,97,False,0.7376281803304499,55,55,69,64,0.44,0.44,0.552,0.512,125,125,28,96,33,96,229.376,794.624,,,,,,229.376,753.664,,,,,,,local,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000055/A/linesImages/line_05.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000055/B/linesImages/line_05.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/E_sw_local_mutualz_no_shared/pair_8.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
9,9,pair_000047,no_shared_content,0.0,all,ok,40.17550277709961,53,83,30,100,101,False,0.7353700539975796,53,53,73,63,0.424,0.424,0.584,0.504,125,125,27,99,38,100,204.8,802.816,,,,,,196.608,712.704,,,,,,,local,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000047/A/linesImages/line_04.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000047/B/linesImages/line_08.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/E_sw_local_mutualz_no_shared/pair_9.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
10,10,pair_000026,no_shared_content,0.0,all,ok,35.628543853759766,58,97,39,104,98,False,0.74069819676465,58,58,83,72,0.464,0.464,0.664,0.576,125,125,21,103,26,97,172.032,851.968,,,,,,221.184,811.008,,,,,,,local,mutual-z,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000026/A/linesImages/line_06.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000026/B/linesImages/line_07.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Alignment_Diagnostics/cnn_phase3_alignment_diagnostics_nobox/E_sw_local_mutualz_no_shared/pair_10.png,,False,missing_annotations,center,0.5,original,0,0,0,0,0,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,,,,missing,No bbox.json annotation file was found,0,0,0,0,0,0,0,,,,,,,,,,,,
