index,manifest_position,pair_id,label_type,text_score,split,status,score,path_steps,traceback_steps,warp_steps,dp_max_row,dp_max_col,dp_max_is_terminal,mean_path_cosine,line1_path_windows,line2_path_windows,line1_span_windows,line2_span_windows,line1_path_fraction,line2_path_fraction,line1_matched_fraction,line2_matched_fraction,line1_windows,line2_windows,line1_path_start,line1_path_end,line2_path_start,line2_path_end,line1_pred_start_px,line1_pred_end_px,line1_gt_start_px,line1_gt_end_px,line1_region_iou,line1_start_error_px,line1_end_error_px,line2_pred_start_px,line2_pred_end_px,line2_gt_start_px,line2_gt_end_px,line2_region_iou,line2_start_error_px,line2_end_error_px,mean_region_iou,feature,score_mode,score_clip,threshold,gap,heatmap_source,dataset_type,binarized,binarization,flipped,image1,image2,binarized_image1,binarized_image2,output,error
1,311,pair_000060,high_match,0.8,test,ok,121.79015350341797,53,62,9,87,95,False,0.7949835073273137,53,53,59,56,0.424,0.424,0.472,0.448,125,125,28,86,39,94,311.296,794.624,,,,,,245.76,704.512,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000060/A/linesImages/line_01.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000060/B/linesImages/line_14.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM/Real_Experiments/cnn_bilstm_real_aug/high_match/pair_1.png,
2,157,pair_000008,high_match,0.5555555555555556,test,ok,4.759881019592285,7,8,1,110,26,False,0.6881504016263145,7,7,7,8,0.056,0.056,0.056,0.064,125,125,103,109,18,25,122.88,180.224,,,,,,811.008,876.544,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000008/A/linesImages/line_15.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000008/B/linesImages/line_01.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM/Real_Experiments/cnn_bilstm_real_aug/high_match/pair_2.png,
3,112,pair_000023,high_match,0.8,test,ok,128.52259826660156,62,97,35,103,95,False,0.753850586652275,62,62,93,66,0.496,0.496,0.744,0.528,125,125,10,102,29,94,180.224,942.08,,,,,,245.76,786.432,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000023/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000023/B/linesImages/line_05.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM/Real_Experiments/cnn_bilstm_real_aug/high_match/pair_3.png,
12,4,pair_000015,high_match,0.7777777777777778,test,ok,142.7562255859375,71,101,30,115,108,False,0.7549480195091643,71,71,99,73,0.568,0.568,0.792,0.584,125,125,16,114,35,107,81.92,892.928,,,,,,139.264,737.28,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000015/A/linesImages/line_09.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000015/B/linesImages/line_14.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM/Real_Experiments/cnn_bilstm_real_aug/high_match/pair_12.png,
20,37,pair_000002,high_match,0.8,test,ok,146.85015869140625,59,90,31,107,91,False,0.8701669235350722,59,59,80,69,0.472,0.472,0.64,0.552,125,125,27,106,22,90,147.456,802.816,,,,,,278.528,843.776,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000002/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000002/B/linesImages/line_04.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM/Real_Experiments/cnn_bilstm_real_aug/high_match/pair_20.png,
27,38,pair_000065,high_match,0.7272727272727273,test,ok,100.15274047851562,49,67,18,96,99,False,0.7757712452083217,49,49,52,64,0.392,0.392,0.416,0.512,125,125,44,95,35,98,237.568,663.552,,,,,,212.992,737.28,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000065/A/linesImages/line_09.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000065/B/linesImages/line_03.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM/Real_Experiments/cnn_bilstm_real_aug/high_match/pair_27.png,
33,75,pair_000004,high_match,0.7142857142857143,test,ok,124.2127914428711,55,70,15,98,87,False,0.7839558742263101,55,55,63,62,0.44,0.44,0.504,0.496,125,125,35,97,25,86,221.184,737.28,,,,,,311.296,819.2,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000004/A/linesImages/line_02.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000004/B/linesImages/line_07.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM/Real_Experiments/cnn_bilstm_real_aug/high_match/pair_33.png,
38,178,pair_000053,high_match,0.8571428571428571,test,ok,134.5288848876953,61,98,37,108,97,False,0.7785823257243047,61,61,91,68,0.488,0.488,0.728,0.544,125,125,17,107,29,96,139.264,884.736,,,,,,229.376,786.432,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000053/A/linesImages/line_13.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000053/B/linesImages/line_07.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM/Real_Experiments/cnn_bilstm_real_aug/high_match/pair_38.png,
42,181,pair_000025,high_match,0.5454545454545454,test,ok,90.51942443847656,39,48,9,99,69,False,0.7985107791729462,39,39,41,46,0.312,0.312,0.328,0.368,125,125,58,98,23,68,212.992,548.864,,,,,,458.752,835.584,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000025/A/linesImages/line_02.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000025/B/linesImages/line_11.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM/Real_Experiments/cnn_bilstm_real_aug/high_match/pair_42.png,
46,170,pair_000010,high_match,0.75,test,ok,108.01031494140625,50,67,17,96,97,False,0.8098595629632473,50,50,65,52,0.4,0.4,0.52,0.416,125,125,31,95,45,96,237.568,770.048,,,,,,229.376,655.36,,,,,,,contextual,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000010/A/linesImages/line_05.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000010/B/linesImages/line_14.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM/Real_Experiments/cnn_bilstm_real_aug/high_match/pair_46.png,
