example_id,line_index,image,crop_fraction,degradation,gt_start_px,gt_end_px,pred_start_px,pred_end_px,interval_iou,boundary_mae_px,boundary_mae_normalized,center_error_px,center_error_normalized,sw_score,normalized_sw_score,mean_path_cosine,path_steps,target_windows,score_mode
1,1,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000052/B/linesImages/line_11.png,0.2,none,281.0,486.0,557.056,786.432,0.0,288.244,0.28148828125,288.244,0.28148828125,31.26438331604004,1.1165851184300013,0.9875828155449459,28,125,mutual-z+ink
2,1,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000052/B/linesImages/line_11.png,0.35,blur,387.0,745.0,393.216,786.432,0.8807106090648721,23.824000000000012,0.023265625000000012,23.82400000000007,0.023265625000000068,36.349952697753906,0.7572906812032064,0.9903085691233476,48,125,mutual-z+ink
3,1,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000052/B/linesImages/line_11.png,0.5,contrast,279.0,791.0,229.376,786.432,0.903508397077048,27.09599999999999,0.02646093749999999,27.096000000000004,0.026460937500000004,40.2144775390625,0.5913893755744485,0.9888036726042628,64,125,mutual-z+ink
4,2,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000065/A/linesImages/line_05.png,0.2,noise,290.0,495.0,262.144,507.904,0.8341471354166667,20.379999999999995,0.019902343749999996,7.475999999999999,0.007300781249999999,87.24677276611328,2.9082257588704428,0.8508668304260435,29,125,mutual-z+ink
5,2,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000065/A/linesImages/line_05.png,0.35,morphology,489.0,847.0,483.328,843.776,0.9755383972370706,4.448000000000036,0.004343750000000035,4.448000000000093,0.004343750000000091,118.31410217285156,2.5720456994098164,0.8594921195790881,42,125,mutual-z+ink
6,2,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000065/A/linesImages/line_05.png,0.5,none,215.0,727.0,204.8,737.28,0.9615384615384615,10.23999999999998,0.009999999999999981,0.03999999999996362,3.906249999996447e-05,189.56642150878906,2.916406484750601,0.9543079211161687,65,125,mutual-z+ink
7,3,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000050/B/linesImages/line_11.png,0.2,blur,335.0,540.0,237.568,630.784,0.5213419596354166,94.10799999999999,0.09190234374999999,3.3240000000000123,0.003246093750000012,71.69451141357422,1.493635654449463,0.7827901994543416,28,125,mutual-z+ink
8,3,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000050/B/linesImages/line_11.png,0.35,contrast,187.0,545.0,163.84,638.976,0.7534684806034483,58.568,0.0571953125,35.408000000000015,0.034578125000000015,116.77896118164062,1.9793044268074682,0.8328530986023985,46,125,mutual-z+ink
9,3,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000050/B/linesImages/line_11.png,0.5,noise,165.0,677.0,163.84,704.512,0.9469696969696971,14.33599999999997,0.01399999999999997,13.175999999999988,0.012867187499999988,161.52720642089844,2.4108538271775886,0.8573879320470114,63,125,mutual-z+ink
10,4,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000009/A/linesImages/line_15.png,0.2,morphology,622.0,827.0,598.016,827.392,0.893729073660714,12.188000000000045,0.011902343750000044,11.79600000000005,0.011519531250000048,72.59426879882812,2.5032506482354524,0.8550631770243248,24,125,mutual-z+ink
