sample_index,test_ordinal,score,score_per_window,path_steps,traceback_steps,warp_steps,line1_path_windows,line2_path_windows,line1_span_windows,line2_span_windows,line1_path_fraction,line2_path_fraction,line1_matched_fraction,line2_matched_fraction,line1_path_start,line1_path_end,line2_path_start,line2_path_end,line1_window_iou,line1_window_precision,line1_window_recall,line1_window_f1,line1_window_start_error,line1_window_end_error,line1_window_center_error,line1_window_length_error,line1_window_pred_length,line1_window_gt_length,line1_pixel_iou,line1_pixel_precision,line1_pixel_recall,line1_pixel_f1,line1_pixel_start_error,line1_pixel_end_error,line1_pixel_center_error,line1_pixel_length_error,line1_pixel_pred_length,line1_pixel_gt_length,line1_gt_window_start,line1_gt_window_end,line1_pred_pixel_start,line1_pred_pixel_end,line1_gt_pixel_start,line1_gt_pixel_end,line2_window_iou,line2_window_precision,line2_window_recall,line2_window_f1,line2_window_start_error,line2_window_end_error,line2_window_center_error,line2_window_length_error,line2_window_pred_length,line2_window_gt_length,line2_pixel_iou,line2_pixel_precision,line2_pixel_recall,line2_pixel_f1,line2_pixel_start_error,line2_pixel_end_error,line2_pixel_center_error,line2_pixel_length_error,line2_pixel_pred_length,line2_pixel_gt_length,line2_gt_window_start,line2_gt_window_end,line2_pred_pixel_start,line2_pred_pixel_end,line2_gt_pixel_start,line2_gt_pixel_end,pair_mean_window_iou,pair_min_window_iou,pair_mean_window_f1,pair_mean_pixel_iou,pair_min_pixel_iou,mean_boundary_error_px,max_boundary_error_px,all_boundaries_within_one_stride,random_oracle_length_iou,full_line_baseline_iou,retrieval_rank,retrieval_top1,best_negative_score,best_negative_margin
1848,446,14.919249534606934,0.23681348467630053,28,28,0,28,28,28,28,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,35,62,0,27,0.0,0.0,0.0,0.0,34.0,29.0,31.5,5.0,28.0,33.0,0.0,0.0,0.0,0.0,467.0,559.8888888888889,513.4444444444445,92.88888888888891,455.1111111111111,548.0,1,33,0.0,455.1111111111111,467,1015,0.0,0.0,0.0,0.0,29.0,34.0,31.5,5.0,28.0,33.0,0.0,0.0,0.0,0.0,559.8888888888889,476.0,517.9444444444445,83.88888888888891,455.1111111111111,539.0,29,61,568.8888888888889,1024.0,9,548,0.0,0.0,0.0,0.0,0.0,515.6944444444445,559.8888888888889,False,0.44982915340493745,0.5238095238095238,1,True,2.1951582431793213,12.724091291427612
1846,1144,16.588281631469727,0.26330605764237663,55,69,14,55,55,61,63,0.873015873015873,0.873015873015873,0.9682539682539683,1.0,0,60,0,62,0.4098360655737705,0.4098360655737705,1.0,0.5813953488372093,0.0,36.0,18.0,36.0,61.0,25.0,0.4064581198770491,0.40645811987704916,1.0,0.5779882303393168,580.4920634920635,8.0,286.2460317460318,588.4920634920635,991.4920634920635,403.0,0,24,32.507936507936506,1024.0,613,1016,0.3968253968253968,0.3968253968253968,1.0,0.5681818181818182,0.0,38.0,19.0,38.0,63.0,25.0,0.388671875,0.388671875,1.0,0.559774964838256,618.0,8.0,305.0,626.0,1024.0,398.0,0,24,0.0,1024.0,618,1016,0.4033307311995836,0.3968253968253968,0.5747885835095138,0.3975649974385246,0.388671875,303.6230158730159,618.0,False,0.26667763151459534,0.3968253968253968,1,True,10.31775188446045,6.270529747009277
6688,867,13.055684089660645,0.2072330807882642,41,63,22,41,41,44,60,0.6507936507936508,0.6507936507936508,0.6984126984126984,0.9523809523809523,17,60,0,59,0.5681818181818182,0.5681818181818182,1.0,0.7246376811594203,18.0,1.0,8.5,19.0,44.0,25.0,0.5565074573863636,0.5565074573863636,1.0,0.715072009125909,20.492063492063494,296.68253968253964,138.09523809523807,317.17460317460313,715.1746031746031,398.0,35,59,32.507936507936506,747.6825396825396,53,451,0.4166666666666667,0.4166666666666667,1.0,0.5882352941176471,34.0,1.0,16.5,35.0,60.0,25.0,0.411181640625,0.411181640625,1.0,0.5827480017992457,15.23809523809524,559.0,271.8809523809524,574.2380952380952,975.2380952380952,401.0,34,58,48.76190476190476,1024.0,64,465,0.49242424242424243,0.4166666666666667,0.6564364876385337,0.48384454900568186,0.411181640625,222.85317460317458,559.0,False,0.33082527690712826,0.3968253968253968,1,True,2.5601425170898438,10.4955415725708
3509,584,14.177371978759766,0.22503765045650423,40,64,24,40,40,60,44,0.6349206349206349,0.6349206349206349,0.9523809523809523,0.6984126984126984,0,59,19,62,0.43333333333333335,0.43333333333333335,1.0,0.6046511627906976,34.0,0.0,17.0,34.0,60.0,26.0,0.4296913039244328,0.430908203125,0.9934706743217382,0.6010966181929639,2.761904761904759,555.0,278.8809523809524,552.2380952380952,975.2380952380952,423.0,34,59,48.76190476190476,1024.0,46,469,0.5909090909090909,0.5909090909090909,1.0,0.7428571428571429,17.0,1.0,8.0,18.0,44.0,26.0,0.6096413352272727,0.6096413352272727,1.0,0.7574871766587612,9.0,270.17460317460313,130.58730158730157,279.17460317460313,715.1746031746031,436.0,36,61,0.0,715.1746031746031,9,445,0.5121212121212122,0.43333333333333335,0.6737541528239203,0.5196663195758527,0.4296913039244328,209.234126984127,555.0,False,0.3319219015265743,0.4126984126984127,1,True,2.786388635635376,11.39098334312439
1414,90,15.021869659423828,0.23844237554640996,55,71,16,55,55,63,63,0.873015873015873,0.873015873015873,1.0,1.0,0,62,0,62,0.4603174603174603,0.4603174603174603,1.0,0.6304347826086957,1.0,33.0,16.0,34.0,63.0,29.0,0.474609375,0.474609375,1.0,0.6437086092715232,529.0,9.0,260.0,538.0,1024.0,486.0,1,29,0.0,1024.0,529,1015,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846153,1.0,34.0,16.5,35.0,63.0,28.0,0.45703125,0.45703125,1.0,0.6273458445040214,547.0,9.0,269.0,556.0,1024.0,468.0,1,28,0.0,1024.0,547,1015,0.45238095238095233,0.4444444444444444,0.6229096989966555,0.4658203125,0.45703125,273.5,547.0,False,0.35865875074935155,0.45238095238095233,1,True,12.386890411376953,2.634979248046875
2140,598,15.610630989074707,0.2477877934773763,58,68,10,58,58,63,63,0.9206349206349206,0.9206349206349206,1.0,1.0,0,62,0,62,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846153,34.0,1.0,16.5,35.0,63.0,28.0,0.45703125,0.45703125,1.0,0.6273458445040214,9.0,547.0,269.0,556.0,1024.0,468.0,34,61,0.0,1024.0,9,477,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846153,34.0,1.0,16.5,35.0,63.0,28.0,0.458984375,0.458984375,1.0,0.6291834002677377,9.0,545.0,268.0,554.0,1024.0,470.0,34,61,0.0,1024.0,9,479,0.4444444444444444,0.4444444444444444,0.6153846153846153,0.4580078125,0.45703125,277.5,547.0,False,0.3396248471922759,0.4444444444444444,1,True,7.584765434265137,8.02586555480957
6466,985,12.83523941040039,0.2037339588952443,44,62,18,44,44,60,46,0.6984126984126984,0.6984126984126984,0.9523809523809523,0.7301587301587301,0,59,0,45,0.45,0.45,1.0,0.6206896551724138,32.0,1.0,15.5,33.0,60.0,27.0,0.44501953125000004,0.44501953125000004,1.0,0.6159356626343178,20.23809523809524,521.0,250.3809523809524,541.2380952380952,975.2380952380952,434.0,32,58,48.76190476190476,1024.0,69,503,0.5652173913043478,0.5652173913043478,1.0,0.7222222222222222,19.0,1.0,9.0,20.0,46.0,26.0,0.5617357336956521,0.5617357336956521,1.0,0.7193736066554293,13.682539682539698,314.0,150.15873015873012,327.68253968253975,747.6825396825398,420.0,19,44,276.3174603174603,1024.0,290,710,0.5076086956521739,0.45,0.671455938697318,0.5033776324728261,0.44501953125000004,217.23015873015873,521.0,False,0.44222452915582766,0.4206349206349206,1,True,4.087831497192383,8.747407913208008
151,308,16.049474716186523,0.25475356692359563,43,64,21,43,43,62,45,0.6825396825396826,0.6825396825396826,0.9841269841269841,0.7142857142857143,0,61,0,44,0.45161290322580644,0.45161290322580644,1.0,0.6222222222222222,1.0,33.0,16.0,34.0,62.0,28.0,0.4544795866935484,0.4544795866935484,1.0,0.6249377314764678,540.7460317460318,9.0,265.8730158730159,549.7460317460318,1007.7460317460318,458.0,1,28,16.253968253968253,1024.0,557,1015,0.5777777777777777,0.5777777777777777,1.0,0.732394366197183,1.0,18.0,8.5,19.0,45.0,26.0,0.5960937499999999,0.59609375,1.0,0.7469407733724913,286.42857142857144,9.0,138.71428571428578,295.42857142857144,731.4285714285714,436.0,1,26,292.57142857142856,1024.0,579,1015,0.5146953405017921,0.45161290322580644,0.6773082942097026,0.5252866683467741,0.4544795866935484,211.2936507936508,540.7460317460318,False,0.31798081289485514,0.42857142857142855,1,True,6.606610298156738,9.442864418029785
7287,1454,14.368884086608887,0.22807752518426805,43,65,22,43,43,62,46,0.6825396825396826,0.6825396825396826,0.9841269841269841,0.7301587301587301,0,61,0,45,0.45161290322580644,0.45161290322580644,1.0,0.6222222222222222,1.0,33.0,16.0,34.0,62.0,28.0,0.4534872731854838,0.4534872731854838,1.0,0.6239989596766328,541.7460317460318,9.0,266.3730158730159,550.7460317460318,1007.7460317460318,457.0,1,28,16.253968253968253,1024.0,558,1015,0.5869565217391305,0.5869565217391305,1.0,0.7397260273972603,1.0,18.0,8.5,19.0,46.0,27.0,0.6031971807065217,0.6031971807065217,1.0,0.7524928161870837,287.6825396825397,9.0,139.34126984126988,296.68253968253975,747.6825396825398,451.0,1,27,276.3174603174603,1024.0,564,1015,0.5192847124824684,0.45161290322580644,0.6809741248097413,0.5283422269460027,0.4534872731854838,211.8571428571429,541.7460317460318,False,0.33464074279121214,0.4365079365079365,1,True,2.7232933044433594,11.645590782165527
4634,425,12.200699806213379,0.19366190168592665,44,67,23,44,44,63,48,0.6984126984126984,0.6984126984126984,1.0,0.7619047619047619,0,62,0,47,0.4603174603174603,0.4603174603174603,1.0,0.6304347826086957,1.0,33.0,16.0,34.0,63.0,29.0,0.4619140625,0.4619140625,1.0,0.6319305277221109,542.0,9.0,266.5,551.0,1024.0,473.0,1,29,0.0,1024.0,542,1015,0.625,0.625,1.0,0.7692307692307693,1.0,17.0,8.0,18.0,48.0,30.0,0.640869140625,0.640869140625,1.0,0.7811337598571642,271.1904761904762,9.0,131.09523809523807,280.19047619047615,780.1904761904761,500.0,1,30,243.8095238095238,1024.0,515,1015,0.5426587301587301,0.4603174603174603,0.6998327759197325,0.5513916015625,0.4619140625,207.79761904761904,542.0,False,0.3600201450970474,0.46825396825396826,1,True,4.081897258758545,8.118802547454834
