index,manifest_position,pair_id,label_type,text_score,split,status,score,path_steps,traceback_steps,warp_steps,dp_max_row,dp_max_col,dp_max_is_terminal,mean_path_cosine,line1_path_windows,line2_path_windows,line1_span_windows,line2_span_windows,line1_path_fraction,line2_path_fraction,line1_matched_fraction,line2_matched_fraction,line1_windows,line2_windows,line1_path_start,line1_path_end,line2_path_start,line2_path_end,line1_pred_start_px,line1_pred_end_px,line1_gt_start_px,line1_gt_end_px,line1_region_iou,line1_start_error_px,line1_end_error_px,line2_pred_start_px,line2_pred_end_px,line2_gt_start_px,line2_gt_end_px,line2_region_iou,line2_start_error_px,line2_end_error_px,mean_region_iou,feature,score_mode,score_clip,threshold,gap,heatmap_source,dataset_type,binarized,binarization,flipped,image1,image2,binarized_image1,binarized_image2,output,error
1,-1,,,0.0,,ok,29.298940658569336,62,70,8,66,125,False,0.9612732856504379,62,62,66,66,0.496,0.496,0.528,0.528,125,125,0,65,59,124,483.328,1024.0,594,1015,0.7786606297348484,110.67200000000003,9.0,0.0,540.672,112,544,0.788,112.0,3.3279999999999745,0.7833303148674242,contextual,raw,4.0,0.45,-0.3,dp-score,synthetic,False,none,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img1_1.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img2_1.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM_ConnectedSubword/Synthetic/cnn_connected_subword_synthetic/pair_1.png,
2,-1,,,0.0,,ok,39.236289978027344,104,144,40,123,125,False,0.9426563383581547,104,104,123,125,0.832,0.832,0.984,1.0,125,125,0,122,0,124,16.384,1024.0,555,1015,0.4565231199186992,538.616,9.0,0.0,1024.0,537,1012,0.4638671875,537.0,12.0,0.4601951537093496,contextual,raw,4.0,0.45,-0.3,dp-score,synthetic,False,none,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img1_2.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img2_2.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM_ConnectedSubword/Synthetic/cnn_connected_subword_synthetic/pair_2.png,
3,-1,,,0.0,,ok,48.04103469848633,107,122,15,116,125,False,0.9410376986749819,107,107,116,113,0.856,0.856,0.928,0.904,125,125,0,115,12,124,73.728,1024.0,9,571,0.4899231527093596,64.728,453.0,0.0,925.696,9,547,0.5811843196902655,9.0,378.696,0.5355537361998126,contextual,raw,4.0,0.45,-0.3,dp-score,synthetic,False,none,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img1_3.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img2_3.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM_ConnectedSubword/Synthetic/cnn_connected_subword_synthetic/pair_3.png,
4,-1,,,0.0,,ok,31.441335678100586,89,134,45,100,124,False,0.9549588333354907,89,89,100,123,0.712,0.712,0.8,0.984,125,125,0,99,1,123,204.8,1024.0,240,621,0.465087890625,35.19999999999999,403.0,8.192,1015.808,27,417,0.3870522103658537,18.808,598.808,0.42607005049542684,contextual,raw,4.0,0.45,-0.3,dp-score,synthetic,False,none,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img1_4.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img2_4.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM_ConnectedSubword/Synthetic/cnn_connected_subword_synthetic/pair_4.png,
5,-1,,,0.0,,ok,30.11372184753418,73,83,10,125,77,False,0.9036125367226666,73,73,79,77,0.584,0.584,0.632,0.616,125,125,46,124,0,76,0.0,647.168,108,641,0.8235883109177216,108.0,6.168000000000006,393.216,1024.0,503,1012,0.806932325487013,109.78399999999999,12.0,0.8152603182023672,contextual,raw,4.0,0.45,-0.3,dp-score,synthetic,False,none,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img1_5.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img2_5.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM_ConnectedSubword/Synthetic/cnn_connected_subword_synthetic/pair_5.png,
6,-1,,,0.0,,ok,34.03739929199219,84,99,15,125,89,False,0.9087784505848374,84,84,94,89,0.672,0.672,0.752,0.712,125,125,31,124,0,88,0.0,770.048,231,763,0.6908660239361702,231.0,7.048000000000002,294.912,1024.0,493,1015,0.7159629564606742,198.08800000000002,9.0,0.7034144901984223,contextual,raw,4.0,0.45,-0.3,dp-score,synthetic,False,none,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img1_6.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img2_6.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM_ConnectedSubword/Synthetic/cnn_connected_subword_synthetic/pair_6.png,
7,-1,,,0.0,,ok,23.894031524658203,74,106,32,89,125,False,0.9026218684943946,74,74,89,91,0.592,0.592,0.712,0.728,125,125,0,88,34,124,294.912,1024.0,366,744,0.5184559339887641,71.08800000000002,280.0,0.0,745.472,108,490,0.5124270260989011,108.0,255.47199999999998,0.5154414800438326,contextual,raw,4.0,0.45,-0.3,dp-score,synthetic,False,none,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img1_7.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img2_7.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM_ConnectedSubword/Synthetic/cnn_connected_subword_synthetic/pair_7.png,
8,-1,,,0.0,,ok,34.43840408325195,83,102,19,95,123,False,0.9335951433034546,83,83,95,90,0.664,0.664,0.76,0.72,125,125,0,94,33,122,245.76,1024.0,272,786,0.6604646381578947,26.24000000000001,238.0,16.384,753.664,9,545,0.7098718348140907,7.384,208.664,0.6851682364859927,contextual,raw,4.0,0.45,-0.3,dp-score,synthetic,False,none,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img1_8.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img2_8.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM_ConnectedSubword/Synthetic/cnn_connected_subword_synthetic/pair_8.png,
9,-1,,,0.0,,ok,37.764892578125,97,119,22,124,114,False,0.9073699424331335,97,97,102,114,0.776,0.776,0.816,0.912,125,125,22,123,0,113,8.192,843.776,151,621,0.5624808517156863,142.808,222.77599999999995,90.112,1024.0,230,720,0.5246881853070176,139.888,304.0,0.5435845185113519,contextual,raw,4.0,0.45,-0.3,dp-score,synthetic,False,none,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img1_9.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img2_9.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM_ConnectedSubword/Synthetic/cnn_connected_subword_synthetic/pair_9.png,
10,-1,,,0.0,,ok,32.69408416748047,76,97,21,125,88,False,0.9630800650308007,76,76,85,88,0.608,0.608,0.68,0.704,125,125,40,124,0,87,0.0,696.32,84,542,0.6577435661764706,84.0,154.32000000000005,303.104,1024.0,386,797,0.5701238458806819,82.89600000000002,227.0,0.6139337060285762,contextual,raw,4.0,0.45,-0.3,dp-score,synthetic,False,none,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img1_10.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic_Arabic/images/img2_10.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/CNN_BiLSTM_ConnectedSubword/Synthetic/cnn_connected_subword_synthetic/pair_10.png,
