cluster,cluster_token,cluster_purity,is_representative,line,window_index,window_token,ink,pca_x,pca_y
2,ال,0.5882352941176471,0,1,0,ال,0.078857421875,-0.6775263547897339,0.7793415784835815
2,ال,0.5882352941176471,0,1,1,ال,0.101806640625,-0.6395914554595947,0.7770471572875977
5,عم,0.5833333333333334,0,1,2,عم,0.09326171875,-0.22074177861213684,-0.2413092404603958
5,عم,0.5833333333333334,0,1,3,عم,0.111083984375,-0.07030956447124481,-0.23429030179977417
7,ل,0.38461538461538464,0,1,4,ل,0.1044921875,-0.1460457444190979,-0.20353540778160095
6,<SPACE>,0.92,0,1,5,<SPACE>,0.040771484375,0.761271059513092,0.30561116337776184
2,ال,0.5882352941176471,0,1,6,ال,0.077392578125,-0.6790465116500854,0.7757445573806763
2,ال,0.5882352941176471,0,1,7,ال,0.128662109375,-0.6409260630607605,0.7806482315063477
3,ج,0.36363636363636365,0,1,8,ج,0.104736328125,-0.02858145907521248,-0.3766626715660095
3,ج,0.36363636363636365,0,1,9,ج,0.103759765625,-0.04829585552215576,-0.28570351004600525
2,ال,0.5882352941176471,0,1,10,اد,0.069091796875,-0.4752086102962494,0.212083101272583
6,<SPACE>,0.92,0,1,11,<SPACE>,0.052490234375,0.7541964650154114,0.32368066906929016
0,ما,0.2777777777777778,0,1,12,يؤ,0.1162109375,-0.04495679959654808,-0.07642107456922531
9,تي,0.4,0,1,13,تي,0.163330078125,-0.13027584552764893,-0.2962680160999298
9,تي,0.4,1,1,14,تي,0.124755859375,-0.14197370409965515,-0.3155454099178314
6,<SPACE>,0.92,0,1,15,<SPACE>,0.041259765625,0.7565651535987854,0.3187224268913269
8,ث,0.5,1,1,16,ث,0.06298828125,0.07002131640911102,-0.333320677280426
8,ث,0.5,0,1,17,ث,0.10009765625,-0.023514600470662117,-0.42770472168922424
0,ما,0.2777777777777778,0,1,18,م,0.1015625,-0.3184681832790375,-0.290805459022522
9,تي,0.4,0,1,19,ا,0.096923828125,-0.375156432390213,0.187270388007164
7,ل,0.38461538461538464,0,1,20,ره,0.0625,0.16632914543151855,-0.20277738571166992
6,<SPACE>,0.92,0,1,21,<SPACE>,0.05126953125,0.7552377581596375,0.3218761682510376
5,عم,0.5833333333333334,0,1,22,د,0.060791015625,-0.3019605875015259,-0.06590347737073898
2,ال,0.5882352941176471,0,1,23,ائ,0.104736328125,-0.23903153836727142,0.1893318146467209
0,ما,0.2777777777777778,1,1,24,ما,0.110595703125,-0.30329203605651855,-0.29503414034843445
0,ما,0.2777777777777778,0,1,25,ما,0.087646484375,-0.32336148619651794,-0.2871841490268707
6,<SPACE>,0.92,0,1,26,<SPACE>,0.0625,0.7515993118286133,0.3304526209831238
8,ث,0.5,0,1,27,ب,0.0693359375,0.047622278332710266,-0.3141448497772217
3,ج,0.36363636363636365,0,1,28,عد,0.1005859375,-0.2850896120071411,0.05527409538626671
3,ج,0.36363636363636365,0,1,29,عد,0.062255859375,-0.18494246900081635,0.03199424222111702
6,<SPACE>,0.92,0,1,30,<SPACE>,0.051025390625,0.7534899711608887,0.32631853222846985
1,طل,0.25,0,1,31,ت,0.1025390625,0.007231397088617086,-0.3063656687736511
7,ل,0.38461538461538464,0,1,32,فك,0.130615234375,-0.08240646868944168,-0.11529387533664703
7,ل,0.38461538461538464,0,1,33,فك,0.1357421875,0.06103292852640152,-0.13821767270565033
8,ث,0.5,0,1,34,ير,0.11279296875,-0.2191665917634964,0.08377011865377426
6,<SPACE>,0.92,0,1,35,<SPACE>,0.051513671875,0.7535197138786316,0.32231613993644714
6,<SPACE>,0.92,0,1,36,<SPACE>,0.039794921875,0.754175066947937,0.3220878839492798
5,عم,0.5833333333333334,0,1,37,عم,0.080078125,-0.18766388297080994,-0.23740458488464355
5,عم,0.5833333333333334,1,1,38,عم,0.09423828125,-0.20548269152641296,-0.23728176951408386
1,طل,0.25,0,1,39,يق,0.121337890625,-0.12430313229560852,-0.09559238702058792
1,طل,0.25,1,1,40,يق,0.11474609375,-0.1347869634628296,-0.13465917110443115
6,<SPACE>,0.92,0,1,41,<SPACE>,0.03955078125,0.7570855617523193,0.3168599307537079
0,ما,0.2777777777777778,0,1,42,في,0.088134765625,0.10373716056346893,-0.14125099778175354
0,ما,0.2777777777777778,0,1,43,في,0.135009765625,-0.06788428127765656,-0.11603990942239761
6,<SPACE>,0.92,0,1,44,في,0.064453125,0.48636773228645325,-0.011309564113616943
6,<SPACE>,0.92,0,1,45,<SPACE>,0.05322265625,0.7580163478851318,0.31694886088371277
5,عم,0.5833333333333334,0,1,46,هذ,0.10888671875,-0.11359041929244995,-0.3958355188369751
5,عم,0.5833333333333334,0,1,47,هذ,0.095703125,-0.02726006507873535,-0.36038562655448914
2,ال,0.5882352941176471,0,1,48,ا,0.057373046875,-0.30332818627357483,0.3402741849422455
6,<SPACE>,0.92,0,1,49,<SPACE>,0.069580078125,0.7705415487289429,0.28953859210014343
2,ال,0.5882352941176471,1,1,50,ا,0.0888671875,-0.6749311089515686,0.7823320627212524
7,ل,0.38461538461538464,0,1,51,ل,0.0986328125,-0.17251905798912048,-0.1884576678276062
0,ما,0.2777777777777778,0,1,52,مك,0.117919921875,-0.05755061283707619,-0.2707979083061218
9,تي,0.4,0,1,53,ان,0.14306640625,-0.13221865892410278,-0.10322986543178558
9,تي,0.4,0,1,54,ان,0.11474609375,-0.2170080542564392,-0.13054777681827545
9,تي,0.4,0,1,55,ان,0.072021484375,-0.21052035689353943,-0.07524368911981583
6,<SPACE>,0.92,0,1,56,<SPACE>,0.063720703125,0.7614036202430725,0.3050477206707001
2,ال,0.5882352941176471,0,1,57,ال,0.092041015625,-0.6804404854774475,0.7780946493148804
3,ج,0.36363636363636365,0,1,58,جم,0.111328125,0.3392603099346161,-0.39304882287979126
3,ج,0.36363636363636365,0,1,59,جم,0.098388671875,-0.01261783204972744,-0.3172207474708557
3,ج,0.36363636363636365,0,1,60,جم,0.1025390625,-0.06555284559726715,-0.27007821202278137
0,ما,0.2777777777777778,0,1,61,ي,0.104248046875,-0.12928637862205505,-0.0919729694724083
6,<SPACE>,0.92,0,1,62,ي,0.056640625,0.33369800448417664,-0.05762271210551262
0,ما,0.2777777777777778,0,2,0,في,0.1142578125,0.0468396432697773,-0.1128414049744606
0,ما,0.2777777777777778,0,2,1,في,0.141357421875,-0.050194550305604935,-0.1375838816165924
6,<SPACE>,0.92,0,2,2,<SPACE>,0.041259765625,0.7581267356872559,0.31282520294189453
2,ال,0.5882352941176471,0,2,3,ال,0.054931640625,-0.6814494729042053,0.7605071067810059
2,ال,0.5882352941176471,0,2,4,ال,0.12646484375,-0.6605241894721985,0.7768117785453796
4,وع,0.75,0,2,5,و,0.1181640625,-0.11472031474113464,-0.32759609818458557
1,طل,0.25,0,2,6,ا,0.133544921875,-0.26961749792099,0.07684366405010223
1,طل,0.25,0,2,7,قع,0.15185546875,0.0014417489292100072,-0.19913919270038605
6,<SPACE>,0.92,0,2,8,<SPACE>,0.063720703125,0.7548629641532898,0.3242536187171936
8,ث,0.5,0,2,9,ت,0.052978515625,0.03629249706864357,-0.27447500824928284
8,ث,0.5,0,2,10,ت,0.095947265625,-0.08432639390230179,-0.2690334916114807
0,ما,0.2777777777777778,0,2,11,م,0.100830078125,-0.3230041563510895,-0.2935885488986969
9,تي,0.4,0,2,12,ا,0.095947265625,-0.2789950668811798,0.06771349161863327
0,ما,0.2777777777777778,0,2,13,ما,0.072509765625,-0.33540549874305725,-0.28495389223098755
6,<SPACE>,0.92,0,2,14,<SPACE>,0.06884765625,0.7554850578308105,0.32242557406425476
0,ما,0.2777777777777778,0,2,15,مع,0.084716796875,-0.10965458303689957,-0.14819824695587158
0,ما,0.2777777777777778,0,2,16,مع,0.085205078125,-0.0358712300658226,-0.1327572911977768
6,<SPACE>,0.92,0,2,17,<SPACE>,0.049560546875,0.7537803053855896,0.3261321783065796
1,طل,0.25,0,2,18,طل,0.09228515625,0.15275709331035614,-0.17128980159759521
1,طل,0.25,0,2,19,طل,0.1474609375,0.03633687645196915,-0.10002005845308304
4,وع,0.75,0,2,20,وع,0.1181640625,-0.03645733743906021,-0.2910997271537781
4,وع,0.75,1,2,21,وع,0.11669921875,-0.04552139341831207,-0.3421059846878052
4,وع,0.75,0,2,22,وع,0.0869140625,0.05607225000858307,-0.02956966683268547
6,<SPACE>,0.92,1,2,23,<SPACE>,0.05859375,0.7602367401123047,0.31057727336883545
2,ال,0.5882352941176471,0,2,24,ا,0.129638671875,-0.6684933304786682,0.7767732739448547
7,ل,0.38461538461538464,1,2,25,لف,0.140380859375,-0.00712977908551693,-0.31597480177879333
3,ج,0.36363636363636365,0,2,26,جر,0.106689453125,-0.08715380728244781,-0.2118256837129593
3,ج,0.36363636363636365,0,2,27,جر,0.100341796875,-0.14687857031822205,-0.190079003572464
6,<SPACE>,0.92,0,2,28,<SPACE>,0.05126953125,0.7551268935203552,0.3213769495487213
2,ال,0.5882352941176471,0,2,29,ال,0.0576171875,-0.6589487791061401,0.77264404296875
2,ال,0.5882352941176471,0,2,30,ال,0.119140625,-0.6709374785423279,0.7773266434669495
5,عم,0.5833333333333334,0,2,31,عم,0.11376953125,-0.08553481101989746,-0.2932266891002655
5,عم,0.5833333333333334,0,2,32,عم,0.08837890625,-0.2160048484802246,-0.24917735159397125
