index,manifest_position,pair_id,label_type,text_score,split,status,algorithm,score,normalized_score,region_score,global_steps,global_match_steps,gap_in_line1,gap_in_line2,path_steps,traceback_steps,warp_steps,dp_max_row,dp_max_col,dp_max_is_terminal,mean_path_cosine,mean_region_cosine,line1_path_windows,line2_path_windows,line1_span_windows,line2_span_windows,line1_path_fraction,line2_path_fraction,line1_matched_fraction,line2_matched_fraction,line1_windows,line2_windows,line1_path_start,line1_path_end,line2_path_start,line2_path_end,line1_pred_start_px,line1_pred_end_px,line1_gt_start_px,line1_gt_end_px,line1_region_iou,line1_start_error_px,line1_end_error_px,line2_pred_start_px,line2_pred_end_px,line2_gt_start_px,line2_gt_end_px,line2_region_iou,line2_start_error_px,line2_end_error_px,mean_region_iou,feature,score_mode,score_clip,threshold,gap,heatmap_source,dataset_type,binarized,binarization,flipped,image1,image2,binarized_image1,binarized_image2,output,error
1,1,pair_000013,high_match,0.7777777777777778,all,ok,needleman_wunsch,-26.287702560424805,-0.21030162048339843,2.4729208648204803,160,90,35,35,9,10,1,0,0,False,0.7362532983223598,0.745424939526452,9,9,10,10,0.072,0.072,0.08,0.08,125,125,88,97,62,71,216.0,320.0,,,,,,424.0,528.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/B/linesImages/line_03.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_mask_fixed/pair_1.png,
21,21,pair_000027,high_match,0.8888888888888888,all,ok,needleman_wunsch,-17.82187271118164,-0.14257498168945312,2.1472611784934994,151,99,26,26,11,14,3,0,0,False,0.6636213984603834,0.7270237315784801,11,11,14,11,0.088,0.088,0.112,0.088,125,125,42,55,46,56,552.0,688.0,,,,,,544.0,656.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000027/A/linesImages/line_01.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000027/B/linesImages/line_10.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_mask_fixed/pair_21.png,
35,35,pair_000024,high_match,0.8,all,ok,needleman_wunsch,-18.44218635559082,-0.14753749084472656,1.2615784525871276,144,106,19,19,7,8,1,0,0,False,0.6945529120780949,0.6730826241629464,7,7,8,7,0.056,0.056,0.064,0.056,125,125,27,34,37,43,720.0,808.0,,,,,,648.0,728.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_mask_fixed/pair_35.png,
53,53,pair_000022,medium_match,0.3,all,ok,needleman_wunsch,-16.57863426208496,-0.13262907409667968,2.1437902450561523,146,104,21,21,5,5,0,0,0,False,0.7853602041991857,0.8787580370903015,5,5,5,5,0.04,0.04,0.04,0.04,125,125,90,94,78,82,240.0,304.0,,,,,,336.0,400.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000022/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000022/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_mask_fixed/pair_53.png,
71,71,pair_000020,medium_match,0.25,all,ok,needleman_wunsch,-17.821847915649414,-0.14257478332519533,0.4947955012321472,138,112,13,13,2,2,0,0,0,False,0.6549156718288681,0.6973977386951447,2,2,2,2,0.016,0.016,0.016,0.016,125,125,74,75,78,79,392.0,432.0,,,,,,360.0,400.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000020/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000020/B/linesImages/line_05.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_mask_fixed/pair_71.png,
74,74,pair_000017,medium_match,0.2,all,ok,needleman_wunsch,-24.24440574645996,-0.19395524597167968,1.0845762491226196,144,106,19,19,3,3,0,0,0,False,0.7297749840566572,0.8115254044532776,3,3,3,3,0.024,0.024,0.024,0.024,125,125,87,89,94,96,280.0,328.0,,,,,,224.0,272.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000017/A/linesImages/line_13.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000017/B/linesImages/line_04.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_mask_fixed/pair_74.png,
79,79,pair_000064,medium_match,0.16666666666666666,all,ok,needleman_wunsch,-21.701690673828125,-0.173613525390625,1.012293815612793,147,103,22,22,5,5,0,0,0,False,0.6484126702529712,0.6524587512016297,5,5,5,5,0.04,0.04,0.04,0.04,125,125,54,58,66,70,528.0,592.0,,,,,,432.0,496.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000064/A/linesImages/line_06.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000064/B/linesImages/line_09.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_mask_fixed/pair_79.png,
86,86,pair_000055,medium_match,0.2222222222222222,all,ok,needleman_wunsch,-19.718799591064453,-0.15775039672851562,1.8762652397155761,146,104,21,21,10,12,2,0,0,False,0.6716237717236464,0.6784424304962158,10,10,12,11,0.08,0.08,0.096,0.088,125,125,28,39,26,36,680.0,800.0,,,,,,704.0,816.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000055/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000055/B/linesImages/line_13.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_mask_fixed/pair_86.png,
96,96,pair_000054,high_match,0.8571428571428571,all,ok,needleman_wunsch,-13.60482406616211,-0.10883859252929687,2.137958735227585,144,106,19,19,10,11,1,0,0,False,0.6264922472665895,0.6789895534515381,10,10,11,11,0.08,0.08,0.088,0.088,125,125,60,70,60,70,432.0,544.0,,,,,,432.0,544.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000054/A/linesImages/line_05.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000054/B/linesImages/line_14.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_mask_fixed/pair_96.png,
105,105,pair_000030,high_match,0.7,all,ok,needleman_wunsch,-18.332122802734375,-0.146656982421875,2.848826438188553,144,106,19,19,10,11,1,0,0,False,0.735368695883256,0.7350609630346299,10,10,11,11,0.08,0.08,0.088,0.088,125,125,64,75,49,61,392.0,512.0,,,,,,504.0,632.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000030/A/linesImages/line_07.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000030/B/linesImages/line_12.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_mask_fixed/pair_105.png,
