index,manifest_position,pair_id,label_type,text_score,split,status,algorithm,score,normalized_score,region_score,global_steps,global_match_steps,gap_in_line1,gap_in_line2,path_steps,traceback_steps,warp_steps,dp_max_row,dp_max_col,dp_max_is_terminal,mean_path_cosine,mean_region_cosine,line1_path_windows,line2_path_windows,line1_span_windows,line2_span_windows,line1_path_fraction,line2_path_fraction,line1_matched_fraction,line2_matched_fraction,line1_windows,line2_windows,line1_path_start,line1_path_end,line2_path_start,line2_path_end,line1_pred_start_px,line1_pred_end_px,line1_gt_start_px,line1_gt_end_px,line1_region_iou,line1_start_error_px,line1_end_error_px,line2_pred_start_px,line2_pred_end_px,line2_gt_start_px,line2_gt_end_px,line2_region_iou,line2_start_error_px,line2_end_error_px,mean_region_iou,feature,score_mode,score_clip,threshold,gap,heatmap_source,dataset_type,binarized,binarization,flipped,image1,image2,binarized_image1,binarized_image2,output,error
1,1,pair_000013,high_match,0.7777777777777778,all,ok,needleman_wunsch,-11.948311805725098,-0.18965574294801743,0.716036319732666,75,51,12,12,2,2,0,0,0,False,0.6409031884635196,0.808018147945404,2,2,2,2,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.031746031746031744,63,63,18,19,24,25,696.0,728.0,,,,,,600.0,632.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/B/linesImages/line_03.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_stride16/pair_1.png,
21,21,pair_000027,high_match,0.8888888888888888,all,ok,needleman_wunsch,-9.620019912719727,-0.152698728773329,1.5459739565849304,70,56,7,7,7,9,2,0,0,False,0.6405030548838633,0.6912538111209869,7,7,9,9,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.14285714285714285,63,63,19,27,21,29,568.0,712.0,,,,,,536.0,680.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000027/A/linesImages/line_01.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000027/B/linesImages/line_10.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_stride16/pair_21.png,
35,35,pair_000024,high_match,0.8,all,ok,needleman_wunsch,-8.013071060180664,-0.1271916041298518,1.5140393018722533,73,53,10,10,9,11,2,0,0,False,0.7224668891362425,0.6848932438426547,9,9,11,9,0.14285714285714285,0.14285714285714285,0.1746031746031746,0.14285714285714285,63,63,11,21,15,23,664.0,840.0,,,,,,632.0,776.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_stride16/pair_35.png,
53,53,pair_000022,medium_match,0.3,all,ok,needleman_wunsch,-10.351621627807617,-0.16431145440964473,0.843316525220871,73,53,10,10,4,4,0,0,0,False,0.7491642484125102,0.6608291193842888,4,4,4,4,0.06349206349206349,0.06349206349206349,0.06349206349206349,0.06349206349206349,63,63,41,44,43,46,296.0,360.0,,,,,,264.0,328.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000022/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000022/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_stride16/pair_53.png,
71,71,pair_000020,medium_match,0.25,all,ok,needleman_wunsch,-9.04877758026123,-0.14363139016287668,0.5198729038238525,72,54,9,9,2,4,2,0,0,False,0.6877530596598431,0.8285176157951355,2,2,4,4,0.031746031746031744,0.031746031746031744,0.06349206349206349,0.06349206349206349,63,63,39,42,34,37,328.0,392.0,,,,,,408.0,472.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000020/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000020/B/linesImages/line_05.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_stride16/pair_71.png,
74,74,pair_000017,medium_match,0.2,all,ok,needleman_wunsch,-12.658596992492676,-0.20093011099194724,0.45250433683395386,75,51,12,12,3,5,2,0,0,False,0.753784550463452,0.646014948685964,3,3,5,5,0.047619047619047616,0.047619047619047616,0.07936507936507936,0.07936507936507936,63,63,40,44,44,48,296.0,376.0,,,,,,232.0,312.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000017/A/linesImages/line_13.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000017/B/linesImages/line_04.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_stride16/pair_74.png,
79,79,pair_000064,medium_match,0.16666666666666666,all,ok,needleman_wunsch,-11.067521095275879,-0.17567493802025205,0.7948294281959534,73,53,10,10,4,4,0,0,0,False,0.6563161686062813,0.6487073451280594,4,4,4,4,0.06349206349206349,0.06349206349206349,0.06349206349206349,0.06349206349206349,63,63,44,47,43,46,248.0,312.0,,,,,,264.0,328.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000064/A/linesImages/line_06.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000064/B/linesImages/line_09.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_stride16/pair_79.png,
86,86,pair_000055,medium_match,0.2222222222222222,all,ok,needleman_wunsch,-8.591168403625488,-0.1363677524384998,1.1243887543678284,77,49,14,14,5,6,1,0,0,False,0.7005420807673006,0.6861966252326965,5,5,6,6,0.07936507936507936,0.07936507936507936,0.09523809523809523,0.09523809523809523,63,63,10,15,14,19,760.0,856.0,,,,,,696.0,792.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000055/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000055/B/linesImages/line_13.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_stride16/pair_86.png,
96,96,pair_000054,high_match,0.8571428571428571,all,ok,needleman_wunsch,-8.492300033569336,-0.1347984132312593,0.9261583089828491,74,52,11,11,4,4,0,0,0,False,0.6320150769673861,0.6815395653247833,4,4,4,4,0.06349206349206349,0.06349206349206349,0.06349206349206349,0.06349206349206349,63,63,50,53,47,50,152.0,216.0,,,,,,200.0,264.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000054/A/linesImages/line_05.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000054/B/linesImages/line_14.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_stride16/pair_96.png,
105,105,pair_000030,high_match,0.7,all,ok,needleman_wunsch,-10.213619232177734,-0.16212094019329737,0.516607403755188,70,56,7,7,3,3,0,0,0,False,0.6748497943793025,0.622202455997467,3,3,3,3,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,63,63,21,23,20,22,632.0,680.0,,,,,,648.0,696.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000030/A/linesImages/line_07.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000030/B/linesImages/line_12.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_bilstm_phase3_stride16/pair_105.png,
