index,manifest_position,pair_id,label_type,text_score,split,status,algorithm,score,normalized_score,region_score,global_steps,global_match_steps,gap_in_line1,gap_in_line2,path_steps,traceback_steps,warp_steps,dp_max_row,dp_max_col,dp_max_is_terminal,mean_path_cosine,mean_region_cosine,line1_path_windows,line2_path_windows,line1_span_windows,line2_span_windows,line1_path_fraction,line2_path_fraction,line1_matched_fraction,line2_matched_fraction,line1_windows,line2_windows,line1_path_start,line1_path_end,line2_path_start,line2_path_end,line1_pred_start_px,line1_pred_end_px,line1_gt_start_px,line1_gt_end_px,line1_region_iou,line1_start_error_px,line1_end_error_px,line2_pred_start_px,line2_pred_end_px,line2_gt_start_px,line2_gt_end_px,line2_region_iou,line2_start_error_px,line2_end_error_px,mean_region_iou,feature,score_mode,score_clip,threshold,gap,heatmap_source,dataset_type,binarized,binarization,flipped,image1,image2,binarized_image1,binarized_image2,output,error
1,1,pair_000013,high_match,0.7777777777777778,all,ok,needleman_wunsch,23.917781829833984,0.19134225463867188,39.41777262091635,157,93,32,32,54,94,40,107,98,False,0.8155643356743679,0.7312371289288556,54,54,82,71,0.432,0.432,0.656,0.568,125,125,18,107,27,97,148.0,868.0,,,,,,228.0,796.0,,,,,,,local,mutual-z+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/B/linesImages/line_03.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_phase3_local_mutualz/pair_1.png,
21,21,pair_000027,high_match,0.8888888888888888,all,ok,needleman_wunsch,29.12670135498047,0.23301361083984376,43.52668408751488,157,93,32,32,59,99,40,108,98,False,0.8094853345424898,0.7331077476679269,59,59,91,71,0.472,0.472,0.728,0.568,125,125,15,109,27,97,132.0,892.0,,,,,,228.0,796.0,,,,,,,local,mutual-z+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000027/A/linesImages/line_01.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000027/B/linesImages/line_10.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_phase3_local_mutualz/pair_21.png,
35,35,pair_000024,high_match,0.8,all,ok,needleman_wunsch,32.53739929199219,0.2602991943359375,46.86751138567925,145,105,20,20,57,81,24,103,95,False,0.8355587618691581,0.7285038316458986,57,57,78,62,0.456,0.456,0.624,0.496,125,125,22,102,30,94,188.0,836.0,,,,,,252.0,772.0,,,,,,,local,mutual-z+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_phase3_local_mutualz/pair_35.png,
53,53,pair_000022,medium_match,0.3,all,ok,needleman_wunsch,30.351539611816406,0.24281231689453125,44.00113722085952,144,106,19,19,53,71,18,100,89,False,0.8696589441794269,0.7523135610346524,53,53,67,58,0.424,0.424,0.536,0.464,125,125,25,97,27,87,228.0,812.0,,,,,,308.0,796.0,,,,,,,local,mutual-z+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000022/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000022/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_phase3_local_mutualz/pair_53.png,
71,71,pair_000020,medium_match,0.25,all,ok,needleman_wunsch,27.50900650024414,0.22007205200195312,37.09934141039847,142,108,17,17,59,91,32,102,103,False,0.8286424132960813,0.7199836257150618,59,59,76,77,0.472,0.472,0.608,0.616,125,125,26,101,26,102,196.0,804.0,,,,,,188.0,804.0,,,,,,,local,mutual-z+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000020/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000020/B/linesImages/line_05.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_phase3_local_mutualz/pair_71.png,
74,74,pair_000017,medium_match,0.2,all,ok,needleman_wunsch,23.51143455505371,0.1880914764404297,40.41144032478333,145,105,20,20,48,70,22,90,97,False,0.8618863616670881,0.7083583424488703,48,48,54,65,0.384,0.384,0.432,0.52,125,125,36,89,28,96,292.0,724.0,,,,,,236.0,788.0,,,,,,,local,mutual-z+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000017/A/linesImages/line_13.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000017/B/linesImages/line_04.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_phase3_local_mutualz/pair_74.png,
79,79,pair_000064,medium_match,0.16666666666666666,all,ok,needleman_wunsch,24.138452529907227,0.19310762023925782,41.18768816590309,155,95,30,30,54,83,29,102,101,False,0.8205520244021165,0.7235106974840164,54,54,73,66,0.432,0.432,0.584,0.528,125,125,19,100,27,99,204.0,860.0,,,,,,212.0,796.0,,,,,,,local,mutual-z+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000064/A/linesImages/line_06.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000064/B/linesImages/line_09.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_phase3_local_mutualz/pair_79.png,
86,86,pair_000055,medium_match,0.2222222222222222,all,ok,needleman_wunsch,19.168846130371094,0.15335076904296874,34.46883997917175,156,94,31,31,58,94,36,95,98,False,0.8282870269836263,0.7465803047706341,58,58,83,72,0.464,0.464,0.664,0.576,125,125,16,107,25,97,148.0,884.0,,,,,,228.0,812.0,,,,,,,local,mutual-z+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000055/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000055/B/linesImages/line_13.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_phase3_local_mutualz/pair_86.png,
96,96,pair_000054,high_match,0.8571428571428571,all,ok,needleman_wunsch,19.509048461914062,0.1560723876953125,33.68792743682861,153,97,28,28,64,94,30,112,102,False,0.7897662904459176,0.7313714791089296,64,64,87,75,0.512,0.512,0.696,0.6,125,125,17,111,25,101,116.0,876.0,,,,,,196.0,812.0,,,,,,,local,mutual-z+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000054/A/linesImages/line_05.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000054/B/linesImages/line_14.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_phase3_local_mutualz/pair_96.png,
105,105,pair_000030,high_match,0.7,all,ok,needleman_wunsch,30.875816345214844,0.24700653076171875,45.646160161495246,151,99,26,26,48,77,29,97,95,False,0.8824819717744384,0.7771544679999352,48,48,56,70,0.384,0.384,0.448,0.56,125,125,41,96,26,100,236.0,684.0,,,,,,204.0,804.0,,,,,,,local,mutual-z+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000030/A/linesImages/line_07.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000030/B/linesImages/line_12.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/Real/cnn_phase3_local_mutualz/pair_105.png,
