index,manifest_position,pair_id,label_type,text_score,split,status,algorithm,score,normalized_score,region_score,global_steps,global_match_steps,gap_in_line1,gap_in_line2,path_steps,traceback_steps,warp_steps,dp_max_row,dp_max_col,dp_max_is_terminal,mean_path_cosine,mean_region_cosine,line1_path_windows,line2_path_windows,line1_span_windows,line2_span_windows,line1_path_fraction,line2_path_fraction,line1_matched_fraction,line2_matched_fraction,line1_windows,line2_windows,line1_path_start,line1_path_end,line2_path_start,line2_path_end,line1_pred_start_px,line1_pred_end_px,line1_gt_start_px,line1_gt_end_px,line1_region_iou,line1_start_error_px,line1_end_error_px,line2_pred_start_px,line2_pred_end_px,line2_gt_start_px,line2_gt_end_px,line2_region_iou,line2_start_error_px,line2_end_error_px,mean_region_iou,feature,score_mode,score_clip,threshold,gap,heatmap_source,dataset_type,binarized,binarization,flipped,image1,image2,binarized_image1,binarized_image2,output,error
1,1,pair_000055,medium_match,0.2222222222222222,all,ok,needleman_wunsch,41.70865249633789,0.33366921997070315,46.632476806640625,154,96,29,29,45,59,14,90,98,False,0.7333506556848685,0.5968586219681634,45,45,52,53,0.36,0.36,0.416,0.424,125,125,16,67,25,80,466.944,892.928,,,,,,360.448,819.2,,,,,,,contextual,mutual-z+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000055/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000055/B/linesImages/line_13.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_bilstm_real_aug10k/pair_1.png,
2,2,pair_000054,high_match,0.8571428571428571,all,ok,needleman_wunsch,20.741989135742188,0.1659359130859375,0.0,159,91,34,34,0,0,0,110,102,False,0.6314014430556979,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,mutual-z+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000054/A/linesImages/line_05.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000054/B/linesImages/line_14.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_bilstm_real_aug10k/pair_2.png,
3,3,pair_000013,high_match,0.7777777777777778,all,ok,needleman_wunsch,8.724748611450195,0.06979798889160156,0.0,170,80,45,45,0,0,0,74,76,False,0.7316664378624409,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,mutual-z+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000013/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000013/B/linesImages/line_03.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_bilstm_real_aug10k/pair_3.png,
5,5,pair_000030,high_match,0.7,all,ok,needleman_wunsch,43.01675796508789,0.3441340637207031,41.133323669433594,150,100,25,25,31,44,13,97,101,False,0.8040325361490249,0.6187896651606406,31,31,43,32,0.248,0.248,0.344,0.256,125,125,28,70,24,55,442.368,794.624,,,,,,565.248,827.392,,,,,,,contextual,mutual-z+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000030/A/linesImages/line_07.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000030/B/linesImages/line_12.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_bilstm_real_aug10k/pair_5.png,
6,6,pair_000070,medium_match,0.26666666666666666,all,ok,needleman_wunsch,55.224220275878906,0.44179376220703126,46.91848182678223,153,97,28,28,43,52,9,110,101,False,0.6527685860997623,0.5430665657270787,43,43,50,46,0.344,0.344,0.4,0.368,125,125,42,93,37,90,253.952,679.936,,,,,,278.528,720.896,,,,,,,contextual,mutual-z+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000070/A/linesImages/line_08.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000070/B/linesImages/line_07.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_bilstm_real_aug10k/pair_6.png,
8,8,pair_000022,medium_match,0.3,all,ok,needleman_wunsch,29.922714233398438,0.2393817138671875,19.286619186401367,137,113,12,12,21,28,7,100,98,False,0.8344415883838603,0.7926444212595621,21,21,27,24,0.168,0.168,0.216,0.192,125,125,56,82,52,75,344.064,565.248,,,,,,401.408,598.016,,,,,,,contextual,mutual-z+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000022/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000022/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_bilstm_real_aug10k/pair_8.png,
9,9,pair_000005,medium_match,0.25,all,ok,needleman_wunsch,27.96489715576172,0.22371917724609375,19.80449104309082,136,114,11,11,25,29,4,97,93,False,0.767358360844746,0.5132742547988891,25,25,29,25,0.2,0.2,0.232,0.2,125,125,48,76,47,71,393.216,630.784,,,,,,434.176,638.976,,,,,,,contextual,mutual-z+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000005/A/linesImages/line_03.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000005/B/linesImages/line_12.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_bilstm_real_aug10k/pair_9.png,
10,10,pair_000027,high_match,0.8888888888888888,all,ok,needleman_wunsch,63.60633087158203,0.5088506469726563,78.62073707580566,154,96,29,29,57,73,16,110,98,False,0.718205111566931,0.6102536048805505,57,57,68,62,0.456,0.456,0.544,0.496,125,125,15,94,27,90,245.76,901.12,,,,,,278.528,802.816,,,,,,,contextual,mutual-z+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000027/A/linesImages/line_01.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000027/B/linesImages/line_10.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_bilstm_real_aug10k/pair_10.png,
11,11,pair_000036,high_match,0.6666666666666666,all,ok,needleman_wunsch,29.69800567626953,0.23758404541015626,22.324745178222656,149,101,24,24,20,25,5,94,101,False,0.7828109655713681,0.6723429143428803,20,20,20,25,0.16,0.16,0.16,0.2,125,125,43,62,44,68,507.904,671.744,,,,,,458.752,663.552,,,,,,,contextual,mutual-z+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000036/A/linesImages/line_13.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000036/B/linesImages/line_01.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_bilstm_real_aug10k/pair_11.png,
13,13,pair_000001,high_match,0.625,all,ok,needleman_wunsch,29.083194732666016,0.23266555786132812,28.16190242767334,145,105,20,20,34,42,8,105,96,False,0.6962594151496887,0.5500547736883163,34,34,42,36,0.272,0.272,0.336,0.288,125,125,20,67,29,64,466.944,860.16,,,,,,491.52,786.432,,,,,,,contextual,mutual-z+ink,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000001/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000001/B/linesImages/line_04.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_bilstm_real_aug10k/pair_13.png,
