index,manifest_position,pair_id,label_type,text_score,split,status,algorithm,score,normalized_score,region_score,global_steps,global_match_steps,gap_in_line1,gap_in_line2,path_steps,traceback_steps,warp_steps,dp_max_row,dp_max_col,dp_max_is_terminal,mean_path_cosine,mean_region_cosine,line1_path_windows,line2_path_windows,line1_span_windows,line2_span_windows,line1_path_fraction,line2_path_fraction,line1_matched_fraction,line2_matched_fraction,line1_windows,line2_windows,line1_path_start,line1_path_end,line2_path_start,line2_path_end,line1_pred_start_px,line1_pred_end_px,line1_gt_start_px,line1_gt_end_px,line1_region_iou,line1_start_error_px,line1_end_error_px,line2_pred_start_px,line2_pred_end_px,line2_gt_start_px,line2_gt_end_px,line2_region_iou,line2_start_error_px,line2_end_error_px,mean_region_iou,feature,score_mode,score_clip,threshold,gap,heatmap_source,dataset_type,binarized,binarization,flipped,image1,image2,binarized_image1,binarized_image2,output,error
1,1,pair_000055,medium_match,0.2222222222222222,all,ok,needleman_wunsch,19.755619049072266,0.15804495239257813,16.87776279449463,129,121,4,4,33,41,8,89,98,False,0.9039849877850084,0.9614473472942006,33,33,41,41,0.264,0.264,0.328,0.328,125,125,21,80,25,84,352.0,856.0,,,,,,320.0,824.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000055/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000055/B/linesImages/line_13.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_contextual_diagnostic/pair_1.png,
2,2,pair_000054,high_match,0.8571428571428571,all,ok,needleman_wunsch,23.040481567382812,0.1843238525390625,0.0,126,124,1,1,0,0,0,92,102,False,0.8840381846793236,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000054/A/linesImages/line_05.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000054/B/linesImages/line_14.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_contextual_diagnostic/pair_2.png,
3,3,pair_000013,high_match,0.7777777777777778,all,ok,needleman_wunsch,17.092254638671875,0.136738037109375,0.0,130,120,5,5,0,0,0,88,98,False,0.9045264393091201,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000013/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000013/B/linesImages/line_03.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_contextual_diagnostic/pair_3.png,
5,5,pair_000030,high_match,0.7,all,ok,needleman_wunsch,20.08019256591797,0.16064154052734375,12.164307594299316,129,121,4,4,24,34,10,97,93,False,0.9522234432953448,0.9568461552262306,24,24,31,34,0.192,0.192,0.248,0.272,125,125,66,96,67,100,224.0,496.0,,,,,,192.0,488.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000030/A/linesImages/line_07.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000030/B/linesImages/line_12.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_contextual_diagnostic/pair_5.png,
6,6,pair_000070,medium_match,0.26666666666666666,all,ok,needleman_wunsch,21.89011573791504,0.17512092590332032,0.0,128,122,3,3,0,0,0,92,101,False,0.9027140753679588,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000070/A/linesImages/line_08.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000070/B/linesImages/line_07.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_contextual_diagnostic/pair_6.png,
8,8,pair_000022,medium_match,0.3,all,ok,needleman_wunsch,22.858863830566406,0.18287091064453126,17.911685466766357,127,123,2,2,35,52,17,96,98,False,0.9603370626767477,0.9617624385016305,35,35,52,52,0.28,0.28,0.416,0.416,125,125,35,98,36,97,208.0,744.0,,,,,,216.0,736.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000022/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000022/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_contextual_diagnostic/pair_8.png,
9,9,pair_000005,medium_match,0.25,all,ok,needleman_wunsch,15.377691268920898,0.12302153015136719,0.0,126,124,1,1,0,0,0,89,93,False,0.9504683628197639,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000005/A/linesImages/line_03.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000005/B/linesImages/line_12.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_contextual_diagnostic/pair_9.png,
10,10,pair_000027,high_match,0.8888888888888888,all,ok,needleman_wunsch,16.95929718017578,0.13567437744140626,7.1342573165893555,126,124,1,1,14,17,3,86,98,False,0.8844060147962263,0.9595898389816284,14,14,17,17,0.112,0.112,0.136,0.136,125,125,40,56,41,57,544.0,704.0,,,,,,536.0,696.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000027/A/linesImages/line_01.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000027/B/linesImages/line_10.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_contextual_diagnostic/pair_10.png,
11,11,pair_000036,high_match,0.6666666666666666,all,ok,needleman_wunsch,13.794347763061523,0.11035478210449219,25.22957420349121,131,119,6,6,50,65,15,94,86,False,0.9307547962966085,0.9545914602279663,50,50,59,65,0.4,0.4,0.472,0.52,125,125,31,93,31,99,248.0,776.0,,,,,,200.0,776.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000036/A/linesImages/line_13.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000036/B/linesImages/line_01.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_contextual_diagnostic/pair_11.png,
13,13,pair_000001,high_match,0.625,all,ok,needleman_wunsch,16.640153884887695,0.13312123107910157,0.0,125,125,0,0,0,0,0,87,96,False,0.9065380227565766,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000001/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000001/B/linesImages/line_04.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_contextual_diagnostic/pair_13.png,
