index,manifest_position,pair_id,label_type,text_score,split,status,algorithm,score,normalized_score,region_score,global_steps,global_match_steps,gap_in_line1,gap_in_line2,path_steps,traceback_steps,warp_steps,dp_max_row,dp_max_col,dp_max_is_terminal,mean_path_cosine,mean_region_cosine,line1_path_windows,line2_path_windows,line1_span_windows,line2_span_windows,line1_path_fraction,line2_path_fraction,line1_matched_fraction,line2_matched_fraction,line1_windows,line2_windows,line1_path_start,line1_path_end,line2_path_start,line2_path_end,line1_pred_start_px,line1_pred_end_px,line1_gt_start_px,line1_gt_end_px,line1_region_iou,line1_start_error_px,line1_end_error_px,line2_pred_start_px,line2_pred_end_px,line2_gt_start_px,line2_gt_end_px,line2_region_iou,line2_start_error_px,line2_end_error_px,mean_region_iou,feature,score_mode,score_clip,threshold,gap,heatmap_source,dataset_type,binarized,binarization,flipped,image1,image2,binarized_image1,binarized_image2,output,error
1,1,pair_000055,medium_match,0.2222222222222222,all,ok,needleman_wunsch,19.297969818115234,0.15438375854492187,13.139832496643066,129,121,4,4,26,34,8,89,98,False,0.9017251229975835,0.9553781587343949,26,26,34,34,0.208,0.208,0.272,0.272,125,125,21,80,25,84,352.0,856.0,,,,,,320.0,824.0,,,,,,,local,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000055/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000055/B/linesImages/line_13.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_local_diagnostic/pair_1.png,
2,2,pair_000054,high_match,0.8571428571428571,all,ok,needleman_wunsch,22.340681076049805,0.17872544860839842,0.0,126,124,1,1,0,0,0,92,102,False,0.8807699661101064,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,local,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000054/A/linesImages/line_05.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000054/B/linesImages/line_14.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_local_diagnostic/pair_2.png,
3,3,pair_000013,high_match,0.7777777777777778,all,ok,needleman_wunsch,16.83843421936035,0.13470747375488282,0.0,130,120,5,5,0,0,0,88,98,False,0.9020814076066017,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,local,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000013/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000013/B/linesImages/line_03.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_local_diagnostic/pair_3.png,
5,5,pair_000030,high_match,0.7,all,ok,needleman_wunsch,19.576698303222656,0.15661358642578124,0.0,129,121,4,4,0,0,0,97,93,False,0.9481199849243006,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,local,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000030/A/linesImages/line_07.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000030/B/linesImages/line_12.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_local_diagnostic/pair_5.png,
6,6,pair_000070,medium_match,0.26666666666666666,all,ok,needleman_wunsch,21.370946884155273,0.1709675750732422,0.0,127,123,2,2,0,0,0,92,101,False,0.8968697027946876,0.0,0,0,0,0,0.0,0.0,0.0,0.0,125,125,-1,-1,-1,-1,,,,,,,,,,,,,,,,local,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000070/A/linesImages/line_08.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000070/B/linesImages/line_07.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_local_diagnostic/pair_6.png,
8,8,pair_000022,medium_match,0.3,all,ok,needleman_wunsch,22.455013275146484,0.17964010620117188,6.662325382232666,126,124,1,1,13,17,4,96,98,False,0.952912189787434,0.9624865696980403,13,13,17,17,0.104,0.104,0.136,0.136,125,125,82,98,81,97,208.0,368.0,,,,,,216.0,376.0,,,,,,,local,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000022/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000022/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_local_diagnostic/pair_8.png,
9,9,pair_000005,medium_match,0.25,all,ok,needleman_wunsch,15.122593879699707,0.12098075103759766,11.18375015258789,126,124,1,1,22,26,4,89,93,False,0.948511206334637,0.9583522514863447,22,22,26,26,0.176,0.176,0.208,0.208,125,125,64,89,64,89,280.0,512.0,,,,,,280.0,512.0,,,,,,,local,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000005/A/linesImages/line_03.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000005/B/linesImages/line_12.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_local_diagnostic/pair_9.png,
10,10,pair_000027,high_match,0.8888888888888888,all,ok,needleman_wunsch,16.46942901611328,0.13175543212890625,6.51865291595459,126,124,1,1,13,17,4,86,98,False,0.8795547990068313,0.9514348140129676,13,13,17,17,0.104,0.104,0.136,0.136,125,125,40,56,41,57,544.0,704.0,,,,,,536.0,696.0,,,,,,,local,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000027/A/linesImages/line_01.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000027/B/linesImages/line_10.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_local_diagnostic/pair_10.png,
11,11,pair_000036,high_match,0.6666666666666666,all,ok,needleman_wunsch,13.312179565429688,0.1064974365234375,15.932003021240234,131,119,6,6,32,46,14,94,86,False,0.927203945252074,0.9478750936686993,32,32,41,46,0.256,0.256,0.328,0.368,125,125,49,93,50,99,248.0,632.0,,,,,,200.0,624.0,,,,,,,local,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000036/A/linesImages/line_13.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000036/B/linesImages/line_01.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_local_diagnostic/pair_11.png,
13,13,pair_000001,high_match,0.625,all,ok,needleman_wunsch,16.270288467407227,0.1301623077392578,9.165871620178223,125,125,0,0,18,23,5,87,96,False,0.9050108418464661,0.9592150449752808,18,18,23,23,0.144,0.144,0.184,0.184,125,125,57,79,57,79,360.0,568.0,,,,,,360.0,568.0,,,,,,,local,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000001/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000001/B/linesImages/line_04.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_real_local_diagnostic/pair_13.png,
