index,manifest_position,pair_id,label_type,text_score,split,status,algorithm,score,normalized_score,region_score,global_steps,global_match_steps,gap_in_line1,gap_in_line2,path_steps,traceback_steps,warp_steps,dp_max_row,dp_max_col,dp_max_is_terminal,mean_path_cosine,mean_region_cosine,line1_path_windows,line2_path_windows,line1_span_windows,line2_span_windows,line1_path_fraction,line2_path_fraction,line1_matched_fraction,line2_matched_fraction,line1_windows,line2_windows,line1_path_start,line1_path_end,line2_path_start,line2_path_end,line1_pred_start_px,line1_pred_end_px,line1_gt_start_px,line1_gt_end_px,line1_region_iou,line1_start_error_px,line1_end_error_px,line2_pred_start_px,line2_pred_end_px,line2_gt_start_px,line2_gt_end_px,line2_region_iou,line2_start_error_px,line2_end_error_px,mean_region_iou,feature,score_mode,score_clip,threshold,gap,heatmap_source,dataset_type,binarized,binarization,flipped,image1,image2,binarized_image1,binarized_image2,output,error
1,1,pair_000055,medium_match,0.2222222222222222,all,ok,needleman_wunsch,-7.5466437339782715,-0.11978799577743288,3.1257245540618896,77,49,14,14,16,25,9,0,0,False,0.7178448505547582,0.6453577652573586,16,16,23,22,0.25396825396825395,0.25396825396825395,0.36507936507936506,0.3492063492063492,63,63,18,40,23,44,352.0,736.0,,,,,,288.0,656.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000055/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000055/B/linesImages/line_13.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_synthetic_checkpoint_on_real/pair_1.png,
2,2,pair_000054,high_match,0.8571428571428571,all,ok,needleman_wunsch,-7.063214302062988,-0.11211451273115855,0.0,71,55,8,8,0,0,0,0,0,False,0.605714000896974,0.0,0,0,0,0,0.0,0.0,0.0,0.0,63,63,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000054/A/linesImages/line_05.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000054/B/linesImages/line_14.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_synthetic_checkpoint_on_real/pair_2.png,
3,3,pair_000013,high_match,0.7777777777777778,all,ok,needleman_wunsch,-4.914977073669434,-0.07801550910586402,4.1351447105407715,70,56,7,7,14,15,1,0,0,False,0.7253042310476303,0.7453674759183612,14,14,15,15,0.2222222222222222,0.2222222222222222,0.23809523809523808,0.23809523809523808,63,63,25,39,22,36,368.0,624.0,,,,,,416.0,672.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000013/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000013/B/linesImages/line_03.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_synthetic_checkpoint_on_real/pair_3.png,
5,5,pair_000030,high_match,0.7,all,ok,needleman_wunsch,-1.6375731229782104,-0.02599322417425731,5.455355405807495,68,58,5,5,23,30,7,49,51,False,0.7803382210690399,0.6871893600277279,23,23,25,30,0.36507936507936506,0.36507936507936506,0.3968253968253968,0.47619047619047616,63,63,14,41,12,44,336.0,800.0,,,,,,288.0,832.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000030/A/linesImages/line_07.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000030/B/linesImages/line_12.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_synthetic_checkpoint_on_real/pair_5.png,
6,6,pair_000070,medium_match,0.26666666666666666,all,ok,needleman_wunsch,-7.963840007781982,-0.12641015885368226,0.0,73,53,10,10,0,0,0,0,0,False,0.6322163368733424,0.0,0,0,0,0,0.0,0.0,0.0,0.0,63,63,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000070/A/linesImages/line_08.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000070/B/linesImages/line_07.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_synthetic_checkpoint_on_real/pair_6.png,
8,8,pair_000022,medium_match,0.3,all,ok,needleman_wunsch,-4.7587666511535645,-0.07553597858973912,0.0,69,57,6,6,0,0,0,0,0,False,0.7735733839503506,0.0,0,0,0,0,0.0,0.0,0.0,0.0,63,63,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000022/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000022/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_synthetic_checkpoint_on_real/pair_8.png,
9,9,pair_000005,medium_match,0.25,all,ok,needleman_wunsch,-10.410921096801758,-0.16525271582225012,0.0,65,61,2,2,0,0,0,0,0,False,0.6630070092248135,0.0,0,0,0,0,0.0,0.0,0.0,0.0,63,63,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000005/A/linesImages/line_03.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000005/B/linesImages/line_12.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_synthetic_checkpoint_on_real/pair_9.png,
10,10,pair_000027,high_match,0.8888888888888888,all,ok,needleman_wunsch,-8.967700004577637,-0.14234444451710535,0.0,72,54,9,9,0,0,0,0,0,False,0.6222043989433182,0.0,0,0,0,0,0.0,0.0,0.0,0.0,63,63,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000027/A/linesImages/line_01.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000027/B/linesImages/line_10.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_synthetic_checkpoint_on_real/pair_10.png,
11,11,pair_000036,high_match,0.6666666666666666,all,ok,needleman_wunsch,-3.4925127029418945,-0.05543670957050626,6.110716819763184,70,56,7,7,25,30,5,42,42,False,0.7893149792881948,0.6944286751747132,25,25,28,29,0.3968253968253968,0.3968253968253968,0.4444444444444444,0.4603174603174603,63,63,18,46,19,50,256.0,736.0,,,,,,192.0,720.0,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000036/A/linesImages/line_13.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000036/B/linesImages/line_01.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_synthetic_checkpoint_on_real/pair_11.png,
13,13,pair_000001,high_match,0.625,all,ok,needleman_wunsch,-16.33380889892578,-0.25926680791945683,0.0,74,52,11,11,0,0,0,0,0,False,0.5460769375069783,0.0,0,0,0,0,0.0,0.0,0.0,0.0,63,63,-1,-1,-1,-1,,,,,,,,,,,,,,,,contextual,raw+ink,4.0,0.45,-0.3,match-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000001/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDatasetRealAug10K/DatasetPairs/page_pairs/pair_000001/B/linesImages/line_04.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/NW/RealAugmented/cnn_synthetic_checkpoint_on_real/pair_13.png,
