trace_step,operation,window1,window2,cosine,match_score
0,match,0,0,0.44549707,-0.25450292
1,match,1,1,0.96596348,0.26596349
2,match,2,2,0.88612562,0.18612564
3,match,3,3,0.77024907,0.07024908
4,match,4,4,0.84185070,0.14185071
5,match,5,5,0.98105878,0.28105879
6,match,6,6,0.21505392,-0.48494607
7,match,7,7,0.81096607,0.11096609
8,match,8,8,0.97011560,0.27011561
9,match,9,9,0.97706068,0.27706069
10,match,10,10,0.65254039,-0.04745960
11,match,11,11,0.97475308,0.27475309
12,match,12,12,0.80322921,0.10322922
13,gap_in_line1,,13,,
14,match,13,14,0.98472798,0.28472799
15,match,14,15,0.90681362,0.20681363
16,match,15,16,0.71895450,0.01895452
17,match,16,17,0.98736978,0.28736979
18,match,17,18,0.98204917,0.28204918
19,gap_in_line1,,19,,
20,gap_in_line2,18,,,
21,match,19,20,0.41231844,-0.28768155
22,gap_in_line2,20,,,
23,gap_in_line2,21,,,
24,gap_in_line2,22,,,
25,gap_in_line2,23,,,
26,gap_in_line2,24,,,
27,match,25,21,0.61605829,-0.08394170
28,match,26,22,0.94694757,0.24694759
29,match,27,23,0.99067366,0.29067367
30,match,28,24,0.96326190,0.26326191
31,match,29,25,0.90185755,0.20185757
32,match,30,26,0.41228187,-0.28771812
33,match,31,27,0.96068871,0.26068872
34,match,32,28,0.97021115,0.27021116
35,match,33,29,0.97622836,0.27622837
36,match,34,30,0.88268358,0.18268359
37,match,35,31,0.60366690,-0.09633309
38,match,36,32,0.71780956,0.01780957
39,match,37,33,0.97355402,0.27355403
40,match,38,34,0.33714634,-0.36285365
41,gap_in_line1,,35,,
42,match,39,36,0.80398172,0.10398173
43,match,40,37,0.99103230,0.29103231
44,match,41,38,0.43641379,-0.26358619
45,match,42,39,0.95422536,0.25422537
46,gap_in_line1,,40,,
47,match,43,41,0.47392756,-0.22607243
48,gap_in_line1,,42,,
49,gap_in_line1,,43,,
50,match,44,44,0.91693884,0.21693885
51,match,45,45,0.74566817,0.04566818
52,match,46,46,0.57569665,-0.12430334
53,match,47,47,0.76937938,0.06937939
54,gap_in_line1,,48,,
55,gap_in_line2,48,,,
56,match,49,49,0.94642276,0.24642277
57,match,50,50,0.89443183,0.19443184
58,match,51,51,0.55126262,-0.14873737
59,match,52,52,0.77570921,0.07570922
60,match,53,53,0.88883519,0.18883520
61,match,54,54,0.86191386,0.16191387
62,match,55,55,0.90310752,0.20310754
63,match,56,56,0.79253149,0.09253150
64,match,57,57,0.61298364,-0.08701634
65,match,58,58,0.96221381,0.26221383
66,match,59,59,0.99034405,0.29034406
67,match,60,60,0.99569094,0.29569095
68,match,61,61,0.97625989,0.27625990
69,match,62,62,0.53826004,-0.16173995
