trace_step,operation,window1,window2,cosine,match_score
0,match,0,0,0.99636638,0.54636639
1,match,1,1,0.96905905,0.51905906
2,match,2,2,0.97741401,0.52741402
3,match,3,3,0.98632836,-0.50000000
4,match,4,4,0.71099377,0.26099378
5,match,5,5,0.98834026,0.53834027
6,gap_in_line2,6,,,
7,match,7,6,0.94265717,0.49265718
8,match,8,7,0.77746117,0.32746118
9,match,9,8,0.86833727,0.41833729
10,gap_in_line2,10,,,
11,match,11,9,0.75188911,0.30188912
12,match,12,10,0.23051071,-0.50000000
13,gap_in_line2,13,,,
14,match,14,11,0.59476650,0.14476651
15,match,15,12,0.76674414,0.31674415
16,match,16,13,0.26404923,-0.18595076
17,gap_in_line1,,14,,
18,gap_in_line1,,15,,
19,gap_in_line1,,16,,
20,match,17,17,0.94741172,0.49741173
21,gap_in_line1,,18,,
22,match,18,19,0.97888166,0.52888167
23,match,19,20,0.96186507,0.51186508
24,match,20,21,0.98334426,0.53334427
25,match,21,22,0.98639756,0.53639758
26,match,22,23,0.98696142,0.53696144
27,match,23,24,0.99292785,0.54292786
28,match,24,25,0.93953675,0.48953676
29,match,25,26,0.73383498,0.28383499
30,match,26,27,0.84167421,0.39167422
31,match,27,28,0.97232109,-0.50000000
32,match,28,29,0.95648056,0.50648057
33,match,29,30,0.34773380,-0.10226619
34,match,30,31,0.59086245,0.14086246
35,match,31,32,0.77408034,0.32408035
36,match,32,33,0.70038623,0.25038624
37,gap_in_line1,,34,,
38,match,33,35,0.89604390,0.44604391
39,match,34,36,0.65352076,0.20352077
40,gap_in_line2,35,,,
41,gap_in_line2,36,,,
42,match,37,37,0.56758654,0.11758655
43,match,38,38,0.29759043,-0.15240955
44,match,39,39,0.76520795,0.31520796
45,gap_in_line1,,40,,
46,gap_in_line1,,41,,
47,match,40,42,0.82296169,0.37296170
48,match,41,43,0.74762887,0.29762888
49,gap_in_line2,42,,,
50,match,43,44,0.15383756,-0.29616243
51,match,44,45,0.84139764,0.39139766
52,match,45,46,0.94547111,0.49547112
53,match,46,47,0.95742506,0.50742507
54,gap_in_line2,47,,,
55,match,48,48,0.64366806,0.19366807
56,match,49,49,0.96190703,0.51190704
57,match,50,50,0.88308591,0.43308592
58,match,51,51,0.92863786,0.47863787
59,match,52,52,0.79219502,-0.50000000
60,match,53,53,0.84357268,0.39357269
61,match,54,54,0.83194435,0.38194436
62,match,55,55,0.89003927,0.44003928
63,match,56,56,0.98577851,0.53577852
64,match,57,57,0.94579941,0.49579942
65,match,58,58,0.82209504,0.37209505
66,match,59,59,0.90188730,0.45188731
67,match,60,60,0.98350674,0.53350675
68,match,61,61,0.98374093,0.53374094
69,match,62,62,0.98917758,0.53917760
