trace_step,operation,window1,window2,cosine,match_score
0,match,0,0,-0.04033225,-0.20000000
1,match,1,1,0.04501181,-0.20000000
2,match,2,2,0.03974798,-0.20000000
3,match,3,3,0.01938197,-0.20000000
4,match,4,4,-0.01659577,-0.20000000
5,match,5,5,-0.03401532,-0.20000000
6,match,6,6,0.06690814,-0.20000000
7,match,7,7,0.01040296,-0.08959704
8,match,8,8,-0.02379512,-0.12379512
9,gap_in_line1,,9,,
10,match,9,10,0.78384316,0.68384314
11,match,10,11,0.02750330,-0.07249670
12,match,11,12,-0.01090211,-0.11090212
13,match,12,13,-0.17252280,-0.27252281
14,match,13,14,0.02064217,-0.07935783
15,match,14,15,0.77102387,0.67102385
16,match,15,16,0.01445821,-0.08554179
17,match,16,17,0.00150055,-0.09849945
18,match,17,18,-0.02884251,-0.12884252
19,match,18,19,0.16938774,0.06938774
20,match,19,20,0.82333630,0.72333628
21,match,20,21,-0.03159208,-0.13159208
22,match,21,22,0.09541118,-0.00458882
23,gap_in_line1,,23,,
24,gap_in_line1,,24,,
25,match,22,25,0.08853036,-0.01146964
26,match,23,26,0.83360100,0.73360097
27,gap_in_line1,,27,,
28,match,24,28,0.56693506,0.46693507
29,match,25,29,0.36026013,0.26026013
30,gap_in_line1,,30,,
31,match,26,31,0.07288851,-0.02711149
32,match,27,32,0.10499252,0.00499251
33,gap_in_line1,,33,,
34,match,28,34,0.10340986,0.00340986
35,match,29,35,0.91539037,0.81539035
36,gap_in_line1,,36,,
37,gap_in_line1,,37,,
38,match,30,38,0.61772680,0.51772678
39,match,31,39,0.84578085,0.74578083
40,match,32,40,0.47116649,0.37116650
41,match,33,41,0.89848495,0.79848492
42,match,34,42,0.50187415,0.40187415
43,match,35,43,0.55169368,0.45169368
44,match,36,44,0.66256452,0.56256449
45,match,37,45,0.71156907,0.61156905
46,gap_in_line1,,46,,
47,match,38,47,0.62403721,0.52403718
48,match,39,48,0.67997628,0.57997626
49,match,40,49,0.88202465,0.78202462
50,match,41,50,0.03887852,-0.06112149
51,match,42,51,0.49839509,0.39839509
52,match,43,52,0.62070417,0.52070415
53,match,44,53,0.17343231,0.07343230
54,gap_in_line2,45,,,
55,gap_in_line2,46,,,
56,gap_in_line2,47,,,
57,match,48,54,0.65448052,0.55448049
58,gap_in_line2,49,,,
59,gap_in_line2,50,,,
60,gap_in_line2,51,,,
61,gap_in_line2,52,,,
62,gap_in_line2,53,,,
63,match,54,55,0.17337009,0.07337009
64,gap_in_line2,55,,,
65,match,56,56,0.11812938,-0.20000000
66,match,57,57,0.14748439,-0.20000000
67,match,58,58,0.11861777,-0.20000000
68,match,59,59,0.10353252,-0.20000000
69,match,60,60,0.08703236,-0.20000000
70,match,61,61,0.07397958,-0.20000000
71,match,62,62,0.07471503,-0.20000000
