bridged_trace_steps,component_bridge_limit,component_count,component_support_floor,evidence_json,feature,full_match_steps,gap,gap_steps,geometry,gt_mask1,gt_mask2,image1,image2,index,label_type,line1_component_ranges,line1_intervals_px,line1_mask_dice,line1_mask_iou,line1_mask_precision,line1_mask_recall,line1_matched_fraction,line1_path_end,line1_path_fraction,line1_path_start,line1_path_windows,line1_source_intervals_px,line1_span_windows,line1_windows,line2_component_ranges,line2_intervals_px,line2_mask_dice,line2_mask_iou,line2_mask_precision,line2_mask_recall,line2_matched_fraction,line2_path_end,line2_path_fraction,line2_path_start,line2_path_windows,line2_source_intervals_px,line2_span_windows,line2_windows,local_weight,mask_coordinate_system,matrix_csv_cosine,matrix_csv_match,matrix_mean_cosine,matrix_std_cosine,mean_full_path_cosine,mean_mask_iou,mean_path_cosine,normalized_nw_score,nw_score,output,pair_id,path_cosine_margin,path_cosine_z,path_steps,representation,score_clip,score_mode,side1_preprocess,side1_type,side2_preprocess,side2_type,source_type,split,status,text_score,threshold,traceback_steps,warp_steps
4,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_04230/evidence/nw_match_scores_values_trace.json,local,61,-0.3,4,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_4230.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_4230.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_4230.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_4230.png,4230,,"[[0,62]]","[[0.0, 1024.0]]",0.6640574037834311,0.4970703125,0.4970703125,1.0,1.0,62,0.9682539682539683,0,61,"[[0.0, 1024.0]]",63,63,"[[0,62]]","[[0.0, 1024.0]]",0.5777777777777777,0.40625,0.40625,1.0,1.0,62,0.9682539682539683,0,61,"[[0.0, 1024.0]]",63,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_04230/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_04230/matrices/nw_match_scores_values_match_score.csv,0.39258021116256714,0.14515472948551178,0.4618286414713156,0.45166015625,0.4618286414713156,0.4281199016268291,26.971553802490234,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_04230,synthetic_4230,0.06924843030874844,0.47706630403427736,61,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,65,4
6,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_01172/evidence/nw_match_scores_values_trace.json,local,60,-0.3,6,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_1172.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_1172.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_1172.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_1172.png,1172,,"[[0,62]]","[[0.0, 1024.0]]",0.7924528301886793,0.65625,0.65625,1.0,1.0,62,0.9523809523809523,0,60,"[[0.0, 1024.0]]",63,63,"[[0,62]]","[[0.0, 1024.0]]",0.8195965417867436,0.6943359375,0.6943359375,1.0,1.0,62,0.9523809523809523,0,60,"[[0.0, 1024.0]]",63,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_01172/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_01172/matrices/nw_match_scores_values_match_score.csv,0.3921467065811157,0.13652284443378448,0.7105337604880333,0.67529296875,0.7105337604880333,0.6481274196079799,40.832027435302734,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_01172,synthetic_1172,0.31838705390691757,2.3321155900860226,60,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,66,6
4,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_02762/evidence/nw_match_scores_values_trace.json,local,60,-0.3,6,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_2762.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_2762.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_2762.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_2762.png,2762,,"[[0,59]]","[[56.0, 1024.0]]",0.5432656132430399,0.37293388429752067,0.37293388429752067,1.0,0.9523809523809523,59,0.8888888888888888,0,56,"[[56.0, 1024.0]]",60,63,"[[0,56]]","[[104.0, 1024.0]]",0.41809672386895474,0.26429980276134124,0.29130434782608694,0.7403314917127072,0.9047619047619048,56,0.8888888888888888,0,56,"[[104.0, 1024.0]]",57,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_02762/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_02762/matrices/nw_match_scores_values_match_score.csv,0.3884011209011078,0.13451698422431946,0.4316259272396564,0.318616843529431,0.4327394251844713,0.38250096638997394,24.09756088256836,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_02762,synthetic_2762,0.044338304283363494,0.32961119771630687,56,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,66,6
4,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_00132/evidence/nw_match_scores_values_trace.json,local,61,-0.3,4,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_132.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_132.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_132.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_132.png,132,,"[[0,62]]","[[0.0, 1024.0]]",0.46476761619190404,0.302734375,0.302734375,1.0,1.0,62,0.9682539682539683,0,61,"[[0.0, 1024.0]]",63,63,"[[0,62]]","[[0.0, 1024.0]]",0.441400304414003,0.283203125,0.283203125,1.0,1.0,62,0.9682539682539683,0,61,"[[0.0, 1024.0]]",63,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_00132/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_00132/matrices/nw_match_scores_values_match_score.csv,0.3583407402038574,0.15219096839427948,0.47811581511966517,0.29296875,0.47811581511966517,0.44388995094904826,27.96506690979004,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_00132,synthetic_132,0.11977507491580774,0.7870051434688803,61,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,65,4
9,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_01817/evidence/nw_match_scores_values_trace.json,local,57,-0.3,12,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_1817.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_1817.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_1817.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_1817.png,1817,,"[[0,61]]","[[24.0, 1024.0]]",0.5304922850844966,0.361,0.361,1.0,0.9841269841269841,61,0.8888888888888888,0,56,"[[24.0, 1024.0]]",62,63,"[[0,58]]","[[72.0, 1024.0]]",0.5047970479704798,0.3376110562685094,0.3592436974789916,0.8486352357320099,0.9365079365079365,58,0.8888888888888888,0,56,"[[72.0, 1024.0]]",59,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_01817/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_01817/matrices/nw_match_scores_values_match_score.csv,0.38497570157051086,0.1401888132095337,0.490579754114151,0.3493055281342547,0.48759703604238375,0.38671505640423487,24.363048553466797,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_01817,synthetic_1817,0.10262133447187288,0.7320222785429359,56,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,69,12
2,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_02716/evidence/nw_match_scores_values_trace.json,local,62,-0.3,2,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_2716.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_2716.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_2716.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_2716.png,2716,,"[[0,62]]","[[0.0, 1024.0]]",0.4484848484848485,0.2890625,0.2890625,1.0,1.0,62,0.9841269841269841,0,62,"[[0.0, 1024.0]]",63,63,"[[0,62]]","[[0.0, 1024.0]]",0.4473085670962851,0.2880859375,0.2880859375,1.0,1.0,62,0.9841269841269841,0,62,"[[0.0, 1024.0]]",63,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_02716/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_02716/matrices/nw_match_scores_values_match_score.csv,0.3615357279777527,0.13802385330200195,0.40733262974648704,0.28857421875,0.40733262974648704,0.39134325299944195,24.654624938964844,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_02716,synthetic_2716,0.045796901768734355,0.3318042546495845,62,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,64,2
8,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_00712/evidence/nw_match_scores_values_trace.json,local,55,-0.3,16,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_712.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_712.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_712.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_712.png,712,,"[[9,62]]","[[0.0, 872.0]]",0.5947242206235012,0.4232081911262799,0.42660550458715596,0.9815303430079155,0.8571428571428571,62,0.8571428571428571,9,54,"[[0.0, 872.0]]",54,63,"[[1,62]]","[[0.0, 1000.0]]",0.5420560747663551,0.3717948717948718,0.377,0.9641943734015346,0.9841269841269841,62,0.8571428571428571,1,54,"[[0.0, 1000.0]]",62,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_00712/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_00712/matrices/nw_match_scores_values_match_score.csv,0.3645038902759552,0.1636185646057129,0.6163806107911196,0.3975015314605759,0.615457781487041,0.4619196028936477,29.100934982299805,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_00712,synthetic_712,0.2509538912110858,1.5337739443921483,54,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,71,16
1,2,2,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_00617/evidence/nw_match_scores_values_trace.json,local,60,-0.3,6,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_617.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_617.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_617.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_617.png,617,,"[[0,30],[34,62]]","[[520.0, 1024.0], [0.0, 472.0]]",0.425826287471176,0.2705078125,0.2838114754098361,0.8523076923076923,0.9523809523809523,62,0.9523809523809523,0,60,"[[520.0, 1024.0], [0.0, 472.0]]",60,63,"[[2,33],[34,62]]","[[472.0, 984.0], [0.0, 472.0]]",0.49310872894333846,0.32723577235772355,0.32723577235772355,1.0,0.9682539682539683,62,0.9523809523809523,2,60,"[[472.0, 984.0], [0.0, 472.0]]",61,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_00617/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_00617/matrices/nw_match_scores_values_match_score.csv,0.3958432376384735,0.15014326572418213,0.4632170326386889,0.29887179242886175,0.4632170326386889,0.4125876956515842,25.993024826049805,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_00617,synthetic_617,0.0673737950002154,0.44873004909846015,60,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,66,6
4,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_02415/evidence/nw_match_scores_values_trace.json,local,61,-0.3,4,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_2415.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_2415.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_2415.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_2415.png,2415,,"[[0,62]]","[[0.0, 1024.0]]",0.7119496855345911,0.552734375,0.552734375,1.0,1.0,62,0.9682539682539683,0,61,"[[0.0, 1024.0]]",63,63,"[[0,62]]","[[0.0, 1024.0]]",0.7684906794948888,0.6240234375,0.6240234375,1.0,1.0,62,0.9682539682539683,0,61,"[[0.0, 1024.0]]",63,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_02415/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_02415/matrices/nw_match_scores_values_match_score.csv,0.37068384885787964,0.1432020217180252,0.5321938874291592,0.58837890625,0.5321938874291592,0.49625115167526973,31.263822555541992,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_02415,synthetic_2415,0.16151003857127955,1.127847474732613,61,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,65,4
0,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_04254/evidence/nw_match_scores_values_trace.json,local,63,-0.3,0,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_4254.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_4254.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_4254.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_4254.png,4254,,"[[0,62]]","[[0.0, 1024.0]]",0.4318529862174579,0.275390625,0.275390625,1.0,1.0,62,1.0,0,63,"[[0.0, 1024.0]]",63,63,"[[0,62]]","[[0.0, 1024.0]]",0.44021325209444023,0.2822265625,0.2822265625,1.0,1.0,62,1.0,0,63,"[[0.0, 1024.0]]",63,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_04254/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_04254/matrices/nw_match_scores_values_match_score.csv,0.3552837371826172,0.14398859441280365,0.39649043858997407,0.27880859375,0.39649043858997407,0.3964904300750248,24.978897094726562,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/old_resnet_token_vit/local/pair_04254,synthetic_4254,0.04120670140735688,0.28618031570764974,63,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,63,0
