bridged_trace_steps,component_bridge_limit,component_count,component_support_floor,evidence_json,feature,full_match_steps,gap,gap_steps,geometry,gt_mask1,gt_mask2,image1,image2,index,label_type,line1_component_ranges,line1_intervals_px,line1_mask_dice,line1_mask_iou,line1_mask_precision,line1_mask_recall,line1_matched_fraction,line1_path_end,line1_path_fraction,line1_path_start,line1_path_windows,line1_source_intervals_px,line1_span_windows,line1_windows,line2_component_ranges,line2_intervals_px,line2_mask_dice,line2_mask_iou,line2_mask_precision,line2_mask_recall,line2_matched_fraction,line2_path_end,line2_path_fraction,line2_path_start,line2_path_windows,line2_source_intervals_px,line2_span_windows,line2_windows,local_weight,mask_coordinate_system,matrix_csv_cosine,matrix_csv_match,matrix_mean_cosine,matrix_std_cosine,mean_full_path_cosine,mean_mask_iou,mean_path_cosine,normalized_nw_score,nw_score,output,pair_id,path_cosine_margin,path_cosine_z,path_steps,representation,score_clip,score_mode,side1_preprocess,side1_type,side2_preprocess,side2_type,source_type,split,status,text_score,threshold,traceback_steps,warp_steps
8,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_04230/evidence/nw_match_scores_values_trace.json,local,59,-0.3,8,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_4230.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_4230.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_4230.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_4230.png,4230,,"[[0,62]]","[[0.0, 1024.0]]",0.6640574037834311,0.4970703125,0.4970703125,1.0,1.0,62,0.9365079365079365,0,59,"[[0.0, 1024.0]]",63,63,"[[0,62]]","[[0.0, 1024.0]]",0.5777777777777777,0.40625,0.40625,1.0,1.0,62,0.9365079365079365,0,59,"[[0.0, 1024.0]]",63,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_04230/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_04230/matrices/nw_match_scores_values_match_score.csv,0.27762389183044434,0.17251311242580414,0.4205277910677053,0.45166015625,0.4205277910677053,0.3557324485173301,22.411144256591797,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_04230,synthetic_4230,0.142903899237261,0.8283654339534468,59,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,67,8
6,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_01172/evidence/nw_match_scores_values_trace.json,local,60,-0.3,6,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_1172.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_1172.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_1172.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_1172.png,1172,,"[[0,62]]","[[0.0, 1024.0]]",0.7924528301886793,0.65625,0.65625,1.0,1.0,62,0.9523809523809523,0,60,"[[0.0, 1024.0]]",63,63,"[[0,62]]","[[0.0, 1024.0]]",0.8195965417867436,0.6943359375,0.6943359375,1.0,1.0,62,0.9523809523809523,0,60,"[[0.0, 1024.0]]",63,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_01172/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_01172/matrices/nw_match_scores_values_match_score.csv,0.25742068886756897,0.16805702447891235,0.6133644790699084,0.67529296875,0.6133644790699084,0.5555851648724268,35.00186538696289,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_01172,synthetic_1172,0.35594379020233946,2.117994123161469,60,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,66,6
4,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_02762/evidence/nw_match_scores_values_trace.json,local,61,-0.3,4,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_2762.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_2762.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_2762.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_2762.png,2762,,"[[0,62]]","[[0.0, 1024.0]]",0.5212996389891696,0.3525390625,0.3525390625,1.0,1.0,62,0.9682539682539683,0,61,"[[0.0, 1024.0]]",63,63,"[[0,62]]","[[0.0, 1024.0]]",0.5223665223665224,0.353515625,0.353515625,1.0,1.0,62,0.9682539682539683,0,61,"[[0.0, 1024.0]]",63,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_02762/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_02762/matrices/nw_match_scores_values_match_score.csv,0.2539445459842682,0.16536284983158112,0.2794490357647177,0.35302734375,0.2794490357647177,0.251530026632642,15.846391677856445,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_02762,synthetic_2762,0.025504489780449502,0.15423349202330108,61,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,65,4
6,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_00132/evidence/nw_match_scores_values_trace.json,local,60,-0.3,6,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_132.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_132.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_132.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_132.png,132,,"[[0,62]]","[[0.0, 1024.0]]",0.46476761619190404,0.302734375,0.302734375,1.0,1.0,62,0.9523809523809523,0,60,"[[0.0, 1024.0]]",63,63,"[[0,62]]","[[0.0, 1024.0]]",0.441400304414003,0.283203125,0.283203125,1.0,1.0,62,0.9523809523809523,0,60,"[[0.0, 1024.0]]",63,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_00132/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_00132/matrices/nw_match_scores_values_match_score.csv,0.2447931319475174,0.1713746339082718,0.36488556358963253,0.29296875,0.36488556358963253,0.3189386337522476,20.0931339263916,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_00132,synthetic_132,0.12009243164211514,0.7007596684722581,60,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,66,6
9,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_01817/evidence/nw_match_scores_values_trace.json,local,57,-0.3,12,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_1817.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_1817.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_1817.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_1817.png,1817,,"[[0,62]]","[[0.0, 1024.0]]",0.5212996389891696,0.3525390625,0.3525390625,1.0,1.0,62,0.8888888888888888,0,56,"[[0.0, 1024.0]]",63,63,"[[0,58]]","[[72.0, 1024.0]]",0.5047970479704798,0.3376110562685094,0.3592436974789916,0.8486352357320099,0.9365079365079365,58,0.8888888888888888,0,56,"[[72.0, 1024.0]]",59,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_01817/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_01817/matrices/nw_match_scores_values_match_score.csv,0.2613937258720398,0.1870027780532837,0.40588039800263287,0.3450750593842547,0.41317477845586836,0.31008235991947236,19.535188674926758,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_01817,synthetic_1817,0.15178105258382857,0.8116513249903742,56,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,69,12
4,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_02716/evidence/nw_match_scores_values_trace.json,local,61,-0.3,4,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_2716.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_2716.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_2716.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_2716.png,2716,,"[[0,62]]","[[0.0, 1024.0]]",0.4484848484848485,0.2890625,0.2890625,1.0,1.0,62,0.9682539682539683,0,61,"[[0.0, 1024.0]]",63,63,"[[0,62]]","[[0.0, 1024.0]]",0.4473085670962851,0.2880859375,0.2880859375,1.0,1.0,62,0.9682539682539683,0,61,"[[0.0, 1024.0]]",63,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_02716/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_02716/matrices/nw_match_scores_values_match_score.csv,0.24854573607444763,0.1698860377073288,0.3392369046074445,0.28857421875,0.3392369046074445,0.30941990443638395,19.493453979492188,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_02716,synthetic_2716,0.09069116853299686,0.5338353272399883,61,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,65,4
8,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_00712/evidence/nw_match_scores_values_trace.json,local,55,-0.3,16,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_712.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_712.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_712.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_712.png,712,,"[[9,62]]","[[0.0, 872.0]]",0.5947242206235012,0.4232081911262799,0.42660550458715596,0.9815303430079155,0.8571428571428571,62,0.8571428571428571,9,54,"[[0.0, 872.0]]",54,63,"[[1,62]]","[[0.0, 1000.0]]",0.5420560747663551,0.3717948717948718,0.377,0.9641943734015346,0.9841269841269841,62,0.8571428571428571,1,54,"[[0.0, 1000.0]]",62,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_00712/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_00712/matrices/nw_match_scores_values_match_score.csv,0.28028643131256104,0.17794427275657654,0.5605282874269919,0.3975015314605759,0.5579072020396039,0.41315968831380206,26.02906036376953,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_00712,synthetic_712,0.27762077072704283,1.5601556960859388,54,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,71,16
6,2,2,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_00617/evidence/nw_match_scores_values_trace.json,local,48,-0.3,30,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_617.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_617.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_617.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_617.png,617,,"[[0,26],[27,47]]","[[584.0, 1024.0], [248.0, 584.0]]",0.5903723887375113,0.41881443298969073,0.41881443298969073,1.0,0.7619047619047619,47,0.7619047619047619,0,48,"[[584.0, 1024.0], [248.0, 584.0]]",48,63,"[[2,34],[42,62]]","[[456.0, 984.0], [0.0, 344.0]]",0.5393634840871022,0.36926605504587157,0.36926605504587157,1.0,0.8571428571428571,62,0.7619047619047619,2,48,"[[456.0, 984.0], [0.0, 344.0]]",54,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_00617/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_00617/matrices/nw_match_scores_values_match_score.csv,0.2728865146636963,0.17518848180770874,0.5830340702086687,0.39404024401778115,0.5830340702086687,0.3013594188387432,18.98564338684082,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_00617,synthetic_617,0.3101475555449724,1.7703649940034194,48,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,78,30
7,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_02415/evidence/nw_match_scores_values_trace.json,local,60,-0.3,6,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_2415.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_2415.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_2415.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_2415.png,2415,,"[[0,62]]","[[0.0, 1024.0]]",0.7119496855345911,0.552734375,0.552734375,1.0,1.0,62,0.9365079365079365,0,59,"[[0.0, 1024.0]]",63,63,"[[0,62]]","[[0.0, 1024.0]]",0.7684906794948888,0.6240234375,0.6240234375,1.0,1.0,62,0.9365079365079365,0,59,"[[0.0, 1024.0]]",63,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_02415/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_02415/matrices/nw_match_scores_values_match_score.csv,0.26046526432037354,0.17077137529850006,0.45421589352190495,0.58837890625,0.46374564971459115,0.40401504153297063,25.45294761657715,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_02415,synthetic_2415,0.2032803853942176,1.1903656865144605,59,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,66,6
7,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_04254/evidence/nw_match_scores_values_trace.json,local,60,-0.3,6,"[{""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}, {""image_preprocessing"": ""original"", ""color_mode"": ""RGB"", ""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_width"": 1024, ""scale_x"": 1.0, ""offset_x"": 0, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": false, ""preserve_aspect"": false, ""autocontrast"": false, ""auto_invert"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_4254.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_4254.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_4254.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_4254.png,4254,,"[[0,62]]","[[0.0, 1024.0]]",0.4318529862174579,0.275390625,0.275390625,1.0,1.0,62,0.9365079365079365,0,59,"[[0.0, 1024.0]]",63,63,"[[0,62]]","[[0.0, 1024.0]]",0.44021325209444023,0.2822265625,0.2822265625,1.0,1.0,62,0.9365079365079365,0,59,"[[0.0, 1024.0]]",63,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_04254/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_04254/matrices/nw_match_scores_values_match_score.csv,0.254709392786026,0.1687965989112854,0.33443996515125035,0.27880859375,0.34086683304128,0.28994281708248076,18.26639747619629,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260918_141053/physical_window_vit/local/pair_04254,synthetic_4254,0.08615744025525401,0.5104216602168381,59,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,0.0,0.0,66,6
