representation,metric,count,physical_minus_old_mean_delta,physical_wins,ties,physical_losses,physical_win_rate
local,normalized_nw_score,3,-0.09863354920079469,0,0,3,0.0
local,mean_path_cosine,3,-0.09725350708049624,0,0,3,0.0
local,mean_mask_iou,3,0.011470166740189672,1,2,0,0.3333333333333333
local,path_cosine_margin,3,0.030792796907006814,2,0,1,0.6666666666666666
local,path_cosine_z,3,-0.012733347566130038,1,0,2,0.3333333333333333
context,normalized_nw_score,3,0.4433756833354001,3,0,0,1.0
context,mean_path_cosine,3,0.3681832070300754,3,0,0,1.0
context,mean_mask_iou,3,0.0017200597879684458,1,2,0,0.3333333333333333
context,path_cosine_margin,3,-0.23600058603785676,0,0,3,0.0
context,path_cosine_z,3,-1.1747142996151945,0,0,3,0.0
fused,normalized_nw_score,3,0.03119846121974722,3,0,0,1.0
fused,mean_path_cosine,3,-0.036883045705338256,0,0,3,0.0
fused,mean_mask_iou,3,0.0034299286441177488,1,1,1,0.3333333333333333
fused,path_cosine_margin,3,-0.12317703984397643,0,0,3,0.0
fused,path_cosine_z,3,-0.4562647263068202,0,0,3,0.0
fused_wrong_context,normalized_nw_score,3,0.16144468418504826,3,0,0,1.0
fused_wrong_context,mean_path_cosine,3,0.09431864690096962,3,0,0,1.0
fused_wrong_context,mean_mask_iou,3,0.04145552398648609,2,0,1,0.6666666666666666
fused_wrong_context,path_cosine_margin,3,0.01814303419303683,2,0,1,0.6666666666666666
fused_wrong_context,path_cosine_z,3,-0.014183942791181403,1,0,2,0.3333333333333333
