trace_step,operation,window1,window2,cosine,match_score
0,gap_in_line1,,0,,
1,match,0,1,0.66355753,0.66355753
2,match,1,2,0.20500872,0.20500872
3,gap_in_line1,,3,,
4,match,2,4,0.16108540,0.16108540
5,gap_in_line1,,5,,
6,gap_in_line1,,6,,
7,gap_in_line1,,7,,
8,gap_in_line1,,8,,
9,match,3,9,0.42950433,0.42950433
10,match,4,10,0.17235047,0.17235047
11,match,5,11,-0.15782839,-0.15782839
12,gap_in_line1,,12,,
13,match,6,13,0.69111168,0.69111168
14,match,7,14,0.63017106,0.63017106
15,match,8,15,0.14311485,0.14311485
16,match,9,16,0.26759049,0.26759049
17,match,10,17,0.03957202,0.03957202
18,match,11,18,0.40730277,0.40730277
19,gap_in_line1,,19,,
20,gap_in_line1,,20,,
21,match,12,21,0.20843408,0.20843408
22,match,13,22,0.48024055,0.48024055
23,gap_in_line1,,23,,
24,match,14,24,0.38557881,0.38557881
25,match,15,25,-0.20527093,-0.20527093
26,match,16,26,0.09889360,0.09889360
27,gap_in_line1,,27,,
28,match,17,28,0.13870940,0.13870940
29,match,18,29,-0.03258870,-0.03258870
30,match,19,30,0.18191917,0.18191917
31,match,20,31,0.24440715,0.24440715
32,match,21,32,0.60268164,0.60268164
33,match,22,33,0.52008754,0.52008754
34,match,23,34,0.30532563,0.30532563
35,match,24,35,0.18539757,0.18539757
36,match,25,36,0.64647448,0.64647448
37,match,26,37,0.77528089,0.77528089
38,match,27,38,0.36937052,0.36937052
39,match,28,39,0.45373446,0.45373446
40,match,29,40,0.64636910,0.64636910
41,match,30,41,0.86419159,0.86419159
42,match,31,42,0.63128316,0.63128316
43,match,32,43,0.83315027,0.83315027
44,match,33,44,0.65755665,0.65755665
45,match,34,45,0.53850472,0.53850472
46,match,35,46,0.83975899,0.83975899
47,match,36,47,0.18739435,0.18739435
48,match,37,48,0.60769761,0.60769761
49,match,38,49,0.53806913,0.53806913
50,match,39,50,0.60906696,0.60906696
51,match,40,51,-0.01634423,-0.01634423
52,match,41,52,0.72090006,0.72090006
53,match,42,53,0.08897775,0.08897775
54,match,43,54,0.67540991,0.67540991
55,gap_in_line1,,55,,
56,match,44,56,0.20577972,0.20577972
57,match,45,57,0.61569870,0.61569870
58,match,46,58,0.65616602,0.65616602
59,gap_in_line2,47,,,
60,match,48,59,0.14293332,0.14293332
61,gap_in_line2,49,,,
62,gap_in_line2,50,,,
63,match,51,60,0.28213617,0.28213617
64,gap_in_line2,52,,,
65,gap_in_line2,53,,,
66,gap_in_line2,54,,,
67,gap_in_line2,55,,,
68,gap_in_line2,56,,,
69,gap_in_line2,57,,,
70,gap_in_line2,58,,,
71,match,59,61,0.24369830,0.24369830
72,gap_in_line2,60,,,
73,match,61,62,0.25802007,0.25802007
74,gap_in_line2,62,,,
