trace_step,operation,window1,window2,cosine,match_score
0,match,0,0,0.89593661,0.89593661
1,match,1,1,0.84093606,0.84093606
2,match,2,2,0.87500000,0.87500000
3,match,3,3,0.82185298,0.82185298
4,match,4,4,0.77774167,0.77774167
5,match,5,5,0.64036715,0.64036715
6,match,6,6,0.67770046,0.67770046
7,match,7,7,0.83190662,0.83190662
8,match,8,8,0.84273893,0.84273893
9,match,9,9,0.72369444,0.72369444
10,match,10,10,0.87317276,0.87317276
11,match,11,11,0.73979896,0.73979896
12,match,12,12,0.75234693,0.75234693
13,match,13,13,0.62782282,0.62782282
14,match,14,14,0.79631805,0.79631805
15,match,15,15,0.48396128,0.48396128
16,match,16,16,0.81215835,0.81215835
17,match,17,17,0.46210366,0.46210366
18,match,18,18,0.88238716,0.88238716
19,match,19,19,0.58145165,0.58145165
20,match,20,20,0.78838038,0.78838038
21,match,21,21,0.80545956,0.80545956
22,match,22,22,0.67765212,0.67765212
23,match,23,23,0.73222244,0.73222244
24,match,24,24,0.68820548,0.68820548
25,match,25,25,0.72393715,0.72393715
26,match,26,26,0.81902349,0.81902349
27,match,27,27,0.87506300,0.87506300
28,match,28,28,0.70888078,0.70888078
29,match,29,29,0.71916711,0.71916711
30,match,30,30,0.53399867,0.53399867
31,match,31,31,0.65635955,0.65635955
32,match,32,32,0.47391844,0.47391844
33,match,33,33,0.68975961,0.68975961
34,match,34,34,0.51233649,0.51233649
35,match,35,35,0.56690490,0.56690490
36,match,36,36,0.76563299,0.76563299
37,match,37,37,0.86971772,0.86971772
38,match,38,38,0.76869065,0.76869065
39,match,39,39,0.69872630,0.69872630
40,match,40,40,0.79814988,0.79814988
41,match,41,41,0.83771408,0.83771408
42,match,42,42,0.84139383,0.84139383
43,match,43,43,0.89416146,0.89416146
44,match,44,44,0.79102206,0.79102206
45,match,45,45,0.89972198,0.89972198
46,match,46,46,0.86809605,0.86809605
47,match,47,47,0.80180252,0.80180252
48,match,48,48,0.86042219,0.86042219
49,match,49,49,0.85006177,0.85006177
50,match,50,50,0.87473643,0.87473643
51,match,51,51,0.86162031,0.86162031
52,match,52,52,0.91584945,0.91584945
53,match,53,53,0.88818407,0.88818407
54,match,54,54,0.89033544,0.89033544
55,match,55,55,0.83924729,0.83924729
56,match,56,56,0.94827813,0.94827813
57,match,57,57,0.92636395,0.92636395
58,match,58,58,0.90569997,0.90569997
59,match,59,59,0.94238228,0.94238228
60,match,60,60,0.94390321,0.94390321
61,match,61,61,0.95688605,0.95688605
62,match,62,62,0.96458048,0.96458048
