trace_step,operation,window1,window2,cosine,match_score
0,match,0,0,0.86045086,0.86045086
1,match,1,1,0.49813798,0.49813798
2,match,2,2,0.50498933,0.50498933
3,match,3,3,0.47022718,0.47022718
4,match,4,4,0.29071504,0.29071504
5,match,5,5,0.21065865,0.21065865
6,match,6,6,0.33078003,0.33078003
7,match,7,7,0.18759602,0.18759602
8,match,8,8,0.11502682,0.11502682
9,gap_in_line1,,9,,
10,match,9,10,0.18746835,0.18746835
11,match,10,11,0.46019635,0.46019635
12,match,11,12,0.32050136,0.32050136
13,match,12,13,0.16100234,0.16100234
14,match,13,14,0.40483862,0.40483862
15,match,14,15,0.03099325,0.03099325
16,match,15,16,0.31151414,0.31151414
17,gap_in_line1,,17,,
18,match,16,18,0.49330139,0.49330139
19,match,17,19,0.22757712,0.22757712
20,match,18,20,0.19805448,0.19805448
21,match,19,21,0.32825071,0.32825071
22,match,20,22,0.46424574,0.46424574
23,match,21,23,0.26828998,0.26828998
24,match,22,24,0.15626010,0.15626010
25,match,23,25,0.37324512,0.37324512
26,match,24,26,0.17392299,0.17392299
27,match,25,27,0.14701477,0.14701477
28,match,26,28,0.28131133,0.28131133
29,match,27,29,0.64407402,0.64407402
30,match,28,30,0.16504966,0.16504966
31,match,29,31,0.17110476,0.17110476
32,gap_in_line2,30,,,
33,match,31,32,0.35992777,0.35992777
34,match,32,33,0.20822586,0.20822586
35,match,33,34,0.22725746,0.22725746
36,match,34,35,0.03022091,0.03022091
37,match,35,36,0.15700242,0.15700242
38,match,36,37,0.31208241,0.31208241
39,match,37,38,0.19478592,0.19478592
40,match,38,39,0.20306528,0.20306528
41,match,39,40,0.59285629,0.59285629
42,match,40,41,0.05680186,0.05680186
43,match,41,42,0.25186077,0.25186077
44,match,42,43,0.15436518,0.15436518
45,match,43,44,0.40898752,0.40898752
46,match,44,45,0.45589578,0.45589578
47,match,45,46,0.15042740,0.15042740
48,match,46,47,0.22825086,0.22825086
49,match,47,48,0.45847732,0.45847732
50,match,48,49,0.20908612,0.20908612
51,match,49,50,0.27226397,0.27226397
52,match,50,51,0.29729617,0.29729617
53,match,51,52,0.20157743,0.20157743
54,match,52,53,0.18823689,0.18823689
55,match,53,54,0.12572049,0.12572049
56,match,54,55,0.48483342,0.48483342
57,match,55,56,0.19809693,0.19809693
58,match,56,57,0.24388319,0.24388319
59,gap_in_line2,57,,,
60,match,58,58,0.12075181,0.12075181
61,match,59,59,0.30261821,0.30261821
62,match,60,60,0.03191047,0.03191047
63,match,61,61,0.26115865,0.26115865
64,match,62,62,0.22166795,0.22166795
