representation,metric,count,mean,median
local,normalized_nw_score,3,0.3876158800074663,0.3557324485173301
local,mean_path_cosine,3,0.4377804353007772,0.4205277910677053
local,mean_mask_iou,3,0.4933268229166667,0.45166015625
local,path_cosine_margin,3,0.17478405974001665,0.142903899237261
local,path_cosine_z,3,1.0335310163794056,0.8283654339534468
local,component_count,3,1.0,1.0
local,gap_steps,3,6.0,6.0
context,normalized_nw_score,3,0.7682243427902303,0.7827627999441964
context,mean_path_cosine,3,0.7682242943811669,0.7827626391062661
context,mean_mask_iou,3,0.4933268229166667,0.45166015625
context,path_cosine_margin,3,0.00888402799449898,0.01918105473594056
context,path_cosine_z,3,0.12078236003247415,0.2578007354084783
context,component_count,3,1.0,1.0
context,gap_steps,3,0.0,0.0
fused,normalized_nw_score,3,0.3157046635945638,0.25537554423014325
fused,mean_path_cosine,3,0.43592977182139303,0.3854860631784178
fused,mean_mask_iou,3,0.49749787488422625,0.46937603305785125
fused,path_cosine_margin,3,0.3140964548396006,0.2519991515239455
fused,path_cosine_z,3,1.2911997371641133,1.0457013941160094
fused,component_count,3,1.6666666666666667,1.0
fused,gap_steps,3,10.666666666666666,10.0
fused_wrong_context,normalized_nw_score,3,0.3142792383829753,0.2636397528269934
fused_wrong_context,mean_path_cosine,3,0.43039611200903694,0.3866213891931154
fused_wrong_context,mean_mask_iou,3,0.48130350239322534,0.45166015625
fused_wrong_context,path_cosine_margin,3,0.30865330964738963,0.2578011337943651
fused_wrong_context,path_cosine_z,3,1.2630563410244975,1.0444213342865847
fused_wrong_context,component_count,3,1.3333333333333333,1.0
fused_wrong_context,gap_steps,3,10.0,10.0
