trace_step,operation,window1,window2,cosine,match_score
0,gap_in_line2,0,,,
1,gap_in_line2,1,,,
2,gap_in_line2,2,,,
3,gap_in_line2,3,,,
4,gap_in_line2,4,,,
5,gap_in_line2,5,,,
6,gap_in_line2,6,,,
7,match,7,0,0.67389482,0.67389482
8,match,8,1,0.91374767,0.91374767
9,gap_in_line2,9,,,
10,match,10,2,0.73162478,0.73162478
11,gap_in_line2,11,,,
12,match,12,3,0.65419841,0.65419841
13,match,13,4,0.06410564,0.06410564
14,match,14,5,-0.14649011,-0.14649011
15,match,15,6,0.06710240,0.06710240
16,match,16,7,0.75874043,0.75874043
17,match,17,8,0.34882373,0.34882373
18,gap_in_line2,18,,,
19,gap_in_line2,19,,,
20,gap_in_line2,20,,,
21,gap_in_line2,21,,,
22,match,22,9,0.33434573,0.33434573
23,match,23,10,0.64800054,0.64800054
24,match,24,11,0.43873289,0.43873289
25,match,25,12,0.86800325,0.86800325
26,match,26,13,0.00976087,0.00976087
27,gap_in_line1,,14,,
28,match,27,15,0.32018203,0.32018203
29,match,28,16,0.82435596,0.82435596
30,match,29,17,0.88082469,0.88082469
31,gap_in_line1,,18,,
32,match,30,19,0.22942896,0.22942896
33,gap_in_line1,,20,,
34,match,31,21,0.63672614,0.63672614
35,match,32,22,0.00517321,0.00517321
36,match,33,23,0.02558748,0.02558748
37,match,34,24,0.43890184,0.43890184
38,gap_in_line1,,25,,
39,gap_in_line1,,26,,
40,gap_in_line1,,27,,
41,match,35,28,0.28579345,0.28579345
42,match,36,29,0.61730051,0.61730051
43,gap_in_line1,,30,,
44,gap_in_line1,,31,,
45,match,37,32,0.10093424,0.10093424
46,match,38,33,0.04494260,0.04494260
47,gap_in_line1,,34,,
48,match,39,35,0.29847202,0.29847202
49,gap_in_line1,,36,,
50,gap_in_line1,,37,,
51,match,40,38,0.39605546,0.39605546
52,gap_in_line1,,39,,
53,match,41,40,0.64831960,0.64831960
54,match,42,41,0.35559183,0.35559183
55,match,43,42,0.65363312,0.65363312
56,gap_in_line1,,43,,
57,gap_in_line1,,44,,
58,match,44,45,0.68963575,0.68963575
59,match,45,46,-0.05882189,-0.05882189
60,gap_in_line1,,47,,
61,match,46,48,0.76496756,0.76496756
62,gap_in_line1,,49,,
63,gap_in_line1,,50,,
64,match,47,51,0.11925529,0.11925529
65,match,48,52,0.56406474,0.56406474
66,match,49,53,0.06480393,0.06480393
67,gap_in_line1,,54,,
68,match,50,55,0.15859738,0.15859738
69,match,51,56,0.22914395,0.22914395
70,match,52,57,0.05783784,0.05783784
71,match,53,58,-0.08864853,-0.08864853
72,match,54,59,0.00235277,0.00235277
73,match,55,60,0.00188028,0.00188028
74,match,56,61,-0.15497261,-0.50000000
75,match,57,62,-0.19980094,-0.50000000
76,gap_in_line2,58,,,
77,gap_in_line2,59,,,
78,gap_in_line2,60,,,
79,gap_in_line2,61,,,
80,gap_in_line2,62,,,
