trace_step,operation,window1,window2,cosine,match_score
0,gap_in_line2,0,,,
1,gap_in_line2,1,,,
2,gap_in_line2,2,,,
3,gap_in_line2,3,,,
4,gap_in_line2,4,,,
5,gap_in_line2,5,,,
6,gap_in_line2,6,,,
7,match,7,0,0.40382737,0.40382737
8,match,8,1,0.92618424,0.92618424
9,gap_in_line2,9,,,
10,match,10,2,0.70001680,0.70001680
11,gap_in_line2,11,,,
12,match,12,3,0.64764500,0.64764500
13,match,13,4,0.08792672,0.08792672
14,match,14,5,-0.13203979,-0.13203979
15,match,15,6,0.10571505,0.10571505
16,match,16,7,0.76269889,0.76269889
17,match,17,8,0.38370728,0.38370728
18,gap_in_line2,18,,,
19,gap_in_line2,19,,,
20,gap_in_line2,20,,,
21,gap_in_line2,21,,,
22,match,22,9,0.34528989,0.34528989
23,match,23,10,0.73258728,0.73258728
24,match,24,11,0.44702071,0.44702071
25,match,25,12,0.88846332,0.88846332
26,match,26,13,0.00786142,0.00786142
27,gap_in_line1,,14,,
28,match,27,15,0.31389499,0.31389499
29,match,28,16,0.85430229,0.85430229
30,match,29,17,0.88727564,0.88727564
31,gap_in_line1,,18,,
32,gap_in_line1,,19,,
33,match,30,20,-0.00703450,-0.00703450
34,match,31,21,0.69746518,0.69746518
35,match,32,22,-0.08574217,-0.08574217
36,match,33,23,0.02592931,0.02592931
37,match,34,24,0.38070321,0.38070321
38,gap_in_line1,,25,,
39,gap_in_line1,,26,,
40,gap_in_line1,,27,,
41,match,35,28,0.27321607,0.27321607
42,match,36,29,0.65032613,0.65032613
43,gap_in_line1,,30,,
44,gap_in_line1,,31,,
45,match,37,32,0.05337870,0.05337870
46,match,38,33,0.06254797,0.06254797
47,gap_in_line1,,34,,
48,match,39,35,0.25470179,0.25470179
49,gap_in_line1,,36,,
50,gap_in_line1,,37,,
51,match,40,38,0.35872191,0.35872191
52,gap_in_line1,,39,,
53,match,41,40,0.65625912,0.65625912
54,match,42,41,0.31892312,0.31892312
55,match,43,42,0.61350679,0.61350679
56,gap_in_line1,,43,,
57,gap_in_line1,,44,,
58,match,44,45,0.65752709,0.65752709
59,match,45,46,-0.02929803,-0.02929803
60,gap_in_line1,,47,,
61,match,46,48,0.75099105,0.75099105
62,gap_in_line1,,49,,
63,gap_in_line1,,50,,
64,match,47,51,0.09164473,0.09164473
65,match,48,52,0.49854064,0.49854064
66,match,49,53,0.05636089,0.05636089
67,gap_in_line1,,54,,
68,match,50,55,0.18435009,0.18435009
69,match,51,56,0.24864158,0.24864158
70,match,52,57,0.10823493,0.10823493
71,gap_in_line1,,58,,
72,match,53,59,-0.05247489,-0.05247489
73,match,54,60,0.06638390,0.06638390
74,match,55,61,0.39565790,0.39565790
75,match,56,62,-0.18632010,-0.50000000
76,gap_in_line2,57,,,
77,gap_in_line2,58,,,
78,gap_in_line2,59,,,
79,gap_in_line2,60,,,
80,gap_in_line2,61,,,
81,gap_in_line2,62,,,
