trace_step,operation,window1,window2,cosine,match_score
0,gap_in_line2,0,,,
1,match,1,0,0.50259322,0.50259322
2,gap_in_line2,2,,,
3,gap_in_line2,3,,,
4,match,4,1,0.68676764,0.68676764
5,gap_in_line2,5,,,
6,match,6,2,0.60067385,0.60067385
7,gap_in_line2,7,,,
8,gap_in_line2,8,,,
9,gap_in_line2,9,,,
10,match,10,3,0.37264764,0.37264764
11,match,11,4,0.22937237,0.22937237
12,gap_in_line2,12,,,
13,gap_in_line2,13,,,
14,gap_in_line2,14,,,
15,gap_in_line2,15,,,
16,match,16,5,0.25348884,0.25348884
17,match,17,6,0.22116809,0.22116809
18,gap_in_line2,18,,,
19,gap_in_line2,19,,,
20,gap_in_line2,20,,,
21,match,21,7,0.64216357,0.64216357
22,gap_in_line2,22,,,
23,match,23,8,0.41548824,0.41548824
24,gap_in_line2,24,,,
25,gap_in_line2,25,,,
26,gap_in_line2,26,,,
27,match,27,9,0.66748047,0.66748047
28,gap_in_line2,28,,,
29,gap_in_line2,29,,,
30,match,30,10,0.57038504,0.57038504
31,match,31,11,0.62426555,0.62426555
32,match,32,12,0.83006418,0.83006418
33,gap_in_line2,33,,,
34,gap_in_line2,34,,,
35,gap_in_line2,35,,,
36,gap_in_line2,36,,,
37,gap_in_line2,37,,,
38,match,38,13,0.33917558,0.33917558
39,match,39,14,0.86580873,0.86580873
40,gap_in_line2,40,,,
41,gap_in_line2,41,,,
42,gap_in_line2,42,,,
43,gap_in_line2,43,,,
44,match,44,15,0.24788448,0.24788448
45,match,45,16,0.48922518,0.48922518
46,match,46,17,0.51056802,0.51056802
47,gap_in_line2,47,,,
48,match,48,18,0.05321047,0.05321047
49,match,49,19,0.32260868,0.32260868
50,gap_in_line2,50,,,
51,gap_in_line2,51,,,
52,match,52,20,0.86633849,0.86633849
53,match,53,21,0.73538673,0.73538673
54,gap_in_line2,54,,,
55,gap_in_line2,55,,,
56,match,56,22,0.60123438,0.60123438
57,match,57,23,0.22283036,0.22283036
58,match,58,24,0.43468770,0.43468770
59,match,59,25,0.46142495,0.46142495
60,gap_in_line2,60,,,
