trace_step,operation,window1,window2,cosine,match_score
0,match,0,0,0.55587977,-0.20000000
1,match,1,1,0.49674493,-0.20000000
2,match,2,2,0.54715776,-0.20000000
3,match,3,3,0.47269663,-0.20000000
4,match,4,4,0.52358842,-0.20000000
5,gap_in_line2,5,,,
6,match,6,5,0.49604306,-0.20000000
7,match,7,6,0.49667376,-0.20000000
8,match,8,7,0.52020860,-0.20000000
9,match,9,8,0.52355868,-0.20000000
10,match,10,9,0.51683819,-0.20000000
11,match,11,10,0.53597116,-0.20000000
12,match,12,11,0.53342438,-0.20000000
13,match,13,12,0.55749762,-0.20000000
14,match,14,13,0.35397857,0.15397857
15,gap_in_line1,,14,,
16,match,15,15,0.25096667,0.05096667
17,match,16,16,0.29659206,0.09659205
18,match,17,17,0.29758176,0.09758176
19,match,18,18,0.28431496,0.08431496
20,match,19,19,0.27964044,0.07964043
21,gap_in_line2,20,,,
22,match,21,20,0.10185535,-0.09814466
23,match,22,21,0.18193991,-0.01806009
24,match,23,22,0.03028901,-0.16971099
25,match,24,23,0.21280187,0.01280187
26,gap_in_line1,,24,,
27,match,25,25,0.07166179,-0.12833822
28,match,26,26,0.05486924,-0.14513075
29,match,27,27,0.15463591,-0.04536410
30,gap_in_line1,,28,,
31,match,28,29,0.57881284,0.37881285
32,match,29,30,0.36064011,0.16064011
33,match,30,31,0.32814470,0.12814470
34,match,31,32,0.28292888,0.08292888
35,match,32,33,0.30658787,0.10658787
36,match,33,34,0.46767005,0.26767004
37,match,34,35,-0.15561302,-0.35561302
38,match,35,36,0.08107644,-0.11892356
39,match,36,37,0.35665417,0.15665416
40,match,37,38,0.32516658,0.12516658
41,gap_in_line2,38,,,
42,match,39,39,0.22905430,0.02905430
43,match,40,40,0.22688122,0.02688122
44,match,41,41,0.08450919,-0.11549081
45,match,42,42,0.22804406,0.02804406
46,match,43,43,0.39601201,0.19601201
47,match,44,44,-0.03529113,-0.23529112
48,match,45,45,0.03316703,-0.16683297
49,match,46,46,0.32060885,0.12060885
50,match,47,47,0.56205750,0.36205751
51,match,48,48,0.19539019,-0.00460981
52,match,49,49,0.01583039,-0.50000000
53,match,50,50,0.33216780,-0.20000000
54,match,51,51,0.34128708,-0.20000000
55,match,52,52,0.36344308,-0.20000000
56,match,53,53,0.34450877,-0.20000000
57,match,54,54,0.34009060,-0.20000000
58,match,55,55,0.35578069,-0.20000000
59,match,56,56,0.35996050,-0.20000000
60,match,57,57,0.39259002,-0.20000000
61,match,58,58,0.37491989,-0.20000000
62,match,59,59,0.37315100,-0.20000000
63,match,60,60,0.36613023,-0.20000000
64,match,61,61,0.37150741,-0.20000000
65,match,62,62,0.37217331,-0.20000000
