trace_step,operation,window1,window2,cosine,match_score
0,match,0,0,0.39545566,-0.20000000
1,match,1,1,0.41823086,-0.20000000
2,match,2,2,0.40874985,-0.20000000
3,match,3,3,0.38578624,-0.20000000
4,match,4,4,0.41735876,-0.20000000
5,gap_in_line2,5,,,
6,gap_in_line2,6,,,
7,match,7,5,0.39022681,-0.20000000
8,match,8,6,0.02086511,-0.07913490
9,match,9,7,0.01555228,-0.08444772
10,gap_in_line1,,8,,
11,match,10,9,0.14462781,0.04462781
12,match,11,10,0.06487723,-0.03512277
13,match,12,11,0.10517310,0.00517309
14,match,13,12,0.22075842,0.12075842
15,gap_in_line1,,13,,
16,gap_in_line1,,14,,
17,match,14,15,0.28520000,0.18520001
18,match,15,16,0.05260811,-0.04739189
19,gap_in_line1,,17,,
20,match,16,18,0.11460310,0.01460310
21,match,17,19,-0.01181105,-0.11181106
22,match,18,20,-0.04448839,-0.14448839
23,match,19,21,0.14775211,0.04775210
24,gap_in_line1,,22,,
25,match,20,23,0.07055959,-0.02944041
26,match,21,24,0.03136526,-0.06863474
27,match,22,25,0.04755398,-0.05244602
28,match,23,26,0.20918182,0.10918181
29,match,24,27,0.06828649,-0.03171352
30,match,25,28,-0.11542260,-0.21542260
31,match,26,29,0.25985807,0.15985808
32,match,27,30,-0.12920499,-0.22920498
33,match,28,31,0.04921586,-0.05078414
34,match,29,32,0.28015354,0.18015355
35,match,30,33,-0.03499801,-0.13499802
36,match,31,34,0.08121333,-0.01878667
37,gap_in_line1,,35,,
38,match,32,36,-0.01045926,-0.11045927
39,match,33,37,-0.05440800,-0.15440801
40,match,34,38,0.06197050,-0.03802950
41,match,35,39,-0.06197551,-0.16197552
42,match,36,40,0.09015746,-0.00984254
43,match,37,41,0.24709588,0.14709589
44,match,38,42,0.15108514,0.05108514
45,gap_in_line2,39,,,
46,match,40,43,0.04265522,-0.05734478
47,match,41,44,0.05193757,-0.04806243
48,match,42,45,-0.02832435,-0.12832434
49,match,43,46,0.14202206,0.04202206
50,match,44,47,0.16161592,0.06161592
51,gap_in_line2,45,,,
52,match,46,48,0.05938538,-0.04061462
53,gap_in_line2,47,,,
54,match,48,49,0.15171047,0.05171046
55,match,49,50,0.18393740,0.08393740
56,match,50,51,0.19033676,0.09033676
57,match,51,52,-0.08191855,-0.18191856
58,match,52,53,0.05224010,-0.04775990
59,gap_in_line1,,54,,
60,match,53,55,0.04956777,-0.05043224
61,match,54,56,0.01733965,-0.08266035
62,match,55,57,0.23212859,-0.20000000
63,match,56,58,0.21854463,-0.20000000
64,match,57,59,0.22672094,-0.20000000
65,match,58,60,0.20877187,-0.20000000
66,match,59,61,0.20975651,-0.20000000
67,match,60,62,0.17765118,-0.20000000
68,gap_in_line2,61,,,
69,gap_in_line2,62,,,
