side,step,valid_window_index,physical_window_index,letter_index,letter,cost
1,0,0,8,0,ا,3.780895233154297
1,1,0,8,1,ذ,3.737799644470215
1,2,0,8,2,ا,3.7864508628845215
1,3,1,9,3,س,3.304497718811035
1,4,2,10,4,ل,2.374844789505005
1,5,3,11,5,م,3.031780481338501
1,6,3,11,6,ت,4.097892761230469
1,7,4,12,7,م,2.869533061981201
1,8,4,12,8,م,2.8723106384277344
1,9,4,12,9,ا,2.9693901538848877
1,10,4,12,10,ا,2.97216796875
1,11,5,13,11,ت,4.140161037445068
1,12,6,14,12,ي,1.4055951833724976
1,13,7,15,13,ت,1.7114031314849854
1,14,7,15,14,م,3.228271007537842
1,15,8,16,15,ب,2.4975523948669434
1,16,9,17,16,ا,5.020159721374512
1,17,9,17,17,ل,3.383265495300293
1,18,10,18,18,م,1.6536648273468018
1,19,11,19,19,ع,1.7678422927856445
1,20,11,19,20,ر,4.668321132659912
1,21,12,20,21,و,4.090686798095703
1,22,13,21,22,ف,3.16513729095459
1,23,14,22,23,و,3.3467254638671875
1,24,15,23,24,ا,4.432007312774658
1,25,16,24,25,ت,1.3069798946380615
1,26,17,25,26,ق,2.653843402862549
1,27,17,25,27,و,3.994429111480713
1,28,18,26,28,ا,1.5071042776107788
1,29,18,26,29,ا,1.5098820924758911
1,30,19,27,30,ل,0.7216533422470093
1,31,20,28,31,ل,2.4270570278167725
1,32,21,29,32,ه,2.2232789993286133
1,33,22,30,33,و,3.954103708267212
1,34,22,30,34,ا,2.8336493968963623
1,35,23,31,35,ع,3.6344382762908936
1,36,24,32,36,ل,4.178292274475098
1,37,24,32,37,م,3.0112507343292236
1,38,24,32,38,و,5.574850559234619
1,39,25,33,39,ا,1.4223456382751465
1,40,25,33,40,ا,1.4251234531402588
1,41,26,34,41,ن,1.2282580137252808
1,42,27,35,42,ا,5.088794231414795
1,43,28,36,43,ل,2.837965250015259
1,44,28,36,44,ل,2.840743064880371
1,45,29,37,45,ه,5.013996601104736
1,46,30,38,46,ب,3.066053867340088
1,47,31,39,47,م,2.2658886909484863
1,48,32,40,47,م,3.577190637588501
1,49,33,41,48,ا,2.339702844619751
1,50,34,42,48,ا,4.181698322296143
1,51,35,43,49,ت,4.38556432723999
1,52,36,44,49,ت,1.6584433317184448
1,53,37,45,50,ع,3.43447208404541
1,54,38,46,50,ع,3.5350582599639893
1,55,39,47,51,م,3.0775506496429443
1,56,40,48,51,م,2.6127192974090576
1,57,41,49,51,م,3.5593507289886475
1,58,42,50,52,ل,4.199177265167236
1,59,43,51,53,و,0.7669450640678406
1,60,44,52,54,ن,3.037709951400757
1,61,45,53,54,ن,3.7657790184020996
1,62,46,54,54,ن,3.45048189163208
2,0,0,6,0,م,3.8676862716674805
2,1,1,7,1,ن,3.807974338531494
2,2,2,8,1,ن,3.5659213066101074
2,3,3,9,2,ا,4.514330863952637
2,4,4,10,3,ل,4.211883544921875
2,5,5,11,4,ك,1.7775859832763672
2,6,6,12,5,ت,4.972199440002441
2,7,7,13,6,ا,1.0939537286758423
2,8,8,14,7,ب,2.5910472869873047
2,9,9,15,7,ب,1.1150236129760742
2,10,10,16,8,و,3.2323310375213623
2,11,11,17,9,ا,5.73586893081665
2,12,12,18,10,ل,2.084325075149536
2,13,13,19,10,ل,1.8981860876083374
2,14,14,20,11,ح,4.549780368804932
2,15,15,21,12,ك,1.7272011041641235
2,16,16,22,12,ك,1.4060560464859009
2,17,17,23,13,م,3.0638720989227295
2,18,18,24,14,ة,3.2482595443725586
2,19,19,25,15,ي,3.310826301574707
2,20,20,26,16,ع,4.429829120635986
2,21,21,27,17,ظ,2.5998218059539795
2,22,22,28,18,ك,2.7099103927612305
2,23,23,29,19,م,3.972123861312866
2,24,24,30,20,ب,4.221100807189941
2,25,25,31,21,ه,2.29362416267395
2,26,26,32,22,و,4.846365451812744
2,27,27,33,23,ا,2.950139284133911
2,28,28,34,24,ت,2.796109199523926
2,29,29,35,25,ق,2.8440639972686768
2,30,30,36,25,ق,1.0616133213043213
2,31,31,37,26,و,2.8729355335235596
2,32,32,38,27,ا,4.403066158294678
2,33,33,39,28,ا,0.7561279535293579
2,34,34,40,29,ل,2.428830146789551
2,35,35,41,30,ل,0.6592004299163818
2,36,36,42,31,ه,4.262107849121094
2,37,37,43,32,و,1.2422301769256592
2,38,38,44,33,ا,4.495447635650635
2,39,39,45,34,ع,5.728757858276367
2,40,40,46,35,ل,3.2083563804626465
2,41,41,47,36,م,4.494958877563477
2,42,42,48,37,و,3.764981269836426
2,43,43,49,38,ا,0.5014910101890564
2,44,44,50,39,ا,2.2030436992645264
2,45,45,51,40,ن,3.462772846221924
2,46,46,52,40,ن,2.8064992427825928
2,47,47,53,41,ا,2.734611749649048
2,48,48,54,42,ل,0.9750282168388367
2,49,49,55,43,ل,2.6821305751800537
2,50,50,56,44,ه,3.4401657581329346
