side,step,valid_window_index,physical_window_index,letter_index,letter,cost
1,0,0,0,0,ا,4.902050018310547
1,1,1,1,0,ا,4.104651927947998
1,2,2,2,1,ذ,1.6699739694595337
1,3,3,3,2,ا,5.897578716278076
1,4,4,4,3,س,4.0596537590026855
1,5,5,5,4,ل,2.1494381427764893
1,6,6,6,5,م,4.195799350738525
1,7,7,7,6,ت,5.618821144104004
1,8,8,8,7,م,3.856414794921875
1,9,9,9,8,م,5.176019668579102
1,10,10,10,9,ا,5.125230312347412
1,11,11,11,10,ا,4.196122646331787
1,12,12,12,11,ت,3.2271320819854736
1,13,13,13,11,ت,1.4935382604599
1,14,14,14,11,ت,1.7841746807098389
1,15,15,15,12,ي,3.0878756046295166
1,16,16,16,13,ت,4.274041175842285
1,17,17,17,14,م,5.975051403045654
1,18,18,18,15,ب,2.9834911823272705
1,19,19,19,15,ب,4.343468189239502
1,20,20,20,16,ا,4.7843146324157715
1,21,21,21,17,ل,4.304181098937988
1,22,22,22,17,ل,0.609592080116272
1,23,23,23,18,م,1.6286598443984985
1,24,24,24,19,ع,5.617367744445801
1,25,25,25,20,ر,3.206990957260132
1,26,26,26,21,و,4.620980739593506
1,27,27,27,22,ف,4.264162540435791
1,28,28,28,23,و,4.691091537475586
1,29,29,29,24,ا,4.878613471984863
1,30,30,30,25,ت,3.5497379302978516
1,31,31,31,26,ق,3.818603754043579
1,32,32,32,27,و,4.321094512939453
1,33,33,33,28,ا,1.9246234893798828
1,34,34,34,29,ا,3.805846929550171
1,35,35,35,29,ا,3.9961395263671875
1,36,36,36,30,ل,2.8756470680236816
1,37,37,37,31,ل,2.6516849994659424
1,38,38,38,32,ه,3.8529419898986816
1,39,39,39,33,و,4.759189128875732
1,40,40,40,34,ا,1.3511792421340942
1,41,41,41,35,ع,4.775549411773682
1,42,42,42,36,ل,5.234857082366943
1,43,43,43,37,م,4.388379096984863
1,44,44,44,38,و,3.3286185264587402
1,45,45,45,39,ا,4.358297348022461
1,46,46,46,40,ا,4.224235534667969
1,47,47,47,41,ن,3.6643314361572266
1,48,48,48,42,ا,2.59171986579895
1,49,49,49,43,ل,6.018529891967773
1,50,50,50,44,ل,4.502814292907715
1,51,51,51,45,ه,4.69956111907959
1,52,52,52,46,ب,3.616384267807007
1,53,53,53,47,م,3.125433921813965
1,54,54,54,48,ا,1.8129661083221436
1,55,55,55,49,ت,2.7805919647216797
1,56,56,56,50,ع,2.4752554893493652
1,57,57,57,51,م,3.0687615871429443
1,58,58,58,51,م,4.930832862854004
1,59,59,59,52,ل,2.1132118701934814
1,60,60,60,53,و,4.272950649261475
1,61,61,61,54,ن,2.949418544769287
1,62,62,62,54,ن,5.802095413208008
2,0,0,0,0,م,1.1920320987701416
2,1,1,1,0,م,3.804736375808716
2,2,2,2,1,ن,5.148286819458008
2,3,3,3,1,ن,2.384221076965332
2,4,4,4,1,ن,2.393613815307617
2,5,5,5,2,ا,2.6046664714813232
2,6,6,6,3,ل,4.344883918762207
2,7,7,7,4,ك,3.058056354522705
2,8,8,8,5,ت,4.084383487701416
2,9,9,9,6,ا,2.344961166381836
2,10,10,10,7,ب,3.962780475616455
2,11,11,11,7,ب,3.429823398590088
2,12,12,12,8,و,4.3412322998046875
2,13,13,13,8,و,2.1398844718933105
2,14,14,14,9,ا,4.391922950744629
2,15,15,15,10,ل,1.342507243156433
2,16,16,16,11,ح,3.2805376052856445
2,17,17,17,12,ك,1.4084059000015259
2,18,18,18,12,ك,2.2262463569641113
2,19,19,19,13,م,1.9402036666870117
2,20,20,20,14,ة,2.2693474292755127
2,21,21,21,14,ة,4.867356300354004
2,22,22,22,14,ة,4.337259769439697
2,23,23,23,14,ة,3.055121660232544
2,24,24,24,15,ي,0.5349586606025696
2,25,25,25,16,ع,3.5666823387145996
2,26,26,26,16,ع,4.723353385925293
2,27,27,27,17,ظ,4.349239349365234
2,28,28,28,18,ك,2.3076236248016357
2,29,29,29,18,ك,3.0676145553588867
2,30,30,30,19,م,3.5616209506988525
2,31,31,31,19,م,0.8644954562187195
2,32,32,32,19,م,1.8714709281921387
2,33,33,33,20,ب,1.8303744792938232
2,34,34,34,21,ه,4.847376346588135
2,35,35,35,22,و,2.010991334915161
2,36,36,36,22,و,3.4131927490234375
2,37,37,37,23,ا,3.0894017219543457
2,38,38,38,24,ت,2.739802360534668
2,39,39,39,25,ق,1.6023402214050293
2,40,40,40,26,و,1.6294710636138916
2,41,41,41,27,ا,1.450117826461792
2,42,42,42,28,ا,2.660559892654419
2,43,43,43,29,ل,3.196906328201294
2,44,44,44,30,ل,1.5638062953948975
2,45,45,45,31,ه,2.586592197418213
2,46,46,46,31,ه,3.618377923965454
2,47,47,47,32,و,1.655100703239441
2,48,48,48,32,و,2.5856308937072754
2,49,49,49,33,ا,4.479824542999268
2,50,50,50,34,ع,3.647747039794922
2,51,51,51,35,ل,4.434845447540283
2,52,52,52,36,م,1.1016364097595215
2,53,53,53,37,و,3.1317501068115234
2,54,54,54,38,ا,2.9569294452667236
2,55,55,55,39,ا,2.5041282176971436
2,56,56,56,39,ا,2.0677759647369385
2,57,57,57,40,ن,0.30915698409080505
2,58,58,58,41,ا,5.829685211181641
2,59,59,59,42,ل,2.7120535373687744
2,60,60,60,43,ل,2.4447407722473145
2,61,61,61,44,ه,3.4425745010375977
2,62,62,62,44,ه,1.0984911918640137
