trace_step,operation,window1,window2,cosine,match_score
0,match,0,0,0.02600823,-0.07399178
1,match,1,1,-0.01601901,-0.11601901
2,match,2,2,0.03250420,-0.06749580
3,match,3,3,0.08793281,-0.01206719
4,gap_in_line2,4,,,
5,match,5,4,0.13304819,0.03304819
6,match,6,5,0.12687163,0.02687163
7,match,7,6,-0.13225143,-0.23225144
8,match,8,7,0.04366204,-0.05633796
9,match,9,8,0.09532534,-0.00467466
10,gap_in_line2,10,,,
11,match,11,9,-0.08317320,-0.18317321
12,match,12,10,0.13188007,0.03188007
13,match,13,11,0.06784611,-0.03215389
14,match,14,12,0.06974097,-0.03025903
15,match,15,13,0.04796950,-0.05203050
16,match,16,14,0.18197714,0.08197714
17,match,17,15,0.00413984,-0.09586015
18,match,18,16,0.13897476,0.03897475
19,gap_in_line2,19,,,
20,gap_in_line2,20,,,
21,match,21,17,0.21222484,0.11222484
22,gap_in_line2,22,,,
23,match,23,18,0.08524939,-0.01475061
24,match,24,19,0.11344195,0.01344195
25,match,25,20,0.15664323,0.05664323
26,match,26,21,0.21419841,0.11419841
27,match,27,22,-0.08598218,-0.18598218
28,match,28,23,0.02135114,-0.07864887
29,match,29,24,-0.06353073,-0.16353074
30,match,30,25,0.17086291,0.07086291
31,match,31,26,0.09793411,-0.00206589
32,match,32,27,0.03220456,-0.06779544
33,match,33,28,0.01643030,-0.08356970
34,match,34,29,0.04301809,-0.05698191
35,match,35,30,0.04200777,-0.05799223
36,match,36,31,0.17529318,0.07529318
37,match,37,32,0.02842178,-0.07157822
38,match,38,33,0.09414010,-0.00585990
39,match,39,34,0.00876355,-0.09123646
40,match,40,35,-0.02301438,-0.12301438
41,match,41,36,0.09661356,-0.00338644
42,match,42,37,-0.04455318,-0.14455318
43,match,43,38,0.06861533,-0.03138467
44,gap_in_line1,,39,,
45,match,44,40,-0.02428688,-0.12428688
46,match,45,41,0.08194746,-0.01805254
47,match,46,42,0.14666066,0.04666065
48,match,47,43,0.16005029,0.06005029
49,gap_in_line1,,44,,
50,match,48,45,0.05335028,-0.04664972
51,match,49,46,0.20598719,0.10598718
52,match,50,47,0.01112328,-0.08887672
53,match,51,48,-0.04766398,-0.14766398
54,match,52,49,0.13501991,0.03501991
55,gap_in_line1,,50,,
56,match,53,51,0.13492551,0.03492551
57,gap_in_line1,,52,,
58,match,54,53,0.05822015,-0.04177985
59,gap_in_line1,,54,,
60,match,55,55,-0.04837167,-0.14837167
61,match,56,56,-0.03676571,-0.13676572
62,match,57,57,0.01223635,-0.08776364
63,match,58,58,0.05455349,-0.04544651
64,match,59,59,0.14625950,0.04625950
65,match,60,60,0.05649816,-0.04350184
66,match,61,61,0.06711902,-0.03288098
67,match,62,62,0.07323389,-0.02676611
