index,manifest_position,pair_id,label_type,text_score,split,status,score,path_steps,traceback_steps,warp_steps,dp_max_row,dp_max_col,dp_max_is_terminal,mean_path_cosine,line1_path_windows,line2_path_windows,line1_span_windows,line2_span_windows,line1_path_fraction,line2_path_fraction,line1_matched_fraction,line2_matched_fraction,line1_windows,line2_windows,line1_path_start,line1_path_end,line2_path_start,line2_path_end,line1_pred_start_px,line1_pred_end_px,line1_gt_start_px,line1_gt_end_px,line1_region_iou,line1_start_error_px,line1_end_error_px,line2_pred_start_px,line2_pred_end_px,line2_gt_start_px,line2_gt_end_px,line2_region_iou,line2_start_error_px,line2_end_error_px,mean_region_iou,feature,score_mode,score_clip,threshold,gap,heatmap_source,dataset_type,binarized,binarization,flipped,image1,image2,binarized_image1,binarized_image2,output,error,real_box_evaluated,real_box_status,real_box_match_rule,real_box_min_coverage,real_box_coordinate_space,shared_subword_matches,pair_box_tp,pair_box_fp,pair_box_fn,pair_box_tn,pair_box_precision,pair_box_recall,pair_box_f1,pair_box_specificity,pair_box_accuracy,mean_box_interval_iou,mean_box_pixel_iou,line1_box_annotation_path,line1_box_annotation_sheet,line1_box_annotation_status,line1_box_annotation_error,line1_box_count,line1_shared_gt_boxes,line1_predicted_mask_boxes,line1_box_tp,line1_box_fp,line1_box_fn,line1_box_tn,line1_box_precision,line1_box_recall,line1_box_f1,line1_box_specificity,line1_box_accuracy,line1_mean_box_mask_coverage,line1_shared_box_mask_coverage,line1_box_interval_iou,line1_box_pixel_precision,line1_box_pixel_recall,line1_box_pixel_f1,line1_box_pixel_iou,line2_box_annotation_path,line2_box_annotation_sheet,line2_box_annotation_status,line2_box_annotation_error,line2_box_count,line2_shared_gt_boxes,line2_predicted_mask_boxes,line2_box_tp,line2_box_fp,line2_box_fn,line2_box_tn,line2_box_precision,line2_box_recall,line2_box_f1,line2_box_specificity,line2_box_accuracy,line2_mean_box_mask_coverage,line2_shared_box_mask_coverage,line2_box_interval_iou,line2_box_pixel_precision,line2_box_pixel_recall,line2_box_pixel_f1,line2_box_pixel_iou
1,1,pair_000013,high_match,0.7777777777777778,all,ok,1.0956165790557861,8,8,0,96,70,False,0.8369520455598831,8,8,8,8,0.064,0.064,0.064,0.064,125,125,88,95,62,69,237.568,303.104,,,,,,450.56,516.096,,,,,,,local,raw,4.0,0.7,-0.3,cosine,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/B/linesImages/line_03.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Representation_Diagnostics/phase3_raw_probe/raw_t0.70_positive/pair_1.png,,False,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,pair_000027,high_match,0.8888888888888888,all,ok,0.5110986232757568,4,4,0,70,44,False,0.8277746438980103,4,4,4,4,0.032,0.032,0.032,0.032,125,125,66,69,40,43,450.56,483.328,,,,,,663.552,696.32,,,,,,,local,raw,4.0,0.7,-0.3,cosine,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000027/A/linesImages/line_01.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000027/B/linesImages/line_10.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Representation_Diagnostics/phase3_raw_probe/raw_t0.70_positive/pair_2.png,,False,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,pair_000024,high_match,0.8,all,ok,0.5787950158119202,6,6,0,54,70,False,0.7964658240477244,6,6,6,6,0.048,0.048,0.048,0.048,125,125,48,53,64,69,581.632,630.784,,,,,,450.56,499.712,,,,,,,local,raw,4.0,0.7,-0.3,cosine,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000024/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Representation_Diagnostics/phase3_raw_probe/raw_t0.70_positive/pair_3.png,,False,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,pair_000022,medium_match,0.3,all,ok,0.9115616083145142,11,11,0,97,85,False,0.7828692251985724,11,11,11,11,0.088,0.088,0.088,0.088,125,125,86,96,74,84,229.376,319.488,,,,,,327.68,417.792,,,,,,,local,raw,4.0,0.7,-0.3,cosine,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000022/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000022/B/linesImages/line_06.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Representation_Diagnostics/phase3_raw_probe/raw_t0.70_positive/pair_4.png,,False,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,pair_000020,medium_match,0.25,all,ok,0.5953596234321594,4,4,0,73,103,False,0.8488398939371109,4,4,4,4,0.032,0.032,0.032,0.032,125,125,69,72,99,102,425.984,458.752,,,,,,180.224,212.992,,,,,,,local,raw,4.0,0.7,-0.3,cosine,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000020/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000020/B/linesImages/line_05.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Representation_Diagnostics/phase3_raw_probe/raw_t0.70_positive/pair_5.png,,False,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,pair_000017,medium_match,0.2,all,ok,0.5968154072761536,4,4,0,59,53,False,0.8492038398981094,4,4,4,4,0.032,0.032,0.032,0.032,125,125,55,58,49,52,540.672,573.44,,,,,,589.824,622.592,,,,,,,local,raw,4.0,0.7,-0.3,cosine,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000017/A/linesImages/line_13.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000017/B/linesImages/line_04.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Representation_Diagnostics/phase3_raw_probe/raw_t0.70_positive/pair_6.png,,False,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,pair_000064,medium_match,0.16666666666666666,all,ok,0.44696712493896484,7,7,0,43,72,False,0.7638524344989231,7,7,7,7,0.056,0.056,0.056,0.056,125,125,36,42,65,71,671.744,729.088,,,,,,434.176,491.52,,,,,,,local,raw,4.0,0.7,-0.3,cosine,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000064/A/linesImages/line_06.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000064/B/linesImages/line_09.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Representation_Diagnostics/phase3_raw_probe/raw_t0.70_positive/pair_7.png,,False,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,pair_000055,medium_match,0.2222222222222222,all,ok,0.6865174174308777,7,7,0,77,91,False,0.7980739048549107,7,7,7,7,0.056,0.056,0.056,0.056,125,125,70,76,84,90,393.216,450.56,,,,,,278.528,335.872,,,,,,,local,raw,4.0,0.7,-0.3,cosine,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000055/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000055/B/linesImages/line_13.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Representation_Diagnostics/phase3_raw_probe/raw_t0.70_positive/pair_8.png,,False,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,pair_000054,high_match,0.8571428571428571,all,ok,0.5670474171638489,10,10,0,72,69,False,0.7567047297954559,10,10,10,10,0.08,0.08,0.08,0.08,125,125,62,71,59,68,434.176,516.096,,,,,,458.752,540.672,,,,,,,local,raw,4.0,0.7,-0.3,cosine,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000054/A/linesImages/line_05.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000054/B/linesImages/line_14.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Representation_Diagnostics/phase3_raw_probe/raw_t0.70_positive/pair_9.png,,False,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,pair_000030,high_match,0.7,all,ok,0.9293360710144043,7,7,0,76,62,False,0.8327622839382717,7,7,7,7,0.056,0.056,0.056,0.056,125,125,69,75,55,61,401.408,458.752,,,,,,516.096,573.44,,,,,,,local,raw,4.0,0.7,-0.3,cosine,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000030/A/linesImages/line_07.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000030/B/linesImages/line_12.png,,,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Representation_Diagnostics/phase3_raw_probe/raw_t0.70_positive/pair_10.png,,False,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
