index,manifest_position,pair_id,label_type,text_score,split,status,score,path_steps,traceback_steps,dp_max_row,dp_max_col,dp_max_is_terminal,mean_path_cosine,line1_matched_fraction,line2_matched_fraction,line1_windows,line2_windows,line1_path_start,line1_path_end,line2_path_start,line2_path_end,feature,score_mode,score_clip,threshold,gap,heatmap_source,dataset_type,binarized,binarization,flipped,image1,image2,binarized_image1,binarized_image2,output,error
1,116,pair_000058,medium_match,0.3333333333333333,test,ok,23.797588348388672,36,54,52,56,False,0.6782603388031324,0.5714285714285714,0.5714285714285714,63,63,11,51,7,55,grouped,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000058/A/linesImages/line_15.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000058/B/linesImages/line_08.png,,,Results/Evaluation/SW/qualitative/grouped/pair_1.png,
2,921,pair_000034,medium_match,0.2,test,ok,30.17827033996582,33,42,51,48,False,0.6441632522778078,0.5238095238095238,0.5238095238095238,63,63,10,50,14,47,grouped,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000034/A/linesImages/line_15.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000034/B/linesImages/line_04.png,,,Results/Evaluation/SW/qualitative/grouped/pair_2.png,
3,42,pair_000070,medium_match,0.26666666666666666,test,ok,31.759971618652344,35,48,55,51,False,0.6648225920540946,0.5555555555555556,0.5555555555555556,63,63,9,54,14,50,grouped,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000070/A/linesImages/line_08.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000070/B/linesImages/line_07.png,,,Results/Evaluation/SW/qualitative/grouped/pair_3.png,
23,37,pair_000013,high_match,0.7777777777777778,test,ok,29.471744537353516,32,46,54,49,False,0.7192625505849719,0.5079365079365079,0.5079365079365079,63,63,10,53,15,48,grouped,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000013/B/linesImages/line_03.png,,,Results/Evaluation/SW/qualitative/grouped/pair_23.png,
43,72,pair_000001,high_match,0.625,test,ok,7.076410293579102,5,10,53,23,False,0.17409787103533744,0.07936507936507936,0.07936507936507936,63,63,46,52,15,22,grouped,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000001/A/linesImages/line_11.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000001/B/linesImages/line_04.png,,,Results/Evaluation/SW/qualitative/grouped/pair_43.png,
61,57,pair_000022,medium_match,0.3,test,ok,25.762920379638672,32,40,50,49,False,0.7224997282028198,0.5079365079365079,0.5079365079365079,63,63,13,49,14,48,grouped,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000022/A/linesImages/line_12.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000022/B/linesImages/line_06.png,,,Results/Evaluation/SW/qualitative/grouped/pair_61.png,
79,60,pair_000027,high_match,0.8888888888888888,test,ok,29.781078338623047,32,50,55,49,False,0.7040783944539726,0.5079365079365079,0.5079365079365079,63,63,8,54,14,48,grouped,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000027/A/linesImages/line_01.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000027/B/linesImages/line_10.png,,,Results/Evaluation/SW/qualitative/grouped/pair_79.png,
93,201,pair_000004,high_match,0.7142857142857143,test,ok,26.635986328125,30,47,53,53,False,0.7670661250750224,0.47619047619047616,0.47619047619047616,63,63,17,52,12,52,grouped,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000004/A/linesImages/line_02.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000004/B/linesImages/line_07.png,,,Results/Evaluation/SW/qualitative/grouped/pair_93.png,
106,231,pair_000025,medium_match,0.4,test,ok,26.966094970703125,31,39,50,48,False,0.7248938275921729,0.49206349206349204,0.49206349206349204,63,63,14,49,14,47,grouped,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000025/A/linesImages/line_04.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000025/B/linesImages/line_13.png,,,Results/Evaluation/SW/qualitative/grouped/pair_106.png,
118,41,pair_000030,high_match,0.7,test,ok,32.80976486206055,35,39,49,51,False,0.7771514858518328,0.5555555555555556,0.5555555555555556,63,63,14,48,12,50,grouped,mutual-z,4.0,0.45,-0.3,dp-score,real,True,otsu,True,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000030/A/linesImages/line_07.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/ArabicDataset/DatasetPairs/page_pairs/pair_000030/B/linesImages/line_12.png,,,Results/Evaluation/SW/qualitative/grouped/pair_118.png,
