sample_index,test_ordinal,score,score_per_window,path_steps,traceback_steps,warp_steps,line1_path_windows,line2_path_windows,line1_span_windows,line2_span_windows,line1_path_fraction,line2_path_fraction,line1_matched_fraction,line2_matched_fraction,line1_path_start,line1_path_end,line2_path_start,line2_path_end,line1_window_iou,line1_window_precision,line1_window_recall,line1_window_f1,line1_window_start_error,line1_window_end_error,line1_window_center_error,line1_window_length_error,line1_window_pred_length,line1_window_gt_length,line1_pixel_iou,line1_pixel_precision,line1_pixel_recall,line1_pixel_f1,line1_pixel_start_error,line1_pixel_end_error,line1_pixel_center_error,line1_pixel_length_error,line1_pixel_pred_length,line1_pixel_gt_length,line1_gt_window_start,line1_gt_window_end,line1_pred_pixel_start,line1_pred_pixel_end,line1_gt_pixel_start,line1_gt_pixel_end,line2_window_iou,line2_window_precision,line2_window_recall,line2_window_f1,line2_window_start_error,line2_window_end_error,line2_window_center_error,line2_window_length_error,line2_window_pred_length,line2_window_gt_length,line2_pixel_iou,line2_pixel_precision,line2_pixel_recall,line2_pixel_f1,line2_pixel_start_error,line2_pixel_end_error,line2_pixel_center_error,line2_pixel_length_error,line2_pixel_pred_length,line2_pixel_gt_length,line2_gt_window_start,line2_gt_window_end,line2_pred_pixel_start,line2_pred_pixel_end,line2_gt_pixel_start,line2_gt_pixel_end,pair_mean_window_iou,pair_min_window_iou,pair_mean_window_f1,pair_mean_pixel_iou,pair_min_pixel_iou,mean_boundary_error_px,max_boundary_error_px,all_boundaries_within_one_stride,random_oracle_length_iou,full_line_baseline_iou,retrieval_rank,retrieval_top1,best_negative_score,best_negative_margin
1848,446,15.296917915344238,0.24280822087847997,28,28,0,28,28,28,28,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,35,62,0,27,0.0,0.0,0.0,0.0,34.0,29.0,31.5,5.0,28.0,33.0,0.0,0.0,0.0,0.0,467.0,559.8888888888889,513.4444444444445,92.88888888888891,455.1111111111111,548.0,1,33,0.0,455.1111111111111,467,1015,0.0,0.0,0.0,0.0,29.0,34.0,31.5,5.0,28.0,33.0,0.0,0.0,0.0,0.0,559.8888888888889,476.0,517.9444444444445,83.88888888888891,455.1111111111111,539.0,29,61,568.8888888888889,1024.0,9,548,0.0,0.0,0.0,0.0,0.0,515.6944444444445,559.8888888888889,False,0.44982915340493745,0.5238095238095238,1,True,5.6424560546875,9.654461860656738
1256,1306,17.817970275878906,0.2828249250139509,50,66,16,50,50,61,55,0.7936507936507936,0.7936507936507936,0.9682539682539683,0.873015873015873,2,62,8,62,0.3442622950819672,0.3442622950819672,1.0,0.5121951219512195,31.0,9.0,11.0,40.0,61.0,21.0,0.33585745389344257,0.3358574538934426,1.0,0.5028342701005477,150.0,508.4920634920635,179.24603174603175,658.4920634920635,991.4920634920635,333.0,33,53,0.0,991.4920634920635,150,483,0.4,0.4,1.0,0.5714285714285715,24.0,9.0,7.5,33.0,55.0,22.0,0.3836825284090909,0.3836825284090909,1.0,0.5545817346559047,154.0,396.968253968254,121.48412698412699,550.968253968254,893.968253968254,343.0,32,53,0.0,893.968253968254,154,497,0.37213114754098364,0.3442622950819672,0.5418118466898956,0.35976999115126673,0.33585745389344257,302.3650793650794,508.4920634920635,False,0.3311825899692068,0.3412698412698413,1,True,5.537980079650879,12.279990196228027
5597,1076,11.832152366638184,0.18781194232759021,42,62,20,42,42,55,49,0.6666666666666666,0.6666666666666666,0.873015873015873,0.7777777777777778,3,57,7,55,0.34545454545454546,0.34545454545454546,1.0,0.5135135135135135,29.0,7.0,11.0,36.0,55.0,19.0,0.3545987215909091,0.3545987215909091,1.0,0.5235479938655936,108.73015873015873,468.2380952380952,179.7539682539682,576.968253968254,893.968253968254,317.0,32,50,81.26984126984127,975.2380952380952,190,507,0.42857142857142855,0.42857142857142855,1.0,0.6,24.0,4.0,10.0,28.0,49.0,21.0,0.42438616071428575,0.42438616071428575,1.0,0.5958863858961803,62.22222222222223,396.2222222222222,167.0,458.44444444444434,796.4444444444443,338.0,31,51,113.77777777777777,910.2222222222222,176,514,0.38701298701298703,0.34545454545454546,0.5567567567567567,0.3894924411525974,0.3545987215909091,258.8531746031746,468.2380952380952,False,0.33045746289221634,0.31746031746031744,1,True,5.346286296844482,6.485866069793701
1464,702,10.39938735961914,0.16506964062887525,44,65,21,44,44,57,52,0.6984126984126984,0.6984126984126984,0.9047619047619048,0.8253968253968254,1,57,10,61,0.3684210526315789,0.3684210526315789,1.0,0.5384615384615384,32.0,4.0,14.0,36.0,57.0,21.0,0.3659025493421053,0.3659025493421053,1.0,0.5357666980244591,61.730158730158735,525.7460317460317,232.0079365079365,587.4761904761904,926.4761904761904,339.0,33,53,81.26984126984127,1007.7460317460317,143,482,0.38461538461538464,0.38461538461538464,1.0,0.5555555555555556,25.0,7.0,9.0,32.0,52.0,20.0,0.3951697716346154,0.3951697716346154,1.0,0.5664827029209853,105.74603174603175,405.46031746031747,149.8571428571429,511.20634920634916,845.2063492063492,334.0,35,54,16.253968253968253,861.4603174603175,122,456,0.3765182186234818,0.3684210526315789,0.5470085470085471,0.38053616048836036,0.3659025493421053,274.67063492063494,525.7460317460317,False,0.3051669682596916,0.32539682539682535,1,True,6.194018363952637,4.205368995666504
2393,918,13.585118293762207,0.21563679831368582,45,62,17,45,45,53,54,0.7142857142857143,0.7142857142857143,0.8412698412698413,0.8571428571428571,0,52,8,61,0.37735849056603776,0.37735849056603776,1.0,0.5479452054794521,28.0,5.0,11.5,33.0,53.0,20.0,0.3923570165094339,0.39235701650943394,1.0,0.5635867982955297,75.46031746031747,448.0,186.2698412698412,523.4603174603175,861.4603174603175,338.0,28,47,162.53968253968253,1024.0,238,576,0.42592592592592593,0.42592592592592593,1.0,0.5974025974025974,28.0,3.0,12.5,31.0,54.0,23.0,0.4124348958333333,0.4124348958333333,1.0,0.5840055312283936,53.74603174603175,461.968253968254,204.1111111111111,515.7142857142858,877.7142857142858,362.0,36,58,16.253968253968253,893.968253968254,70,432,0.40164220824598185,0.37735849056603776,0.5726739014410247,0.4023959561713836,0.3923570165094339,259.7936507936508,461.968253968254,False,0.3196631012594933,0.3412698412698413,1,True,7.05361795425415,6.531500339508057
3243,774,11.252091407775879,0.17860462552025205,43,57,14,43,43,52,48,0.6825396825396826,0.6825396825396826,0.8253968253968254,0.7619047619047619,9,60,9,56,0.38461538461538464,0.38461538461538464,1.0,0.5555555555555556,8.0,24.0,8.0,32.0,52.0,20.0,0.3916203425480769,0.3916203425480769,1.0,0.5628264125990203,385.4920634920635,128.71428571428567,128.3888888888889,514.2063492063492,845.2063492063492,331.0,17,36,32.507936507936506,877.7142857142857,418,749,0.4583333333333333,0.4583333333333333,1.0,0.6285714285714286,8.0,18.0,5.0,26.0,48.0,22.0,0.4639892578125,0.4639892578125,1.0,0.6338697573584591,293.4761904761905,124.71428571428567,84.38095238095241,418.19047619047615,780.1904761904761,362.0,17,38,97.52380952380952,877.7142857142857,391,753,0.421474358974359,0.38461538461538464,0.5920634920634921,0.42780480018028844,0.3916203425480769,233.09920634920633,385.4920634920635,False,0.3805109906992506,0.3333333333333333,1,True,6.461197853088379,4.7908935546875
7420,1082,13.502806663513184,0.21433026450020926,42,57,15,42,42,52,47,0.6666666666666666,0.6666666666666666,0.8253968253968254,0.746031746031746,9,60,13,59,0.38461538461538464,0.38461538461538464,1.0,0.5555555555555556,22.0,10.0,6.0,32.0,52.0,20.0,0.3797889122596154,0.3797889122596154,1.0,0.5505029195192661,169.4920634920635,354.71428571428567,92.61111111111109,524.2063492063492,845.2063492063492,321.0,31,50,32.507936507936506,877.7142857142857,202,523,0.425531914893617,0.425531914893617,1.0,0.5970149253731344,15.0,12.0,1.5,27.0,47.0,20.0,0.4267370345744681,0.4267370345744681,1.0,0.5981999825241022,197.23809523809524,240.69841269841265,21.730158730158678,437.93650793650795,763.936507936508,326.0,28,47,48.76190476190476,812.6984126984127,246,572,0.40507364975450083,0.38461538461538464,0.576285240464345,0.40326297341704176,0.3797889122596154,240.53571428571425,354.71428571428567,False,0.33938781775832666,0.31746031746031744,1,True,7.862035751342773,5.64077091217041
1155,794,11.660990715026855,0.185095090714712,46,65,19,46,46,54,57,0.7301587301587301,0.7301587301587301,0.8571428571428571,0.9047619047619048,9,62,1,57,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846153,27.0,3.0,12.0,30.0,54.0,24.0,0.4397786458333333,0.43977864583333337,1.0,0.6108975808274927,49.0,442.71428571428567,196.85714285714283,491.71428571428567,877.7142857142857,386.0,36,59,0.0,877.7142857142857,49,435,0.38596491228070173,0.38596491228070173,1.0,0.5569620253164557,30.0,5.0,12.5,35.0,57.0,22.0,0.39072779605263164,0.39072779605263164,1.0,0.5619040579495899,75.73015873015873,488.7460317460317,206.5079365079365,564.4761904761904,926.4761904761904,362.0,31,52,81.26984126984127,1007.7460317460317,157,519,0.4152046783625731,0.38596491228070173,0.5861733203505355,0.41525322094298245,0.39072779605263164,264.04761904761904,488.7460317460317,False,0.34754740942218865,0.36507936507936506,1,True,6.510651111602783,5.150339603424072
4962,1209,12.990540504455566,0.20619905562627883,50,69,19,50,50,62,57,0.7936507936507936,0.7936507936507936,0.9841269841269841,0.9047619047619048,0,61,0,56,0.3870967741935484,0.3870967741935484,1.0,0.5581395348837209,32.0,6.0,13.0,38.0,62.0,24.0,0.3919638356854839,0.3919638356854839,1.0,0.5631810620890996,97.74603174603175,515.0,208.6269841269841,612.7460317460318,1007.7460317460318,395.0,32,55,16.253968253968253,1024.0,114,509,0.43859649122807015,0.43859649122807015,1.0,0.6097560975609756,26.0,6.0,10.0,32.0,57.0,25.0,0.44469572368421056,0.4446957236842105,1.0,0.6156254447132489,92.47619047619048,422.0,164.76190476190482,514.4761904761905,926.4761904761905,412.0,26,50,97.52380952380952,1024.0,190,602,0.41284663271080924,0.3870967741935484,0.5839478162223483,0.4183297796848472,0.3919638356854839,281.80555555555554,515.0,False,0.41784419849242843,0.38888888888888884,1,True,9.437491416931152,3.553049087524414
3352,1458,11.871621131896973,0.18843843066503133,40,57,17,40,40,41,56,0.6349206349206349,0.6349206349206349,0.6507936507936508,0.8888888888888888,17,57,0,55,0.5609756097560976,0.5609756097560976,1.0,0.71875,18.0,0.0,9.0,18.0,41.0,23.0,0.556712080792683,0.556712080792683,1.0,0.7152409076303993,3.7301587301587347,291.68253968253964,143.97619047619048,295.4126984126983,666.4126984126983,371.0,35,57,81.26984126984127,747.6825396825396,85,456,0.39285714285714285,0.39285714285714285,1.0,0.5641025641025641,34.0,0.0,17.0,34.0,56.0,22.0,0.3869523117889131,0.39025878906250006,0.9785736149372514,0.5579893533467144,7.7777777777777715,555.0,281.3888888888889,547.2222222222222,910.2222222222222,363.0,34,55,113.77777777777777,1024.0,106,469,0.4769163763066202,0.39285714285714285,0.641426282051282,0.47183219629079803,0.3869523117889131,214.54761904761904,555.0,False,0.32897837566848526,0.3571428571428571,2,False,20.40068817138672,-8.529067039489746
