trace_step,operation,window1,window2,cosine,match_score
0,match,0,0,-0.04500352,-0.04500352
1,match,1,1,0.76754379,0.76754379
2,match,2,2,0.96933043,0.96933043
3,match,3,3,0.95863926,0.95863926
4,match,4,4,0.56584960,0.56584960
5,match,5,5,0.69132018,0.69132018
6,match,6,6,0.57394791,0.57394791
7,gap_in_line1,,7,,
8,match,7,8,0.98353302,0.98353302
9,match,8,9,0.96809751,0.96809751
10,gap_in_line2,9,,,
11,match,10,10,0.81538737,0.81538737
12,match,11,11,0.91037244,0.91037244
13,gap_in_line2,12,,,
14,match,13,12,0.69800419,0.69800419
15,match,14,13,0.83435559,0.83435559
16,gap_in_line1,,14,,
17,match,15,15,0.94380814,0.94380814
18,match,16,16,0.84460330,0.84460330
19,gap_in_line1,,17,,
20,match,17,18,0.09325506,0.09325506
21,match,18,19,0.57484639,0.57484639
22,match,19,20,0.96043903,0.96043903
23,match,20,21,0.98233843,0.98233843
24,match,21,22,0.80030990,0.80030990
25,match,22,23,0.89541709,0.89541709
26,gap_in_line1,,24,,
27,gap_in_line1,,25,,
28,gap_in_line1,,26,,
29,match,23,27,0.60953331,0.60953331
30,match,24,28,0.22993435,0.22993435
31,match,25,29,0.79288220,0.79288220
32,match,26,30,0.97971785,0.97971785
33,match,27,31,0.81568527,0.81568527
34,gap_in_line1,,32,,
35,match,28,33,0.70388919,0.70388919
36,gap_in_line1,,34,,
37,gap_in_line1,,35,,
38,gap_in_line1,,36,,
39,match,29,37,0.68806362,0.68806362
40,match,30,38,0.80834806,0.80834806
41,match,31,39,0.68043298,0.68043298
42,match,32,40,0.86880964,0.86880964
43,match,33,41,0.92885268,0.92885268
44,match,34,42,0.91368669,0.91368669
45,match,35,43,0.93330044,0.93330044
46,match,36,44,0.93424737,0.93424737
47,gap_in_line2,37,,,
48,gap_in_line2,38,,,
49,match,39,45,0.93256563,0.93256563
50,match,40,46,0.97195292,0.97195292
51,match,41,47,0.67128098,0.67128098
52,match,42,48,0.78177756,0.78177756
53,match,43,49,0.84198403,0.84198403
54,match,44,50,0.70201761,0.70201761
55,gap_in_line2,45,,,
56,gap_in_line2,46,,,
57,match,47,51,0.74378192,0.74378192
58,match,48,52,0.31647748,0.31647748
59,match,49,53,0.74953657,0.74953657
60,gap_in_line2,50,,,
61,match,51,54,0.86227268,0.86227268
62,match,52,55,0.65721011,0.65721011
63,gap_in_line2,53,,,
64,match,54,56,0.77805656,0.77805656
65,gap_in_line2,55,,,
66,match,56,57,0.53104722,0.53104722
67,match,57,58,0.95044434,0.95044434
68,match,58,59,0.61309612,0.61309612
69,match,59,60,0.87986112,0.87986112
70,gap_in_line2,60,,,
71,match,61,61,0.96754897,0.96754897
72,match,62,62,-0.33344829,-0.33344829
