epoch,split,run_id,checkpoint,optimizer_steps_epoch,population,positive_weight,sigreg_weight,negative_active,competition_temperature,dtw_position_prior,gamma,generalization_gap,learning_rate,total,positive_dtw,evaluated,skipped,invalid,sigreg_raw,sigreg_weighted,aggregation,negative,valid_tokens,sigreg_populations,letters_mean,windows_mean,seconds
1,train_online,resnet18_128d_5l_1h_no_pos_21634461,model_epoch_001.pth,39.0,full-split,1.0,0.2,False,0.1,0.15,0.05,0.04290501679929548,2e-05,52.50277032607641,2.1900557403548775,2433.0,63.0,0,251.56521899883563,50.313044315729385,optimization-batch weighted; weights change; augmented/dropout-active,,,,,,
1,train_eval,resnet18_128d_5l_1h_no_pos_21634461,model_epoch_001.pth,39.0,full-split,1.0,0.2,False,0.1,0.15,0.05,0.04290501679929548,2e-05,49.26830773882743,2.2100031428801588,811,21,0,235.29152297973633,47.05830459594727,,,52416,52,36.60912453760789,63.0,56.89432529499754
1,val_eval,resnet18_128d_5l_1h_no_pos_21634461,model_epoch_001.pth,39.0,full-split,1.0,0.2,False,0.1,0.15,0.05,0.04290501679929548,2e-05,48.28595632556238,2.2529081596794542,277,10,0,230.1652408294146,46.033048165882924,,,18081,18,36.57039711191336,63.0,21.298008244950324
2,train_online,resnet18_128d_5l_1h_no_pos_21634461,model_epoch_002.pth,39.0,full-split,1.0,0.2,False,0.1,0.15,0.05,0.04220054540526874,1.9945766764145906e-05,5.652962654064863,2.2172254362176878,2433.0,63.0,0,17.178233953622673,3.4356468335176125,optimization-batch weighted; weights change; augmented/dropout-active,,,,,,
2,train_eval,resnet18_128d_5l_1h_no_pos_21634461,model_epoch_002.pth,39.0,full-split,1.0,0.2,False,0.1,0.15,0.05,0.04220054540526874,1.9945766764145906e-05,29.750672835276138,2.2014586922566783,811,21,0,137.7460707150973,27.54921414301946,,,52416,52,36.60912453760789,63.0,56.63968235813081
2,val_eval,resnet18_128d_5l_1h_no_pos_21634461,model_epoch_002.pth,39.0,full-split,1.0,0.2,False,0.1,0.15,0.05,0.04220054540526874,1.9945766764145906e-05,30.514222577267514,2.243659237661947,277,10,0,141.35281669802782,28.270563339605566,,,18081,18,36.57039711191336,63.0,21.053686757106334
3,train_online,resnet18_128d_5l_1h_no_pos_21634461,model_epoch_003.pth,39.0,full-split,1.0,0.2,False,0.1,0.15,0.05,0.037442050484303824,1.9783661247264677e-05,4.563776798737355,2.2136555933628954,2433.0,63.0,0,11.751078507839106,2.3502157498628664,optimization-batch weighted; weights change; augmented/dropout-active,,,,,,
3,train_eval,resnet18_128d_5l_1h_no_pos_21634461,model_epoch_003.pth,39.0,full-split,1.0,0.2,False,0.1,0.15,0.05,0.037442050484303824,1.9783661247264677e-05,14.465684119680173,2.2278136098722934,811,21,0,61.1893525490394,12.23787050980788,,,52416,52,36.60912453760789,63.0,56.99172499217093
3,val_eval,resnet18_128d_5l_1h_no_pos_21634461,model_epoch_003.pth,39.0,full-split,1.0,0.2,False,0.1,0.15,0.05,0.037442050484303824,1.9783661247264677e-05,13.94168204876817,2.265255660356597,277,10,0,58.38213194205786,11.676426388411572,,,18081,18,36.57039711191336,63.0,20.67834047996439
4,train_online,resnet18_128d_5l_1h_no_pos_21634461,model_epoch_004.pth,39.0,full-split,1.0,0.2,False,0.1,0.15,0.05,0.03613696807564715,1.9515459511322024e-05,4.20246513073261,2.2109966146764664,2433.0,63.0,0,9.95716332166623,1.991432697345049,optimization-batch weighted; weights change; augmented/dropout-active,,,,,,
